time;Lat;Lon
2025-12-05-0000;-22.9089;-55.361
2025-12-05-0600;-21.7612;-58.1176
2025-12-05-1200;-22.8269;-57.4284
2025-12-05-1800;-21.0233;-59.2989
2025-12-06-0000;-20.8594;-59.6927
2025-12-06-0600;-24.7126;-60.2834
2025-12-06-1200;-23.5648;-59.2005
2025-12-06-1800;-25.1225;-60.185
2025-12-07-0000;-23.8108;-62.3508
2025-12-07-0600;-24.1387;-60.2834
2025-12-07-1200;-23.7288;-60.3819
2025-12-07-1800;-21.2693;-62.0555
2025-12-08-0000;-22.0071;-62.3508
2025-12-08-0600;-28.4018;-56.0501
2025-12-08-1200;-25.8603;-57.6253
2025-12-08-1800;-22.9909;-57.8222
2025-12-09-0000;-29.7136;-57.133
2025-12-09-0600;-29.7136;-56.247
2025-12-09-1200;-29.2216;-55.4594
2025-12-09-1800;-29.0577;-53.7858
2025-12-10-0000;-29.0577;-48.568
2025-12-10-0600;-31.1893;-48.568
2025-12-10-1200;-32.1731;-48.568
2025-12-10-1800;-32.0091;-48.3712
2025-12-11-0000;-32.419;-47.0913
2025-12-11-0600;-32.337;-45.5161
2025-12-11-1200;-32.5829;-44.1378
2025-12-11-1800;-32.9929;-41.775
2025-12-12-0000;-34.1406;-39.2154
2025-12-12-0600;-36.0263;-36.8526
2025-12-12-1200;-37.7479;-34.3914
2025-12-12-1800;-40.2074;-31.3395
2025-12-13-0000;-41.847;-27.8938
2025-12-13-0600;-42.7488;-24.4481
2025-12-13-1200;-43.5687;-20.2148
2025-12-13-1800;-43.2408;-16.4737
2025-12-14-0000;-42.8308;-12.5358
2025-12-14-0600;-42.2569;-9.8777
2025-12-14-1200;-41.1912;-6.9242
2025-12-14-1800;-40.3713;-4.16765
2025-12-15-0000;-39.5515;-0.52505
2025-12-15-0600;-38.9776;3.11755
2025-12-15-1200;-38.5677;6.66175
2025-12-15-1800;-37.6659;8.53225
