time;Lat;Lon;length;width
2026-04-01-0000;-12.4747;183.9631;8.8479;6.5657
2026-04-01-0600;-11.7172;181.5668;10.3226;8.6869
2026-04-01-1200;-11.5657;178.3871;8.7558;8.7879
2026-04-01-1800;-13.1313;184.0553;8.8479;9.2929
2026-04-02-0000;-11.7172;180.0922;7.5576;9.0909
2026-04-02-0600;-10.1010;176.7742;7.5576;8.0808
2026-04-02-1200;-10.1010;175.9447;4.6083;9.2929
2026-04-02-1800;-10.1515;174.8848;6.9124;7.5758
2026-04-03-0000;-8.9899;177.9724;7.0046;6.4646
2026-04-03-0600;-10.5556;171.7972;6.0829;6.7677
2026-04-03-1200;-10.0505;172.1659;4.9770;4.7475
2026-04-03-1800;-11.0606;170.9677;9.9539;8.7879
2026-04-04-0000;-12.9798;170.5069;6.0829;8.1818
2026-04-04-0600;-13.2323;170.3226;9.5853;9.6970
2026-04-04-1200;-13.1313;170.5991;7.1889;8.6869
2026-04-04-1800;-13.1818;170.4147;9.9539;9.5960
2026-04-05-0000;-13.9394;170.4608;7.6498;7.4747
2026-04-05-0600;-14.3434;170.8295;8.2028;7.8788
2026-04-05-1200;-14.8990;171.5668;10.0461;9.3939
2026-04-05-1800;-14.4949;171.3364;9.9539;10.6061
2026-04-06-0000;-15.8586;172.6267;7.7419;8.0808
2026-04-06-0600;-16.2121;172.1659;10.1382;10.6061
2026-04-06-1200;-16.2121;173.3180;8.9401;9.5960
2026-04-06-1800;-16.9192;173.3641;10.6912;11.0101
2026-04-07-0000;-17.3737;173.9171;9.9539;9.4949
2026-04-07-0600;-17.5253;174.6083;10.9677;11.4141
2026-04-07-1200;-19.2929;175.2995;8.4793;8.2828
2026-04-07-1800;-19.8990;175.5760;9.0323;9.0909
2026-04-08-0000;-21.9697;177.0968;6.7281;8.5859
2026-04-08-0600;-21.9697;177.0507;9.5853;11.2121
2026-04-08-1200;-23.9394;178.7558;9.3088;8.6869
2026-04-08-1800;-24.1919;178.9401;8.7558;8.3838
2026-04-09-0000;-24.1414;179.1244;9.8618;11.5152
2026-04-09-0600;-25.5051;179.1705;9.4009;8.9899
2026-04-09-1200;-25.2525;179.1244;12.9954;14.3434
2026-04-09-1800;-27.5253;178.9401;11.3364;10.2020
2026-04-10-0000;-27.7778;178.9401;11.7051;11.9192
2026-04-10-0600;-27.9798;178.4332;14.5622;12.9293
2026-04-10-1200;-28.7879;177.9263;13.7327;12.1212
2026-04-10-1800;-29.5455;177.0968;13.3641;12.0202
2026-04-11-0000;-30.2525;176.6359;13.7327;12.6263
2026-04-11-0600;-30.7071;174.5161;15.7604;14.1414
2026-04-11-1200;-32.8283;174.6083;16.3134;12.9293
2026-04-11-1800;-35.6061;174.7926;11.7051;10.4040
2026-04-12-0000;-37.6768;175.7604;7.9263;8.4848
2026-04-12-0600;-40.3030;177.2811;10.7834;9.0909
2026-04-12-1200;-42.9798;177.2350;11.0599;9.7980
2026-04-12-1800;-47.2222;177.6498;10.7834;7.1717
2026-04-13-0000;-50.1515;178.8018;11.0599;6.3636
2026-04-13-0600;-52.9293;180.0000;14.0092;8.4848
2026-04-13-1200;-54.8990;184.1014;11.3364;6.5657
2026-04-13-1800;-55.1010;183.4562;8.7558;7.5758
2026-04-14-0000;-53.1313;177.9724;12.7189;10.7071
2026-04-14-0600;-53.9394;177.6959;12.3502;10.9091
2026-04-14-1200;-54.1414;177.7880;12.5346;10.3030
2026-04-14-1800;-55.2525;177.9724;13.0876;8.6869
2026-04-15-0000;-56.4141;178.0645;16.9585;7.1717
2026-04-15-0600;-56.4141;178.1567;19.1705;7.1717
2026-04-15-1200;-56.3636;178.5253;20.0922;6.6667
2026-04-15-1800;-56.0101;179.4009;19.6313;7.9798
