time;Lat;Lon;length;width;min_zeta_850;min_hgt_850;max_wind_850
2025-12-05 00Z;-22.9089;-55.361;15.0;15.0;-0.0002001376658437731;1476.598388671875;12.008736610412598
2025-12-05 06Z;-21.7612;-58.1176;15.0;15.000000000000007;-0.00026291233396988193;1469.5986328125;13.104911804199219
2025-12-05 12Z;-22.8269;-57.4284;15.0;15.000000000000007;-0.00018885220140727558;1486.923828125;11.72891616821289
2025-12-05 18Z;-21.0233;-59.2989;15.0;15.0;-0.00016289429258115246;1463.284423828125;9.198988914489746
2025-12-06 00Z;-20.8594;-59.6927;15.0;15.0;-0.0001682695301656813;1473.06689453125;10.992363929748535
2025-12-06 06Z;-24.7126;-60.2834;14.999999999999996;15.0;-0.00024504179663020905;1474.1324462890625;12.19753646850586
2025-12-06 12Z;-23.5648;-59.2005;15.0;15.000000000000007;-0.00025661274166971016;1490.870849609375;12.126540184020996
2025-12-06 18Z;-25.1225;-60.185;15.000000000000004;15.0;-0.00018047329990221025;1470.7366943359375;8.757536888122559
2025-12-07 00Z;-23.8108;-62.3508;15.0;14.999999999999993;-0.00023793140422718065;1481.5037841796875;16.888824462890625
2025-12-07 06Z;-24.1387;-60.2834;15.0;15.0;-0.0002500114951894731;1473.09521484375;13.148144721984863
2025-12-07 12Z;-23.7288;-60.3819;15.0;15.0;-0.00023546909600918875;1489.24853515625;13.005443572998047
2025-12-07 18Z;-21.2693;-62.0555;15.0;14.999999999999993;-0.00020036220204032213;1465.748779296875;12.601451873779297
2025-12-08 00Z;-22.0071;-62.3508;15.0;14.999999999999993;-0.0002388063423351003;1467.83203125;18.41317367553711
2025-12-08 06Z;-28.4018;-56.0501;15.0;15.0;-0.0004812741358842966;1467.526123046875;21.62204360961914
2025-12-08 12Z;-25.8603;-57.6253;14.999999999999996;15.000000000000007;-0.0002818812515106814;1474.7880859375;24.992692947387695
2025-12-08 18Z;-22.9909;-57.8222;15.0;15.000000000000007;-0.00034662153287904403;1447.7647705078125;17.684419631958008
2025-12-09 00Z;-29.7136;-57.133;15.0;15.000000000000007;-0.0003055401190505984;1424.579833984375;18.63504981994629
2025-12-09 06Z;-29.7136;-56.247;15.0;15.0;-0.00030560489100167366;1396.769775390625;20.79646110534668
2025-12-09 12Z;-29.2216;-55.4594;14.999999999999996;15.0;-0.00039602723042118893;1393.0311279296875;24.969379425048828
2025-12-09 18Z;-29.0577;-53.7858;14.999999999999996;15.0;-0.0003248741040216771;1372.7694091796875;30.1574764251709
2025-12-10 00Z;-29.0577;-48.568;14.999999999999996;15.0;-0.0004942135081760159;1356.873046875;28.645931243896484
2025-12-10 06Z;-31.1893;-48.568;15.000000000000004;15.0;-0.0006658310305049708;1299.1171875;37.06560516357422
2025-12-10 12Z;-32.1731;-48.568;15.0;15.0;-0.0007090455332915688;1242.2489013671875;40.888755798339844
2025-12-10 18Z;-32.0091;-48.3712;15.0;15.0;-0.000513687618286238;1215.2056884765625;38.24931716918945
2025-12-11 00Z;-32.419;-47.0913;15.0;15.0;-0.0003940412347336972;1220.578369140625;38.11624526977539
2025-12-11 06Z;-32.337;-45.5161;15.0;15.0;-0.0003703557368393927;1203.0145263671875;30.937522888183594
2025-12-11 12Z;-32.5829;-44.1378;15.0;15.0;-0.0003645579365595461;1217.37060546875;31.168495178222656
2025-12-11 18Z;-32.9929;-41.775;15.0;15.0;-0.0003371718922520571;1216.0733642578125;30.592716217041016
2025-12-12 00Z;-34.1406;-39.2154;15.0;15.0;-0.0003173244195107029;1220.310302734375;29.738473892211914
2025-12-12 06Z;-36.0263;-36.8526;15.0;15.0;-0.0002644863231874113;1210.6058349609375;33.473236083984375
2025-12-12 12Z;-37.7479;-34.3914;15.0;15.0;-0.00027149325483833455;1225.5916748046875;33.58628845214844
2025-12-12 18Z;-40.2074;-31.3395;15.0;15.0;-0.00022254578174683417;1213.294189453125;36.59892654418945
2025-12-13 00Z;-41.847;-27.8938;15.0;15.0;-0.00024431904485409754;1220.3094482421875;35.36252212524414
2025-12-13 06Z;-42.7488;-24.4481;15.0;15.0;-0.00023157918118624443;1213.87255859375;35.594627380371094
2025-12-13 12Z;-43.5687;-20.2148;15.0;15.0;-0.00024307013345528837;1231.631591796875;33.875492095947266
2025-12-13 18Z;-43.2408;-16.4737;15.0;15.0;-0.0002925341819666949;1244.0565185546875;34.34450912475586
2025-12-14 00Z;-42.8308;-12.5358;15.0;15.000000000000002;-0.0002837494832594254;1274.606201171875;32.185054779052734
2025-12-14 06Z;-42.2569;-9.8777;15.0;15.0;-0.00031165075410069526;1298.865478515625;30.240997314453125
2025-12-14 12Z;-41.1912;-6.9242;15.0;15.0;-0.00031160757080459075;1326.242431640625;28.019115447998047
2025-12-14 18Z;-40.3713;-4.16765;15.0;15.0;-0.0002711218091809523;1343.3035888671875;29.230653762817383
2025-12-15 00Z;-39.5515;-0.52505;15.0;15.0;-0.0002586974909901771;1364.5810546875;28.00312042236328
2025-12-15 06Z;-38.9776;3.11755;15.0;15.0;-0.00031981459343300876;1376.0389404296875;23.99944496154785
2025-12-15 12Z;-38.5677;6.66175;15.0;15.0;-0.0002652182262707161;1394.796875;23.175729751586914
2025-12-15 18Z;-37.6659;8.53225;15.0;14.999999999999998;-0.00023266163149897058;1398.7996826171875;19.518827438354492
