,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,1.3228662729128707e-05,-1.046615792654081e-05,-1.2648064142905e-05,-2.160184371037454e-05,-1.8074265935693e-05,-1.2456369058395314e-05,-1.9409535143248243e-06,-1.3074260375024386e-05,-3.173430830888134e-05,-2.4678814820584282e-05,1.0051816375045704e-05,3.2971910426690844e-05,-5.900250552462807e-06,2.4239317392540098e-06,1.1142231442430204e-05,-1.685305321580036e-06,2.691195071377129e-05,4.235670168170191e-05,5.65892128725104e-05,6.272040393729565e-05,5.50754667728558e-05,7.175193741615048e-05,4.306638640066358e-05,3.053477882807756e-05,1.7361545702733146e-05,-1.002580780303269e-06,-8.278054790615082e-06,-1.98706566378702e-06,-2.414040169141353e-05,-1.4410904313893275e-05,-8.794676149862566e-06,-3.1511835165619605e-06,1.3558482525372046e-05,1.1298867162974337e-05,1.7020489366166604e-05,2.5544924150240306e-05,3.473095680335527e-05,4.8305066219818345e-05,3.139973766789488e-05,2.9267810518704358e-05,1.8107588256981458e-05,1.4270450810737951e-05,1.0981039429228336e-05,3.501085213297207e-06
15000.0,-4.645082578341923e-06,-2.0484349559083755e-05,-3.4100201826853145e-05,-1.3627788215172409e-05,-1.83261444278031e-05,-3.086955285494357e-05,-2.7615137036883223e-05,-1.4116812721299081e-05,-3.876542204087355e-06,-1.1720397378156633e-05,-1.5153585677510049e-05,1.350860146395919e-07,7.954417032992122e-06,4.057149745358273e-05,2.4469108937745594e-06,5.003292128753596e-05,8.796952554370762e-05,0.00010029733407163898,6.575820736526499e-05,7.551609675326846e-05,0.00010569252689399811,0.00011179628539235496,0.00010681721264930839,9.439009769833695e-05,8.111843789414021e-05,4.829115676593342e-05,4.185846300470168e-05,6.460121072944133e-05,7.44714710007537e-05,6.119233355695325e-05,5.556244585501622e-05,5.250426212827283e-05,7.54648905776617e-05,0.00010815230288174458,9.948706865045478e-05,9.857177654703116e-05,6.985925301451857e-05,6.36592630358192e-05,5.324960544522881e-05,3.284386200702006e-05,1.6523240443656353e-05,4.14868852208993e-06,-5.96343850634175e-06,-4.375230548199028e-05
20000.0,-3.125764063943448e-05,-3.1957541948518864e-05,-2.470149782137192e-05,1.4314361069396364e-05,4.774920918004332e-06,2.4550533342079113e-05,1.5891907953423577e-05,5.1132047305863e-06,-1.597040502864409e-06,2.9553201858256316e-06,1.205131703113209e-05,5.901431153242745e-06,1.254631686356081e-05,4.919675612549544e-05,5.747212539867035e-05,1.5386223780971318e-05,1.1442619442427221e-05,2.210616121181983e-05,-1.1133426782370695e-06,2.330262874553177e-05,4.727594909148967e-05,5.07631316443951e-05,3.754557567959036e-05,1.5378654031368076e-05,1.0405185303290588e-05,-4.537428026294234e-06,3.2051576367308877e-06,6.980790585973142e-06,1.9156583784556108e-05,2.6942115457474524e-05,5.9435957763137025e-05,6.754259367681346e-05,8.726312936524919e-05,9.456609147765899e-05,8.728936317651776e-05,7.932213276921824e-05,8.174978284976537e-05,0.0001323974642265683,0.00011944372833026665,7.457115509366363e-05,2.0335189537871354e-05,-1.1118064204790812e-05,-1.3045798416627554e-05,-5.687398756550385e-05
25000.0,-2.2469074720646565e-05,-2.1139976837286307e-05,-1.7142015898315528e-05,9.304397682591404e-06,1.4706890021036477e-05,1.6114756701338957e-05,1.7202148472954728e-05,2.8082627957842612e-05,1.697822909125676e-05,9.459990239847483e-06,1.870378690153656e-05,7.382810310585067e-06,7.976056712791127e-06,3.084433317073866e-05,3.39344413059712e-05,6.879293467716658e-07,-9.919770862470184e-06,-1.5942866186496085e-05,-1.5615694094129085e-05,-1.1024322634024311e-05,1.234531603803463e-05,1.4409788259237518e-05,8.873894525787772e-06,-5.165103328049637e-06,-1.084252080651148e-05,4.184920741901587e-06,-1.5022391470220206e-05,-1.6008698181575155e-05,-1.3771125510290489e-05,-1.432935253112214e-05,-1.664099530700579e-05,1.9426919587062122e-07,-1.8928211648812302e-05,-1.9422466830057885e-05,-2.5867437603351767e-05,-1.4908928814528548e-05,-1.6154231352581984e-05,-1.3030634228030383e-05,3.7112646261778678e-06,-1.0749571827547485e-05,-5.6299644075869935e-06,-4.4690584276889234e-05,-1.8052596569529503e-05,-7.730506844369457e-05
30000.0,-2.1966898082088086e-05,-1.3328798890428061e-05,-5.579000420767465e-06,4.019888327535717e-06,6.596877231058434e-06,1.0460922199756717e-05,5.042463597236695e-06,2.0486496363537962e-05,3.11140197367155e-05,3.150942656621747e-05,2.555622621786121e-05,1.897995637394283e-05,1.4754589697202278e-05,1.6438543602281188e-05,1.597699805354641e-05,-3.96773361747575e-06,-6.890489805308992e-08,-1.896474693656363e-05,-1.9047870285604543e-05,-2.370561046784441e-05,3.48652925013516e-06,-9.344551874158978e-07,-6.5058371508487345e-06,-9.035207701202353e-06,-1.3007423912656833e-05,-1.1104011678183949e-06,-1.3392389668678902e-05,-2.1514271959970912e-05,-2.5475687240706613e-05,-2.412952413072012e-05,-2.5812438158198146e-05,-2.752552276935161e-05,-3.367094020202824e-05,-4.0504613496704885e-05,-5.4725000180890705e-05,-6.282653550767995e-05,-4.527196989047336e-05,-7.367927500946001e-05,-6.074734013957633e-05,-5.8113337653214915e-05,-1.6914268518015116e-05,-1.579543416673887e-05,-1.5057527913587502e-05,-6.714232866137828e-05
35000.0,-1.5093252407674446e-05,-7.483335749122699e-06,2.4107889160825873e-06,9.362576191997851e-06,3.1545761416259218e-06,1.3318869183426739e-05,1.033105491514347e-05,1.797073688982214e-05,1.4571809167636412e-05,2.2664409815191733e-05,2.345984130751789e-05,1.8147566286460372e-05,2.555633121835349e-05,1.834136739314443e-05,8.152276676845454e-06,1.5142732135925101e-06,1.1336390689481307e-06,-1.7033491471070846e-05,-1.8777966068377398e-05,-2.4543350000060877e-05,1.1980204462139131e-05,-4.903180615391124e-06,-1.615270785455635e-06,-1.8898653540991728e-05,-1.2603031409072149e-05,-6.706699949189459e-06,-1.7839248427125086e-05,-1.7733319741521885e-05,-1.695145676906291e-05,-1.701046891638722e-05,-2.3504889232567718e-05,-2.9256710480174434e-05,-3.047956736750055e-05,-3.6610407604575624e-05,-6.14412180338174e-05,-6.805326451861287e-05,-4.777809848933797e-05,-6.851856237398414e-05,-7.508295362137785e-05,-6.520825486792988e-05,-2.805434599541017e-05,-5.996606886459491e-06,-2.9513123048955153e-05,-4.654204837079567e-05
40000.0,-1.2366636612042993e-05,4.904435143167632e-07,3.07469787393914e-06,6.005192301191993e-06,2.1724657224243875e-07,1.1247659545937946e-05,1.3724671872733187e-05,2.4742045092244694e-05,1.2292902713612887e-05,1.2606512705801276e-05,1.0900084122630439e-05,8.224431651455357e-06,5.502786722039435e-06,1.8334540081140537e-05,8.878574524762836e-06,6.183440387052057e-06,5.579188048748193e-06,-9.189135674419226e-06,-1.0078862285798254e-05,-1.1752416153097344e-05,2.9368937698198468e-05,2.4758637660112964e-06,1.3951544512866741e-06,-2.226644619923992e-05,-1.1753608105465982e-05,-1.552308743835184e-05,-1.5624923244975457e-05,-1.483235038835839e-05,-1.8130801077682505e-05,-1.0806307572875937e-05,-1.0905458242984241e-05,-2.0422667803951252e-05,-3.343907895897678e-05,-4.2417567116277595e-05,-6.533978791564162e-05,-7.395300539889908e-05,-5.8493193289500044e-05,-6.30821094928826e-05,-6.207092791572769e-05,-5.1418960218194394e-05,-3.899851684083879e-05,-1.9396579451351453e-05,-1.9692552124996642e-05,-2.8433231229584393e-05
45000.0,-1.274242245651858e-05,-2.666247211902647e-06,-3.480685336221843e-06,5.519759092541021e-06,3.9846753117817556e-06,6.096354051083685e-06,9.494270592383447e-06,2.689066430941784e-05,1.7232440547928565e-05,9.978306892015247e-06,7.499722369042311e-06,1.2822550693053782e-05,8.2894619571634e-06,1.661017364203762e-05,7.556611996414201e-06,9.872650633712552e-06,1.7138641873986346e-05,-4.477067446947382e-06,3.739584099682542e-06,4.025941864029863e-06,4.7914767551756856e-05,1.6473451712141368e-05,7.470010894472689e-06,-1.6085139738576507e-05,-9.875833965314239e-06,-2.3437584691816298e-05,-1.8047321879582025e-05,-1.8414011860872405e-05,-1.628048049273191e-05,-5.169254951495801e-06,5.205352519545007e-06,-1.3508210510577474e-05,-2.4236550145498974e-05,-3.783277191519525e-05,-5.567286284175803e-05,-6.615720133202749e-05,-6.639821629480284e-05,-6.894525132466689e-05,-5.102284077921028e-05,-4.522724162085933e-05,-4.08147250567156e-05,-3.8807848557143195e-05,-2.6347159814193177e-05,-3.031897901005115e-05
50000.0,-8.282633993298293e-06,-4.318791435357414e-06,-5.377608152339484e-06,3.0335702967421824e-06,3.903459475067964e-06,3.001770316832436e-06,7.534705594694462e-06,2.0266796491936444e-05,1.7923009202393636e-05,6.859445729900585e-06,1.1640322789655347e-05,1.15297222583881e-05,2.4240589617509515e-05,1.6730503820456306e-05,8.891992515276512e-06,1.3066525831405068e-05,2.31407899846881e-05,1.7329868469676482e-06,1.4837848076418557e-06,2.006536882040584e-05,4.8900896715980545e-05,2.1680628686793962e-05,1.677263585443305e-05,-4.563109065922891e-06,-7.7756454041894e-06,-1.6295605774405012e-05,-2.0405486166482708e-05,-1.70874606695692e-05,-1.3357765973318359e-05,-1.1479619480773846e-07,2.2484036403084856e-06,-5.288546676741682e-06,-1.48605055498342e-05,-2.7363413151061948e-05,-3.4167303093839835e-05,-4.82033825786758e-05,-6.565794355940028e-05,-6.198694600938037e-05,-4.6361424096853486e-05,-4.1397887442556145e-05,-4.198067964750709e-05,-4.30918686450453e-05,-2.2725894381335357e-05,-3.713697629440735e-05
55000.0,-5.697427249556063e-06,-3.990773595492994e-06,-1.791897615644187e-06,2.3256470850105924e-06,2.7934055689737877e-06,-3.8693634671022667e-07,1.6679227191035414e-06,1.2265748767023618e-05,1.2131943609230943e-05,2.9818533669881277e-06,1.0016415504410357e-05,1.2139732681022991e-05,2.0168982956580843e-05,1.4322045412933428e-05,6.198518805077137e-06,1.3764748856392231e-05,1.5437449897064737e-05,3.856252667593355e-06,-1.5048590927571763e-06,2.2029442751780577e-05,4.510240948174452e-05,2.5074895427727602e-05,1.844650388350484e-05,-1.0133675681058418e-06,-9.669598234862984e-06,-6.181802269972108e-06,-1.9362220272749136e-05,-1.6389908036745738e-05,-5.300867028532955e-06,3.85493753544879e-06,1.2686330285593352e-06,-2.397483382547877e-06,-1.0286162734416636e-05,-1.8771505603181447e-05,-1.589503600264688e-05,-3.728495570639363e-05,-5.580416297244385e-05,-5.8151523641677145e-05,-4.62860116388226e-05,-4.18338124176062e-05,-3.579535739107761e-05,-3.55870372385509e-05,-3.4626180331626093e-05,-4.164871494236196e-05
