,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,1.5351930309651532e-05,7.972130668193697e-07,1.726110298247083e-06,1.717202162138072e-05,1.900132839620676e-05,8.549971097572568e-06,1.772877426774672e-05,1.4180756950670243e-05,1.3967802154155311e-05,3.30914395392095e-05,6.075123460072411e-06,-9.87529939843253e-06,1.3030435387954652e-06,1.6835451693322696e-05,1.813013184713065e-05,2.0447117912967153e-05,-8.491126513630266e-07,1.976275043273182e-06,1.3840950600751679e-05,1.623845110045757e-05,-1.1185374933372701e-05,3.755708229301019e-06,1.0875468718871586e-05,5.446178395317737e-06,1.144467518612319e-05,9.458735857491094e-06,1.3866797931945152e-05,1.0813746456649936e-05,1.8991431072265907e-05,1.5619525499465046e-05,-8.799063588703753e-08,3.5352792404621265e-05,-1.469114292998817e-05,1.9705618642111112e-05,1.9935252713126377e-05,8.041528976259047e-06,1.7874141591784357e-05,-1.846519332384892e-05,5.96095521531243e-06,-7.173711629022649e-06,1.4125724902930728e-05,1.3703992632964084e-05,1.8511072581995267e-05,1.5225996275454762e-05
15000.0,1.0961750016887862e-05,1.584834848255176e-05,2.4914569298297847e-05,3.689872563657516e-05,3.61788103529815e-05,1.3926073565094116e-06,3.969893479867419e-05,2.820080763870265e-05,6.150010756544618e-05,3.70946162545025e-05,5.310844646266384e-05,7.06394672345822e-05,8.049234426921603e-05,3.0020211247969998e-06,7.19009706980719e-05,6.949595869707112e-05,3.718666212901378e-05,2.5312248297162203e-05,8.435045406053741e-05,9.177377436985855e-05,7.434309935440902e-05,5.240574558740221e-05,4.783571376753438e-05,1.768486676764322e-05,-2.541955020961348e-06,1.8135805729983003e-05,2.020355082341688e-06,1.452146417858147e-05,-5.4687544731275915e-06,1.920016288519278e-05,-1.1807899032108796e-05,5.794040244911776e-05,-1.4973511370054486e-05,-4.176690162981956e-07,1.9709573418483415e-05,-1.3228142892359706e-05,2.131704471682876e-06,-1.960270185179396e-06,-5.8713506405880585e-06,1.9807424912993317e-07,8.421365052034218e-06,1.1191169554712545e-05,2.640237132914214e-05,1.85087307194318e-05
20000.0,-2.5096504151320658e-05,-5.708531742125189e-06,7.720706582722806e-06,3.1685577754448855e-05,1.6316609871866246e-05,-1.3723418987654681e-05,6.18300333072554e-06,1.07922961717629e-05,2.3987204137317506e-05,3.0384466000968888e-06,7.419197178219548e-06,5.263350785707696e-05,2.4452947367614996e-05,1.834693244081583e-05,4.0837916648330146e-05,5.8877758214223535e-05,3.6741095203183356e-05,9.713685528700643e-06,4.1419979838628716e-05,3.223765285414529e-05,-5.831152356612637e-06,1.1573321125815047e-05,4.465861256669557e-05,3.553269505059333e-05,-1.3012068455158487e-05,2.6947603838787502e-05,4.464127373843155e-06,1.8530846125886007e-05,-3.4671065324004084e-06,-7.976411850928933e-06,-1.0192008083828113e-05,2.4950014462509376e-05,-7.634521766794557e-06,1.5204081286150958e-06,8.866127503481119e-06,1.3600498737417434e-06,-1.6350940610997288e-06,-2.4727458220497562e-05,-1.2219081660056248e-06,-2.135482728249319e-05,9.641811841949963e-06,3.3882940662559895e-05,1.0188187116900916e-05,1.0452386032177344e-05
25000.0,-3.5018482082837675e-05,-2.6291538621164597e-06,9.630076654878186e-06,3.705075873244656e-05,2.0459011591539508e-05,-1.705534945314096e-05,-8.310363947686751e-06,-5.091879863739933e-07,2.757794832502507e-05,4.2790074402399355e-06,3.4798415044872247e-06,5.6566985968397435e-05,4.6986650331415497e-05,1.0345912878631967e-05,5.3087660798983195e-05,8.514414860806616e-05,2.3931141549492585e-05,6.889457713439125e-06,2.2378847916445368e-05,5.092683368071881e-05,2.184310819004733e-05,-1.4144211249746852e-07,2.6789933023477703e-05,2.250717715953208e-05,-7.334044920424126e-06,-7.753397503639075e-06,3.701781947175716e-06,1.0265132704311257e-05,-1.2224354637051818e-05,-1.0810142641532136e-05,1.9398825519764763e-05,-5.720412985626925e-06,-1.633579987838299e-06,2.9284326105003404e-06,2.7508387834894887e-05,1.298568980469845e-06,-4.316532064550734e-06,1.1676092434336347e-05,2.2530243311917424e-05,1.3294131712270181e-08,-1.0647325934714253e-05,6.8060992715351134e-06,-8.074908517720135e-06,2.4032861000534303e-06
30000.0,-2.9049400297142587e-05,1.5871905153920884e-06,1.1763145207090722e-05,3.380532414744721e-05,2.4998462178005472e-05,-1.0601685774615587e-05,5.216783198252981e-06,8.896352601512731e-06,1.534449267276009e-05,1.9073203947862982e-06,1.0797347548419821e-05,4.425327961939852e-05,5.883673728858082e-05,5.8763427404441855e-05,9.365448837478374e-05,0.00011127153498435159,5.603405843744374e-05,4.3701526324887015e-05,3.4168351169489676e-05,8.667135113622507e-05,8.019574530785815e-05,4.4226051406865025e-05,5.147201634860326e-05,4.1618451323069554e-05,8.243337135197926e-06,3.40753180947091e-06,1.054679163380666e-05,2.1877097051407368e-05,-1.3912316411558877e-07,-7.901324847565329e-06,1.268422508811421e-05,4.636983777418824e-06,-1.034893128559421e-05,-4.298078596033972e-06,2.8118721851863888e-05,1.8655572524198464e-05,-2.2458232211703168e-05,1.802099876952829e-05,2.3239483803948488e-05,6.808020110643395e-06,-3.571011850485806e-05,-1.93003562102442e-05,-2.0035434467919084e-05,-7.929820776272973e-07
35000.0,-3.199033524485426e-05,-8.044681697063798e-06,5.971816096442584e-06,3.7538782320023235e-05,2.6469636320214595e-05,-6.417415985317596e-06,8.890565660112554e-06,7.399472106478e-06,2.268038059560377e-05,1.0146757084415202e-05,2.441579985045671e-05,5.403823032040588e-05,7.00305745688264e-05,9.827469110372857e-05,0.00013436117616841368,0.000125213272254559,9.641486242392247e-05,8.472262229032687e-05,6.073290516633074e-05,0.00012249613872984712,0.00013720484160478598,0.00010365277292320224,7.531216177184065e-05,6.122551804526174e-05,1.3637521922203657e-05,1.7941303075788746e-05,2.434657526703268e-05,3.366914553043284e-05,6.689665038068703e-06,-1.694200278363362e-06,2.30103918837482e-05,1.3620757935627382e-05,-6.719018403302873e-06,-1.2738343148192543e-05,4.350265219420283e-05,3.282667253813134e-05,-1.3287550778701449e-05,1.3874461295508874e-05,3.957334891930214e-05,2.224059458418591e-05,-1.7549543871642893e-05,-1.6138587287134736e-05,3.5214323923434304e-06,-1.4232432565028683e-05
40000.0,-2.834349965198916e-05,-1.036515695719805e-05,6.082020981184598e-06,3.9462520537179715e-05,2.716028313691507e-05,-8.852659832844671e-06,3.3891472201149047e-06,-2.809932346461148e-07,2.4308997901546743e-05,1.1939793888531796e-05,3.9623422486643106e-05,6.217464308041787e-05,8.49901748425048e-05,0.00012867580015523167,0.00016074418126290631,0.00014880066470857053,0.00012337326093651174,0.00011757521473173718,8.599999916716146e-05,0.00014839825633677768,0.000181970966269151,0.000137032087029133,0.00010544633587757097,8.556857901205392e-05,1.5120124354288032e-05,3.26846918336123e-05,2.3759632392457584e-05,3.238285556092694e-05,1.94123298145665e-05,3.4765673638768174e-06,2.76994112986739e-05,1.090258297632679e-05,6.686056382392306e-06,1.800826702439846e-06,5.579504949496466e-05,4.0573375967431334e-05,3.1180984186347883e-06,1.3084751215023064e-05,3.708611122247331e-05,2.5716977103954997e-05,6.638468263282903e-06,-3.484551087203313e-06,-8.930338671905645e-07,-1.6682284661851136e-05
45000.0,-2.3349456864035897e-05,-8.725247255168878e-06,8.459600327356348e-06,4.913596978856294e-05,1.3154887558426121e-05,-7.142165915869644e-06,2.7448740243031946e-06,-4.612145428361765e-06,2.173510391311893e-05,1.0689439547201103e-05,4.563331834947353e-05,5.7443060280853685e-05,6.748404020104904e-05,0.00012155272223810277,0.00017370439887514513,0.0001588795682714958,0.000120326848662872,0.00013389295973534866,9.424415541901242e-05,0.00014648576458426276,0.00020005585379662794,0.0001526421802630078,0.00011324369739103499,0.00010100411254234914,2.2385527427411854e-05,4.737372365250946e-05,2.6066901962942957e-05,2.9265037135841377e-05,2.6365905575968392e-05,3.972791440033869e-06,2.368423008237927e-05,1.686915629637877e-05,1.5085087416487637e-05,1.4477518458723462e-05,5.561611168582348e-05,3.1528257909588326e-05,1.4113464818602813e-05,2.0751278487019146e-05,3.6634719748863965e-05,2.6735302035198563e-05,5.27471076575161e-06,1.1415868898597146e-05,9.526435010501906e-06,-8.996481580290979e-06
50000.0,-2.7242792703641133e-05,-4.734826637036392e-06,5.867356868313184e-06,4.7038427425382346e-05,-4.387901819012991e-06,-5.913903012501403e-06,2.9847997395823235e-07,1.919163590265835e-06,1.834637626374157e-05,1.0334805048551627e-05,4.147390689990165e-05,5.518216917683393e-05,5.391811519984496e-05,0.0001090489919415765,0.0001610317471081845,0.0001534426383923138,0.00010187641103355177,0.0001149315274823286,0.00011258859232992617,0.00013317045789550073,0.0001975152296941826,0.0001567276566262354,0.00010804901535818522,9.953049348070739e-05,2.785900990084337e-05,4.7795075843668435e-05,2.662997892622682e-05,2.9080763188799216e-05,2.7691956384822204e-05,4.59043020598719e-06,3.6315154565944015e-05,2.1114166996211898e-05,2.264979788003894e-05,1.9428110735158813e-05,5.206611738043702e-05,2.4560344455065876e-05,2.2543321775968095e-05,1.4131447684020794e-05,3.1945764549977933e-05,2.466718789252051e-05,2.105742435092286e-06,1.4885706015825935e-05,2.9497014562444678e-06,-1.9304959371192315e-05
55000.0,-3.4237117950795064e-05,-1.957342487280994e-06,8.138770763587546e-06,4.250439802373606e-05,-1.8335681756010488e-05,-7.533618668477231e-06,-2.094957280897231e-07,5.817526391449276e-06,2.3258804730787185e-05,4.93695954879396e-07,3.899615452803256e-05,5.8356545909661146e-05,7.194532393834982e-05,0.00010880038983982416,0.00014703496432764645,0.0001456462350794568,8.867539467428292e-05,9.972351550116113e-05,0.00011615287938988171,0.00011854074525411965,0.00016819212153151516,0.0001537860298369511,0.00010644756898265454,9.131731769146627e-05,2.847273744600819e-05,4.40887648217069e-05,2.5227781319043237e-05,3.52599638245715e-05,1.9871771168830925e-05,1.1578673454582623e-05,4.2592480089115755e-05,2.2989269494063407e-05,2.382901318750702e-05,1.7661948337437922e-05,4.681283113129059e-05,2.0485185420170508e-05,2.0854627927927856e-05,1.1275658886521879e-05,2.5645688601540002e-05,2.328039069542635e-05,-3.805421673201932e-06,9.998012080373866e-06,1.179929744315021e-05,-2.1659147116103845e-05
