,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,8.453041476244526e-06,7.643796059226423e-06,-4.191674799001836e-06,-1.788520549580235e-05,-1.1387039876352762e-05,1.0737268678534657e-05,1.4054887700392097e-05,-1.546386419182098e-06,-1.5330132893412106e-05,1.610211468407022e-05,2.6225062380602413e-05,-1.7215529630722146e-05,-5.06053670781915e-06,2.6898918156728993e-05,1.6941793877568497e-05,-1.988102103806493e-05,2.366814668016594e-06,1.9666719484039608e-05,2.4146528173378954e-05,3.665737255012874e-05,3.865095138281627e-05,3.170515368902264e-05,2.2529335206997055e-05,1.8170608177850126e-05,1.112735040187492e-05,2.7888415087926027e-06,-2.8581884681084623e-06,4.188836474017949e-06,-6.97613584969101e-08,-2.015243280194867e-05,-2.1312258891556253e-05,1.8464738083893243e-05,1.9458639202426014e-05,6.517833944916125e-06,1.631716039205409e-05,3.4079006869493144e-05,2.63474306791452e-05,1.914773079781077e-05,2.9062265198349104e-05,2.8629781189502124e-05,2.1966959326929774e-05,1.8172741425838416e-05,3.120793950079701e-05,4.795604305463362e-05
15000.0,-2.317446719680428e-05,-1.3845098503063007e-05,-8.00499974322086e-06,-5.1625592948734835e-06,-2.0129542318174875e-05,-1.816926157960342e-05,-5.96915090471756e-06,-2.9918752127775203e-06,-4.0541607704733185e-06,-4.695050609909581e-06,8.532813072625633e-06,1.5603829846729063e-05,-6.493394340341491e-06,-4.349852846393915e-06,-7.249596730113391e-06,1.2761179085537766e-05,2.4355703303568032e-05,4.1050106805215756e-05,3.303604291379244e-05,2.246200080288813e-05,4.067689898777521e-05,5.491812819485367e-05,6.491638573652722e-05,8.121850123241277e-05,7.145677584169052e-05,4.261319389245981e-05,3.678797175610653e-05,6.078837280647018e-05,6.843846757200952e-05,6.319595877035608e-05,4.378171983868133e-05,5.401812275081615e-05,6.920368568259405e-05,7.69480824145387e-05,7.699415221220797e-05,7.104105877162174e-05,5.934140648989326e-05,3.36888762111697e-05,3.153842805480839e-05,2.1870464810946984e-05,1.2965502116525559e-05,-1.5071201733211309e-06,7.81756579990702e-06,2.7749536577073905e-05
20000.0,-4.3639360904625995e-05,-2.265861648038919e-05,5.6581215850068025e-06,1.8236549667390166e-05,-4.043638626889428e-06,8.502247704042884e-06,1.6652466655510213e-05,2.485005822245011e-06,-1.1195600892759564e-05,-1.3892662426884085e-05,1.1505123491448535e-05,2.5122937730138146e-05,-9.217733016623696e-06,-1.498231967748749e-05,2.1388741605686545e-05,2.141214435354728e-05,-2.9629258595498996e-06,-1.2242241209243464e-05,8.546607523725812e-06,1.1545702642703805e-05,-1.2322882977376687e-05,9.78520944627397e-06,2.9887042263144712e-05,7.906066335518203e-06,-1.9969634445547752e-05,-1.2925312258537282e-05,3.7563896206440324e-06,7.785859767504244e-06,4.7900763768367025e-06,4.9934426094592945e-06,3.533856055130549e-05,5.309200901837671e-05,5.501092102700319e-05,4.596472013061183e-05,3.248990444978684e-05,4.452461073857007e-05,6.265184689276138e-05,7.413921748024157e-05,7.989351858625558e-05,5.026390630150862e-05,2.4221924150077316e-05,-6.874629139919622e-06,-1.7929536800720367e-05,-2.3156752887129332e-05
25000.0,-3.097579343755432e-05,-1.5274492004291827e-05,8.210857019078164e-06,2.3865908035418537e-05,1.8499426828426176e-07,-1.5469438619362023e-05,7.361028781691749e-06,1.894283314623395e-05,-3.6833536852220812e-06,-1.6261241534329672e-05,1.0949586447879304e-05,2.0385493800477327e-05,-1.3057612730725355e-05,-8.874669325193694e-06,2.742029665576964e-05,2.2151339722724912e-05,-1.816388855412241e-05,-2.589873255090139e-05,-2.0675720293461108e-06,-6.309494166608029e-07,-2.4582511735594823e-05,-2.3852985478050328e-05,-9.160167459917991e-06,-2.1586997011849087e-05,-3.7421221624709205e-05,-2.7814916255338093e-05,-1.534408340239665e-05,-2.054285328307522e-05,-3.603855923932273e-05,-3.644411505255094e-05,-3.0878266103401694e-06,-1.9426620883629696e-05,-3.802578342459321e-05,-3.538473519968252e-05,-2.658207597961594e-05,-2.885742759926062e-05,-3.691150396523104e-05,-2.5044338687229124e-05,-6.120471080587131e-06,-7.957473930132942e-06,-1.6156166114142236e-05,-2.5924571423244278e-05,-3.081308426267003e-05,-3.305356736844722e-05
30000.0,-1.7820404255109882e-05,8.430677667623761e-07,2.178218661870739e-05,1.438733251023354e-05,-1.2579538187675151e-05,-1.5423184298059542e-05,1.2739198540677167e-05,2.3295864818112034e-05,2.9845563668931196e-07,-1.183683263048962e-05,1.1760556269393627e-05,1.6781465988459205e-05,-7.915152919862335e-06,-5.835390826825536e-06,2.174067311655649e-05,2.118136777751517e-05,-7.588239497593963e-06,-2.4831830222440153e-05,-1.1295498915520482e-05,-4.902316494199726e-06,-2.1655169829418698e-05,-3.482035856899987e-05,-2.1846424094125005e-05,-2.0791910755701393e-05,-2.9947243495516864e-05,-2.4755794369751292e-05,-1.584941365644001e-05,-2.2946898247462525e-05,-3.709152410668012e-05,-4.06559583787596e-05,-2.1808272131231437e-05,-3.154689450139343e-05,-5.364003541808977e-05,-5.4230395112737966e-05,-4.1509176342215636e-05,-5.38752409876366e-05,-7.286793416138298e-05,-6.81066894396476e-05,-6.227263814657481e-05,-5.242576267157662e-05,-4.3343468298084286e-05,-3.407241592840136e-05,-3.761844467492921e-05,-4.412697282539812e-05
35000.0,-1.68991704846106e-05,-8.626182896160412e-06,1.5311766995342672e-05,1.898514125770728e-05,-1.6476032228834577e-05,-1.2956331722584527e-05,2.30312770946197e-05,2.341368888432738e-05,-1.0930176843719082e-05,-1.9806045432697314e-05,1.373696975346838e-05,3.088144790652206e-05,1.6331107634542124e-06,-1.411048838165702e-06,2.4959104870275342e-05,1.8889923565070587e-05,-1.603757258774903e-06,-1.5695013978181634e-05,-8.984545246164427e-06,-5.5264293099016366e-06,-1.5617264814594047e-05,-2.634348845951415e-05,-2.1148968780380612e-05,-2.2402739820062437e-05,-2.7008224109768103e-05,-2.3372542877147894e-05,-1.3927323819961262e-05,-1.746299085663408e-05,-2.9092439295031428e-05,-3.2023357257433247e-05,-1.9993968903894877e-05,-3.130062254226323e-05,-5.461211206993921e-05,-6.029392929566902e-05,-4.1842474184827156e-05,-5.3084370735889256e-05,-6.964586538030739e-05,-7.586124426944995e-05,-7.403596719550002e-05,-6.492888543113005e-05,-4.9805827293943e-05,-3.0193712078936404e-05,-3.690114965502506e-05,-4.817652508601192e-05
40000.0,-1.5718805283418105e-05,-7.483952507378724e-06,8.875269644678829e-06,1.1277905808279634e-05,-1.5235593826051255e-05,-1.665728272015858e-05,2.2003748330953677e-05,2.2786506943692863e-05,-1.754159579780247e-05,-2.089308497310414e-05,1.715617203348406e-05,2.830120101514556e-05,3.3864295724811114e-07,2.572821618649062e-06,2.5668528076510057e-05,2.5523785064208215e-05,6.368405959623993e-06,-6.028895786623989e-06,-1.5632781525060247e-07,-7.693713226843104e-07,-3.6506315519344415e-08,-1.7303952570042163e-05,-1.9319933990322012e-05,-2.469165258974881e-05,-2.329088322553183e-05,-2.13662539422322e-05,-1.2053932977744482e-05,-1.0961331709389029e-05,-1.831175066688739e-05,-2.2568179919829067e-05,-1.1571504486917757e-05,-2.8143530104694554e-05,-5.385457302087534e-05,-5.870418225279957e-05,-4.350906561090961e-05,-5.374481909327441e-05,-6.439186268100931e-05,-7.280609678028704e-05,-7.014948605487347e-05,-5.64035413232313e-05,-4.500069325479175e-05,-2.752243701039594e-05,-3.173651168926349e-05,-3.8306657945424666e-05
45000.0,-2.3545320645123072e-05,-1.599869622873243e-05,5.597829004725666e-06,1.639921756115582e-05,-7.601967294047878e-06,-1.949183319851288e-05,1.5476068239408535e-05,1.825073606894262e-05,-1.4246314990023104e-05,-1.817401499042913e-05,1.7523356231516627e-05,2.011206114054417e-05,-1.106872271041159e-05,-6.219613452065638e-06,2.4045876650210036e-05,3.0474167758596907e-05,1.1899016369971599e-05,9.510589880959297e-08,8.74313892013619e-06,4.137062598583134e-06,1.1941505412470215e-05,-1.1800008537488147e-05,-1.3337754130329377e-05,-1.943511897621623e-05,-1.8928230763472857e-05,-2.07803207556658e-05,-1.2791003358992246e-05,-9.208849565855293e-06,-1.1413248740052267e-05,-1.4611060418565534e-05,-4.164914303913011e-06,-2.029649929848362e-05,-4.4621892069516555e-05,-4.7426923464488e-05,-3.9995942956908316e-05,-5.5859555714520125e-05,-6.504302771735789e-05,-7.191853766971958e-05,-6.063034216032845e-05,-4.482972690454632e-05,-4.529143070612507e-05,-3.181082532801561e-05,-2.2621113154741025e-05,-2.612814974488436e-05
50000.0,-2.6801102825579184e-05,-1.7583090308836724e-05,3.1284000681714765e-06,1.1294838168219439e-05,-9.525224452388571e-06,-2.1615048880273265e-05,1.1348479098486993e-05,1.6607471350821027e-05,-1.0159525343364072e-05,-1.6349489472035317e-05,1.4242338906195866e-05,1.1881279199151417e-05,-1.7790272330955324e-05,-1.1414373638495651e-05,1.922506824347326e-05,2.817451157517484e-05,1.2841845150740693e-05,-1.1537138110085352e-06,1.070380983688796e-05,1.0686660609468277e-05,1.391565201078767e-05,-9.744989750200922e-06,-5.875163814093629e-06,-7.2174078750927785e-06,-1.2078029309971009e-05,-1.8193837555658716e-05,-1.3035484250759637e-05,-5.1164627634697295e-06,-8.97205826330634e-06,-1.184492470215132e-05,2.6671172322004623e-06,-1.192836959371153e-05,-3.0505680533356135e-05,-3.080903203931291e-05,-2.7815214039939764e-05,-4.797695318534399e-05,-5.883868639775645e-05,-6.783418603507413e-05,-5.3530799272923106e-05,-3.93998248105452e-05,-4.4891131247078175e-05,-3.074161080388813e-05,-1.8489428070307725e-05,-2.581304675819874e-05
55000.0,-2.8510086662545504e-05,-1.4133682515495118e-05,9.733099610834133e-06,1.197319466031062e-05,-1.4556514381129619e-05,-2.8204308320132493e-05,1.813837705714668e-06,1.4572565118271443e-05,-1.0136984041153229e-05,-2.2605153517907192e-05,7.05338712763215e-06,1.5030886656428994e-05,-1.3537517041318115e-05,-1.4630667866386439e-05,1.2369350886349488e-05,2.7871645188297124e-05,1.2055408925258583e-05,5.5364133810526806e-06,1.3813379104588846e-05,8.823642014572595e-06,9.895640335586681e-06,-5.597721443424275e-06,-2.5813565414081638e-06,-2.8181926702770216e-06,-7.903196184550586e-06,-1.4492227062757629e-05,-1.2269840411674616e-05,-2.2459485808193396e-06,-7.003034677076381e-06,-7.430036135493854e-06,6.695640269858541e-06,-6.74401016716478e-06,-2.10277693365624e-05,-1.7382159197621625e-05,-1.4642547523728468e-05,-3.696846615604969e-05,-4.91488353091898e-05,-5.647974576478327e-05,-4.6993565462941156e-05,-3.439801087509613e-05,-3.7936421590606003e-05,-2.441122123464169e-05,-1.677828797606959e-05,-2.3001320376596575e-05
