,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,-6.727606464893113e-13,-8.921598341888938e-12,-5.188661849206229e-12,8.26353381733216e-12,1.2683718255092341e-11,1.179207929409823e-12,5.446401954081987e-12,5.787204630387756e-12,1.0602131210408827e-11,-1.2755511004336086e-12,-9.02513043290726e-12,1.0326137747061554e-11,1.9728661290889328e-11,5.118123056008832e-13,2.2256176251378982e-12,-9.765504910359672e-12,9.896502652578063e-12,6.8991974958608315e-12,1.1491055822577046e-11,1.1403955945194111e-11,8.909864612334075e-12,1.3550746429839992e-11,4.7567430317132116e-12,-4.257714565799658e-12,8.57896228848912e-12,6.85771039911028e-12,-1.5466037915852894e-12,2.5371501030147603e-12,-2.5867437262973153e-12,4.002202817426805e-12,7.334068483226057e-13,1.1792973551592586e-11,-9.715467947630967e-13,5.848324525042836e-12,1.2294925835358336e-12,-1.3178571957857886e-12,-1.3296622905591814e-12,2.609801345701925e-12,-1.7976593232958587e-12,-3.0335582813500055e-12,8.660363669884761e-13,2.9854856099890576e-12,-1.2462004251500603e-12,-4.833586724512884e-12
15000.0,2.497636330352568e-11,5.449044969939419e-11,3.012217166177254e-11,1.3793624389575378e-10,9.842581582222208e-11,1.4238401574982689e-11,5.2995398513118775e-11,3.637592235488545e-11,1.1035202631275504e-10,4.871436063997758e-11,5.92994959602331e-11,1.615057189874488e-10,1.3157264530386796e-10,7.822999577585032e-11,1.4748883672674956e-10,2.4598548154385757e-10,1.010121815021677e-10,7.395301008760431e-11,1.3132573968786484e-10,2.1074999326832145e-10,1.8059939454062974e-10,1.237535759381772e-10,1.0818534876338222e-10,6.447033047191687e-11,1.8846453575895178e-11,3.0778213385480446e-11,1.7702795032841195e-11,3.6465810034869666e-11,8.753965848104245e-12,9.98251004408344e-12,1.5059786328039045e-11,8.42943173905182e-12,1.276379385949049e-11,1.5628536028806914e-11,1.148334362625498e-11,1.490048222250837e-11,7.803176641782384e-12,1.593318480327447e-11,2.2107326941551883e-11,1.8577554999204546e-11,4.796836760916714e-12,1.4921164802848392e-11,7.711386400004868e-12,-1.6363500518667563e-11
20000.0,-2.4980152837373195e-10,-2.903633105194264e-10,-2.0050876985723278e-10,2.948289920110602e-10,5.760259252308225e-10,2.132007937016547e-10,2.6708979667757287e-10,1.963116744894748e-10,4.992351899625916e-10,2.4702505039762665e-10,2.6756034990502313e-10,6.496324817052007e-10,1.0880147459232192e-09,1.2114305498414183e-09,1.1441832968827303e-09,1.1387971722033373e-09,8.799404365574963e-10,6.3807169045158e-10,6.08361189798346e-10,6.924755275176613e-10,7.385567118176283e-10,6.107886980711115e-10,7.677944589791888e-10,5.346638959134697e-10,3.34740304894208e-10,2.2568168645402286e-10,1.8627102147727704e-10,1.2563073308126772e-10,4.904294144752347e-11,1.2263599597214388e-10,1.1787349743465182e-10,4.954743358064091e-11,2.6015709280356467e-10,2.6060678524200326e-10,2.432684790446259e-10,2.0837400517613576e-10,1.1982232290343656e-12,2.5019742938642705e-10,2.194288267275636e-10,1.1873115638189523e-10,-2.6587516294297872e-11,1.2263102664013164e-10,8.258149747187303e-11,4.267861955055038e-11
25000.0,-7.889488549953772e-10,-5.00951187312218e-10,-2.44278662802287e-10,7.384026046680866e-10,8.584605855840467e-10,9.349816204617043e-10,-5.609225145774846e-10,8.314644504711574e-10,1.5328420762076368e-09,1.2851333460408079e-09,9.730391255760994e-10,2.200605096094852e-09,3.8783133313008385e-09,3.3790519558624635e-09,3.6707342704973403e-09,3.859038957565477e-09,2.1096302875082732e-09,2.1334015146179273e-09,1.0153303823523285e-09,2.1596720510550375e-09,2.863579511827076e-09,2.093431424836328e-09,1.8513509754493461e-09,5.201002452678083e-10,7.934781032181707e-10,8.715508417337203e-10,5.528955433427832e-10,8.467013440844333e-10,5.351903781338792e-10,6.059962949519949e-10,6.880215669642854e-10,6.765848896017779e-10,2.7234734501384e-10,5.662010299691988e-10,8.890714837585231e-10,7.218466566121707e-10,3.884367909678329e-10,7.572659644730694e-10,1.1773116240783835e-09,1.0245016651884001e-09,7.477728559357886e-10,4.063648000005152e-10,4.4087349531583764e-11,8.596163093541232e-10
30000.0,-5.654595351329704e-10,-9.814669844791188e-10,3.091295563926075e-10,1.507476851350759e-09,1.981094769338432e-09,1.4559844420670153e-09,-2.6259504815570518e-09,9.007774324364572e-10,4.354961509759813e-09,3.0073003756212137e-09,2.4068232762073904e-09,3.3334006965085466e-09,6.69208386171065e-09,7.319305327622857e-09,8.634815468081052e-09,5.625780479583114e-09,3.752421038008907e-09,5.1520014479317e-09,2.3877223648341492e-09,4.392769414677697e-09,5.240782167909354e-09,4.388067033853734e-09,2.722984587747608e-09,1.1092892166128356e-09,4.574061633739526e-10,1.2690882650507203e-09,1.4206607798364746e-09,1.3512953773251043e-09,6.890492103731585e-10,1.463188393695022e-09,5.617812101819628e-10,7.438428632461631e-10,4.3026511746297516e-10,1.5273648111661904e-09,2.3862257274830682e-09,6.723552285975291e-10,-7.458801879600758e-10,9.687923485518326e-10,1.5246039656509112e-09,1.199737715356064e-09,1.0601389787431522e-09,7.143400252339709e-10,1.0992510599871836e-10,1.5289936853444728e-09
35000.0,-2.1925547129995376e-10,-1.3800124064525138e-09,1.13645782935005e-09,4.794948632279794e-09,2.8988180364626233e-10,-7.449607597574564e-11,-2.7077913284474272e-09,3.508233444327257e-10,6.2866054784676245e-09,3.405860851453139e-09,3.0285777613838937e-09,4.268983265227141e-09,1.2590530968589536e-08,9.44087315391403e-09,1.1183373073336268e-08,4.9694404867816475e-09,2.911012647135772e-09,6.115992302173497e-09,5.387345866563317e-09,6.788170251978368e-09,7.0618771962399185e-09,6.597546495669556e-09,3.6813561782208955e-09,2.5463812265380733e-09,-8.474524586712011e-10,2.0129724491847873e-09,1.8761546545809103e-09,3.3277818056928893e-10,4.147837026639917e-10,1.8400375909808946e-09,2.603513422304872e-09,1.0621121920898168e-09,5.961625984351439e-10,3.6716783115355173e-09,3.155521858786589e-09,-2.212701892764481e-09,-1.7820603410025555e-09,-1.2294323826157416e-09,1.7791659673965084e-09,4.074452953919399e-09,7.651702106255119e-10,2.52532828463482e-10,6.361714068627943e-11,-1.061748617917612e-09
40000.0,1.8224699883303252e-09,1.5852513152039497e-09,9.537305309874355e-10,6.8286935498660185e-09,-3.7533899187791985e-09,-6.679095160017593e-10,1.3834627476197745e-10,6.047637337518129e-09,3.610596147451744e-09,8.21282844627479e-10,2.0826232267356935e-09,2.6438684039964613e-09,1.1449450875561852e-08,6.661898882282438e-09,8.5319753555855e-09,2.8423700995876e-09,-3.2718494166680837e-09,2.3951323447420203e-09,6.979020999786247e-09,6.526862909990477e-09,7.598944941504257e-09,8.043541036511797e-09,2.165623434538305e-09,3.4046953863981892e-09,-9.581520279688704e-10,2.7646400461625364e-09,1.325624327699613e-09,-6.035363246542273e-10,2.751012432641822e-09,2.111389951339996e-09,3.173573303649544e-09,3.680964724147282e-09,3.129852830471598e-09,2.2168085232605954e-09,1.862769512873789e-09,-2.218355230361544e-09,-2.5048745836497975e-09,-7.856617126660038e-10,3.074210938110883e-10,3.3204358427280084e-09,6.470926013950759e-10,-1.4990430390884578e-10,1.2800291061568063e-09,1.0342395752235518e-09
45000.0,2.8829170663431158e-09,2.7431066889306577e-09,2.2974069517450302e-09,6.9277797258285775e-09,-8.13043165897337e-09,1.8126779127624726e-09,3.739423359968112e-10,6.666869644854657e-09,-3.1137252715495993e-10,4.827691282272452e-10,6.9556590049487065e-09,6.344195065977236e-09,1.6313481010260864e-08,9.38019434507787e-10,4.489445589034992e-09,2.2202377687315094e-09,-1.1491702413297453e-08,-5.1930363572484064e-09,7.865558067571822e-09,3.741785442145813e-09,9.410441684940342e-10,8.727952273280917e-09,1.024676825834131e-09,-5.342444764426936e-10,-1.887963321467421e-10,4.5418140780468885e-09,2.959330624425887e-09,-1.048700645496081e-09,3.1765978121218154e-09,3.2561890079722834e-09,3.5243641380602448e-09,5.939015671861299e-09,7.760434878302342e-09,1.6215725657882685e-10,3.72618934343748e-09,1.2332507451273868e-09,-5.4783173437065805e-09,-3.2659262679531683e-09,-9.330715833405556e-10,2.053520556155049e-09,1.1516619905803103e-09,1.0993245048318633e-09,-6.850999210308766e-10,-2.3741561046069435e-09
50000.0,6.115452564921707e-09,1.6284047299702617e-09,1.8831732098601075e-09,4.179761540969875e-09,-7.124419458870827e-09,4.284625489390038e-09,2.5679738625317213e-10,7.601450017003817e-09,3.4147814511918024e-09,-7.067864709462414e-09,6.2535447739017574e-09,1.4123000010807449e-08,2.6056410956476238e-08,-4.648720789479897e-09,-2.1156343804316536e-09,-8.643680837038139e-10,-1.729858951184173e-08,-1.3910442361385769e-08,4.81073452770392e-09,-4.665538775675449e-10,-9.139055542291934e-09,5.536961379868508e-09,1.4006075534530604e-10,-4.3980994103358684e-09,-3.281676633491563e-09,7.166932651435429e-09,5.345859381219441e-09,-9.320483190019222e-11,3.727612511062477e-09,7.79547306405461e-09,4.2294840845149124e-10,3.5437234468403708e-09,8.308445574184008e-09,-1.1559146037056407e-09,8.633878206702117e-09,6.13111730702454e-09,-1.0295559493972004e-08,-7.654151008438627e-10,-3.3724766867779523e-09,2.038283335271815e-09,2.4369431013021364e-09,1.968883552099538e-09,-6.524579892310143e-09,-6.034392597268952e-09
55000.0,1.2572394928190405e-08,1.335822743971819e-09,3.8418674475640355e-10,8.38866091542502e-10,-1.3678852351724972e-09,9.050586151068228e-09,1.3256197423110126e-08,1.3885038127374468e-08,1.383596978091236e-08,-8.627184599300549e-09,6.569777504648736e-09,1.838842135847705e-08,2.670361660634532e-08,-8.99357499461427e-09,-1.1584484277856293e-08,-2.2582630359525807e-08,-2.5475289495414507e-08,-1.9124688407951245e-08,-2.8931164702102303e-09,-6.912728176835505e-09,-2.0361708736500346e-08,2.1370832411776316e-09,-7.631571553769551e-10,-6.744293343781999e-09,-6.9847399130695786e-09,6.717856553818845e-09,9.079670156613942e-09,1.446412446266565e-09,1.805804757920265e-09,1.4413657097520841e-08,-3.7894215307052136e-09,-4.125300737941644e-09,6.249385236118865e-09,1.5178810862336333e-09,6.1040142305150534e-09,4.101359761263197e-09,-1.004851616248728e-08,-2.489072671902449e-10,-4.200102238178901e-09,-1.991434321390748e-09,2.5574034098038233e-09,7.292069053754917e-10,-1.5113300634342197e-09,-1.0332565484338986e-08
