,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,-1.6563558219645548e-12,-3.6701241119490085e-12,1.4362705856326327e-13,7.915867355754966e-12,5.4678202804872046e-12,1.3928682847622155e-12,-1.511124023581132e-12,8.984437801660207e-13,5.169013832787352e-13,-2.6966581293468192e-12,-4.086117612541199e-13,5.077585176051192e-12,2.542201672115394e-13,1.953839383831754e-12,5.692971320459635e-12,6.35516807901554e-12,3.8419454848665106e-15,-2.203467776380406e-12,-4.801858079568855e-12,-6.030106817291894e-12,-4.018220118474874e-12,-2.400841221008739e-12,-1.126189496808526e-12,-1.1532019208158647e-12,-1.4253519284991776e-12,-2.1725536775540867e-12,-2.3823148416840626e-12,-2.5769506395224124e-12,-4.898077187036816e-12,-6.545621031406702e-12,-8.46656316750554e-12,-5.244288665358502e-12,-4.1488301292958065e-12,-2.687700657838283e-12,-1.825011923273515e-12,-1.1392945715679354e-12,-6.744516663843215e-13,1.1358418526924834e-12,2.5703702783512793e-12,3.328041006263913e-12,3.6302709429663223e-12,3.996533503178077e-12,2.7025425609979545e-12,1.4355531058967214e-12
15000.0,6.270774932100669e-11,-3.7828618737711154e-13,-7.619057691813005e-12,2.8794585607399653e-11,1.3458623111364096e-11,-2.931944019949074e-11,-2.124786586985435e-11,3.074050791028611e-11,2.624007327239467e-11,-9.015475193236301e-12,3.902683596030665e-12,2.710863745143326e-11,-3.260900069570428e-11,1.2417652313260464e-12,1.8574056305173875e-11,1.7960179766293401e-12,-4.0143773760227945e-11,-2.6142429345304126e-11,1.358317241818855e-13,1.8911439623989747e-12,-2.7000305867691226e-11,-3.012658386983924e-11,-2.829078575312599e-11,-4.1381615339822706e-11,-4.364523711218543e-11,-3.195860298433843e-11,-2.8415665368321573e-11,-3.874319764468557e-11,-4.672249629099006e-11,-3.5744285354605765e-11,-1.6580740565820565e-11,-1.5368110176422505e-11,-1.8448799545854706e-11,-2.0031773570717752e-11,-1.7593152867922416e-11,-1.332458659997194e-11,-7.726205134733513e-12,-2.030396087767253e-12,-5.276181216951437e-12,-5.5601047230353414e-12,-6.167940575714221e-12,3.136286300979001e-13,-4.173994000354971e-12,-1.2220953506146526e-11
20000.0,2.68119338688715e-10,-5.28263594078432e-11,-1.7109000990126182e-10,1.9857384789601499e-10,-6.721888131148927e-12,-3.219768427225808e-10,-1.7346592884304064e-10,3.27320189625312e-10,3.534853707079846e-10,3.763410829462724e-11,3.977207066856753e-11,2.0836363139602515e-10,9.158370005781487e-11,5.493990634654987e-11,-9.40121433715747e-11,-2.313286915959762e-10,-2.5862534050463377e-10,-1.4834210791218496e-10,2.226869890457993e-11,-1.1954148419319688e-10,-3.880036116228598e-10,-2.6989113496853366e-10,-1.6002020580155904e-10,-1.8149437511186598e-10,-9.205359719091e-11,1.2313726082833898e-11,-4.562095823560674e-12,-1.3032965225621634e-10,-1.1623846112551747e-10,-5.6279384228556024e-11,-5.5934423157932336e-11,-1.1890608924230443e-10,-2.2651933044048453e-10,-2.72726033428667e-10,-2.2750967610649107e-10,-2.3208816423314636e-10,-2.5687925276439e-10,-2.220246818491082e-10,-2.2956494886781578e-10,-1.856908503112636e-10,-1.418840627400405e-10,-1.114901714147696e-10,-1.0906868008627874e-10,-1.3309345676713935e-10
25000.0,1.0848621841453332e-09,6.614069618531953e-10,2.0988640224426032e-10,4.091150024753178e-10,3.441215488825608e-11,-1.318656565041461e-09,-1.7154505831869451e-09,-4.908625014582287e-10,8.7336837157619e-10,2.625574219610655e-10,1.7165346526031485e-10,1.2159878651987204e-09,9.610810564270038e-10,5.629067476465861e-10,1.180355417840143e-10,-4.6384462104597627e-10,-9.913398395241146e-10,-8.675415944451882e-10,-5.79668707136526e-10,-9.036135950353661e-10,-1.4130647897191876e-09,-1.2820856779856802e-09,-5.150314058005468e-10,-2.2134314926469282e-10,-3.4062618965795035e-10,-2.2482145986222203e-10,9.720820025434572e-13,-5.934119770132353e-11,-3.8821151103533074e-10,-4.2333140600098525e-10,-4.1727948186418395e-10,-6.248403569046248e-10,-6.497384118412633e-10,-7.133974289652678e-10,-7.403827678352238e-10,-9.305577213275933e-10,-1.0297748845925929e-09,-8.925450135009947e-10,-9.676177924389533e-10,-1.1222731990322598e-09,-1.0751380732134198e-09,-6.820790108324629e-10,-2.709908853591878e-10,-3.484001164289769e-10
30000.0,7.882629910326651e-10,1.88049950790622e-09,1.1965318973987322e-09,1.7018372673105335e-09,3.2489410961970116e-09,-8.496690393983366e-10,-4.7875042167047375e-09,-2.583100008218257e-09,1.2654988120559612e-10,-1.8452469277035706e-09,-2.0336764388779202e-09,1.8727703352924533e-09,2.5442480185235315e-09,2.141732865246984e-09,3.8121430097648774e-10,-1.1556712301193823e-09,-1.9675555798223095e-09,-2.4394436472424556e-09,-2.2703982094123573e-09,-2.817289811328817e-09,-3.9749353897126245e-09,-3.62450586955901e-09,-1.92371106839816e-09,-8.9894849192119e-10,-9.882137804964462e-10,-4.405916266065703e-10,-1.094323757674381e-10,-3.7819933406196817e-10,-1.2970636515554753e-09,-1.1768319083158071e-09,-7.476756310655681e-10,-1.2395903480594876e-09,-1.5298344006556798e-09,-1.065862317848271e-09,-9.799891278317492e-10,-1.4845863669433984e-09,-1.8877213419730126e-09,-2.126560163357822e-09,-2.6228397396909154e-09,-3.4037485723020953e-09,-3.2356389066668287e-09,-1.9845732708398425e-09,-9.832838274052424e-10,-5.472868073887157e-10
35000.0,-1.8834101267011497e-09,1.7407501502921673e-09,2.920652174568681e-09,4.9786829056895965e-09,6.151660617486898e-09,2.1032368917199743e-09,-3.5079742806365526e-09,-3.761396575448233e-09,-6.902536499375713e-10,-2.891227597449347e-09,-5.498497339175892e-09,1.594658044748171e-09,4.319773199052622e-09,3.951939002931781e-09,-1.6660638610877508e-10,-3.716792800403173e-09,-4.070875361989112e-09,-5.051528601127406e-09,-4.535540193882293e-09,-6.106363226804173e-09,-8.291972244995894e-09,-6.536406512051772e-09,-3.676028166430965e-09,-2.650006514054562e-09,-2.137655137292549e-09,-4.36043232487183e-10,-2.7327493468164233e-11,-5.41290089914924e-10,-2.1979614231100993e-09,-2.222570858617628e-09,-1.5007599413128147e-09,-2.9315235532987137e-09,-3.2604785158189684e-09,-2.2268493933083556e-09,-2.059715647069201e-09,-2.802586197023066e-09,-2.748740842446689e-09,-3.282349080649163e-09,-4.530149223056445e-09,-5.251142788084805e-09,-4.870213735733275e-09,-3.473855306109967e-09,-2.849904166027817e-09,-1.3812672047227388e-09
40000.0,-3.727904460600597e-09,-1.4991415711899168e-10,3.0727785803553643e-09,8.936735571636904e-09,7.930016660141734e-09,2.1141494346862217e-09,-5.3243221693978407e-11,5.836034121445885e-09,3.3267090357849017e-09,-8.40867992470416e-10,-5.219152416626409e-09,-1.312682424482422e-10,4.736422260486778e-09,5.5505053918001965e-09,-4.29013541035695e-10,-9.05603566284469e-09,-7.618797391136575e-09,-8.885704875386539e-09,-7.149230824630221e-09,-9.23838325848537e-09,-1.1685711646402086e-08,-9.487466461205736e-09,-4.678866932407966e-09,-3.559836622368355e-09,-3.6078930545778915e-09,-1.3673345504960028e-09,-4.861036170907066e-10,-9.632646249820176e-10,-2.4896529353611346e-09,-4.654173551407315e-09,-4.489668985241124e-09,-5.137592576873054e-09,-6.494289723715327e-09,-6.5435148648878446e-09,-5.3214746287407875e-09,-4.232576769241984e-09,-2.99211162190129e-09,-3.1632960951452886e-09,-6.180127188170298e-09,-7.72425403572957e-09,-7.3407332340316095e-09,-4.98239839096561e-09,-2.4881451771351972e-09,-1.093255745342287e-09
45000.0,-3.5759626566055936e-09,-1.3858302754715373e-09,2.164924806648667e-09,1.1947331944869785e-08,1.0075801194243301e-08,2.326223867785918e-09,1.5485801613945131e-09,1.00214200692244e-08,1.0938208082727243e-08,5.426611487939884e-09,-6.508108803450821e-11,2.49802989260252e-09,9.316859365638914e-09,8.323756152653762e-09,7.35026219311785e-10,-9.264849510818145e-09,-1.012993871647146e-08,-1.292563836300263e-08,-1.0708823147796507e-08,-1.1754657754765967e-08,-1.2223579580868109e-08,-1.3090510893697095e-08,-6.6342245279060485e-09,-4.269817099252276e-09,-3.90156920188258e-09,-1.86830480009885e-09,-4.512567011723408e-10,-2.2909158498849484e-09,-4.9586855374629775e-09,-6.386537372145648e-09,-8.284065559305089e-09,-9.88525500910938e-09,-1.1844345752022022e-08,-1.398218175503343e-08,-1.1320840497569707e-08,-8.69197757057824e-09,-4.958629987064127e-09,-2.580395157998263e-09,-6.535344504186793e-09,-1.0185858752877645e-08,-9.91443765238067e-09,-6.3363178541842915e-09,-3.5582557909302255e-09,-1.304934669813697e-09
50000.0,1.2249926055485449e-11,-1.6440850334949386e-09,-2.7089713065923906e-11,1.0255664868107188e-08,1.176605640532232e-08,5.406923554399162e-09,2.7008819299445255e-09,1.3654552916701301e-08,2.0945087503994882e-08,8.474638914291463e-09,1.3714453068694072e-09,1.430713227039567e-08,2.010194028542039e-08,9.745386034145577e-09,-1.6487112678428624e-10,-1.008576282678182e-08,-8.335242405039738e-09,-1.116345011861265e-08,-1.3400718169627359e-08,-1.6436585775328876e-08,-1.2652306347363668e-08,-1.5360478713841344e-08,-8.697368635704313e-09,-4.226712937378571e-09,-5.0762306908222534e-09,-3.0849115061351257e-09,-1.2968772571187248e-09,-5.225946582490668e-09,-7.097230950325892e-09,-9.01291003579643e-09,-1.4566430436436965e-08,-1.601174906856426e-08,-1.9526529855233714e-08,-2.3330290394854223e-08,-2.007628504792748e-08,-1.474258204773121e-08,-7.964597525517598e-09,-1.3380565261022847e-09,-6.281069860702674e-09,-1.4028551562999608e-08,-1.5239128491073597e-08,-1.1203042038914326e-08,-6.5244163272375204e-09,-1.0197898619140143e-09
55000.0,5.751983507838481e-09,-1.9568309210518393e-09,-2.5400537818787505e-09,7.183849948240443e-09,1.2393085623987783e-08,1.4299831636558336e-08,1.2800026074487231e-08,1.7360217954732817e-08,2.4104817388302526e-08,1.1191976908534447e-08,9.845186236593578e-09,2.2082484455067056e-08,2.2562092561315694e-08,1.0849840010084466e-08,-4.196290122849628e-09,-2.1053224639931253e-08,-1.2099392560527481e-08,-8.316893466568884e-09,-1.085830506073325e-08,-2.0641490288465322e-08,-1.246429297030686e-08,-1.4669322231397725e-08,-9.027481667760973e-09,-3.087274635319469e-09,-4.7447304256836385e-09,-6.286582221775564e-09,-4.422547005532309e-09,-1.064779936603858e-08,-1.3588397511910607e-08,-1.551183724821911e-08,-2.018757896555014e-08,-2.154999912835531e-08,-2.7821176664366224e-08,-3.0137459056403624e-08,-2.7262234000434033e-08,-2.0980745840729112e-08,-1.2063461254039951e-08,-3.2843351136474696e-09,-7.503977990238139e-09,-1.662823528026834e-08,-1.972731133507536e-08,-1.7063752091966765e-08,-1.0383313254006783e-08,-7.625224395188792e-09
