,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,9.83595177373841e-13,-5.251474235304461e-12,-5.332288909839507e-12,3.4766645944907017e-13,7.215897969583026e-12,-2.1366036291149762e-13,6.957525975201816e-12,4.888760852180457e-12,1.0085229830538575e-11,1.4211070279773062e-12,-8.616518662452388e-12,5.248552551410736e-12,1.9474441132385688e-11,-1.4420270799488865e-12,-3.4673536903896e-12,-1.6120672998060215e-11,9.892660706908813e-12,9.10266527079373e-12,1.6292913915497346e-11,1.7434062763606448e-11,1.2928084726727065e-11,1.5951587650598802e-11,5.882932530312045e-12,-3.1045126448781695e-12,1.0004314220050112e-11,9.030264077717464e-12,8.357110463518623e-13,5.114100740683736e-12,2.3113334713827775e-12,1.054782384929805e-11,9.199970016152734e-12,1.703726222725135e-11,3.177283332899064e-12,8.536025184679174e-12,3.0545045046340073e-12,-1.7856262295217058e-13,-6.552106219298331e-13,1.4739594879463482e-12,-4.3680296087874685e-12,-6.3615992887070494e-12,-2.764234577495456e-12,-1.0110478927656718e-12,-3.94874298407476e-12,-6.269139833982193e-12
15000.0,-3.773138591993731e-11,5.486873597974317e-11,3.77412293122039e-11,1.0914165834679008e-10,8.496719272436241e-11,4.355784177569304e-11,7.424326444452206e-11,5.635414416117559e-12,8.411195305918637e-11,5.7729835827838265e-11,5.539681237028046e-11,1.3439708156112912e-10,1.6418164590072166e-10,7.698823053201973e-11,1.2891478034446527e-10,2.441894635822428e-10,1.4115595525404645e-10,1.0009543939172851e-10,1.31189907982273e-10,2.088588493050359e-10,2.075997003941778e-10,1.538801598059326e-10,1.3647613452137063e-10,1.0585194582288194e-10,6.249169066952145e-11,6.273681634628145e-11,4.6118460383998994e-11,7.520900768152829e-11,5.547646215826491e-11,4.5726795375206675e-11,3.1640526895971085e-11,2.3797541906741927e-11,3.121259340234789e-11,3.566030954360829e-11,2.907649651949283e-11,2.822506882302386e-11,1.5529381782681467e-11,1.796358090291155e-11,2.7383508142394085e-11,2.413765969168617e-11,1.0964777346291922e-11,1.4607536170236275e-11,1.1885380391455069e-11,-4.142547010733659e-12
20000.0,-5.179208664752088e-10,-2.3753695108982147e-10,-2.9418759832927296e-11,9.625514404612307e-11,5.827478138737873e-10,5.351776365825019e-10,4.4055572630216474e-10,-1.3100851507770814e-10,1.457498195003764e-10,2.0939094223968667e-10,2.2778827975467168e-10,4.4126885013489926e-10,9.964310454575122e-10,1.1564906433075447e-09,1.2381954403322306e-09,1.370125863687649e-09,1.1385657774615185e-09,7.864137984310303e-10,5.860924908490218e-10,8.120170119128802e-10,1.1265603237764071e-09,8.806798329603688e-10,9.278146646897123e-10,7.161582710242298e-10,4.267939017062752e-10,2.1336796032603667e-10,1.9083311732249734e-10,2.5596038552774725e-10,1.652814022084663e-10,1.789153800901795e-10,1.7380792055066815e-10,1.6845352270354084e-10,4.866764233102802e-10,5.33332818720056e-10,4.707781550152625e-10,4.404621693799043e-10,2.580774757898844e-10,4.722221111365644e-10,4.4899377568930566e-10,3.044220068982507e-10,1.152965464001594e-10,2.3412119801090017e-10,1.916501774037255e-10,1.757720761908303e-10
25000.0,-1.873811039942359e-09,-1.1623581508591434e-09,-4.541650648829126e-10,3.2928760076288233e-10,8.24048429544032e-10,2.2536381855147944e-09,1.15452806861244e-09,1.3223269525017172e-09,6.594737065701384e-10,1.022575923539984e-09,8.013856607490371e-10,9.846172341123538e-10,2.9172322746690237e-09,2.8161452069627715e-09,3.5526987295818224e-09,4.3228835790947795e-09,3.1009701283052726e-09,3.000943107345483e-09,1.5949990879982157e-09,3.0632856466049918e-09,4.276644299926661e-09,3.375517103020667e-09,2.36638238113469e-09,7.41443395303108e-10,1.1341042934975512e-09,1.0963723006973667e-09,5.519234608879643e-10,9.060425418959795e-10,9.234018884035012e-10,1.0293277015055104e-09,1.1053010485284013e-09,1.3014252471246193e-09,9.220857567733595e-10,1.279598458976203e-09,1.6294542515852705e-09,1.6524043782272315e-09,1.4182116751436388e-09,1.6498109784758247e-09,2.1449294167082346e-09,2.1467748641170323e-09,1.8229109281507557e-09,1.088443810130947e-09,3.150782347582091e-10,1.2080164250774432e-09
30000.0,-1.3537225284748283e-09,-2.8619664950434634e-09,-8.874023453259504e-10,-1.9436041686117745e-10,-1.2678463276667765e-09,2.305653483554444e-09,2.161553734170956e-09,3.4838774404386195e-09,4.2284116296034685e-09,4.852547301597591e-09,4.440499720057455e-09,1.460630363846273e-09,4.147835843589967e-09,5.177572465998815e-09,8.253601167745861e-09,6.781451713235844e-09,5.719976609244685e-09,7.591445101790642e-09,4.658120573645724e-09,7.210059221573303e-09,9.21571755295051e-09,8.01257290091253e-09,4.6466956551053024e-09,2.0082377056990054e-09,1.4456199464439208e-09,1.7096798927110683e-09,1.5300931579279796e-09,1.729494710702114e-09,1.986112865825078e-09,2.640020303249295e-09,1.3094568416191576e-09,1.9834332112379185e-09,1.960099520154242e-09,2.5932271293108163e-09,3.3662148551388806e-09,2.1569415958222866e-09,1.1418411540136774e-09,3.0953525110647914e-09,4.147443705366037e-09,4.603486286162205e-09,4.295777883370793e-09,2.6989132978269857e-09,1.0932089354615384e-09,2.0762804897444546e-09
35000.0,1.664154655812556e-09,-3.120762560984608e-09,-1.7841943515607212e-09,-1.8373427551521212e-10,-5.861778811388542e-09,-2.1777329757637195e-09,8.001829613744131e-10,4.11221992457534e-09,6.9768591334633294e-09,6.2970884544318535e-09,8.527075100319618e-09,2.6743252170574092e-09,8.270757772691951e-09,5.4889341480141355e-09,1.1349979458388134e-08,8.68623329792014e-09,6.981888009478324e-09,1.1167520904784405e-08,9.922886052667131e-09,1.2894533481800391e-08,1.5353849441218458e-08,1.3133952995016983e-08,7.357384340958123e-09,5.196387736957344e-09,1.2902026771771757e-09,2.449015685252998e-09,1.903482150581377e-09,8.740682674414799e-10,2.6127451264705454e-09,4.062608446294592e-09,4.1042733635921766e-09,3.993635745879183e-09,3.8566411119371195e-09,5.898527702674566e-09,5.215237506174501e-09,5.898843049308162e-10,9.666804964500022e-10,2.0529167034759806e-09,6.309315191445914e-09,9.325595739468265e-09,5.635383947998443e-09,3.726388136831032e-09,2.913521308966398e-09,3.1951857778448134e-10
40000.0,5.550374459004611e-09,1.7351654725783282e-09,-2.119048057064633e-09,-2.1080420283525745e-09,-1.1683406573507676e-08,-2.7820589520536184e-09,1.9158950242453441e-10,2.1160320772637154e-10,2.8388710434933003e-10,1.6621508447231549e-09,7.301775654451203e-09,2.775136657397113e-09,6.713028626636885e-09,1.111393495793093e-09,8.960988875842794e-09,1.189840574614739e-08,4.346947973406341e-09,1.1280837226438518e-08,1.4128251810227751e-08,1.5765246177047235e-08,1.928465656341058e-08,1.7531007493480646e-08,6.844490361503605e-09,6.9645320076615656e-09,2.6497410132791972e-09,4.131974595620002e-09,1.8117279464313417e-09,3.5972830331514265e-10,5.240665371658744e-09,6.76556348125812e-09,7.663242302370968e-09,8.818557282866165e-09,9.624142560168052e-09,8.760323381186613e-09,7.1842441397947015e-09,2.014221540844237e-09,4.872370346646671e-10,2.3776343770218142e-09,6.487548275911571e-09,1.104468988700109e-08,7.987825828301319e-09,4.832494090261555e-09,3.768174272105972e-09,2.1274953434208843e-09
45000.0,6.4588797259012954e-09,4.1289369613569655e-09,1.3248216057308536e-10,-5.019552210568268e-09,-1.8206232848978822e-08,-5.135459508867775e-10,-1.1746378095896294e-09,-3.3545504112107663e-09,-1.1249580618542532e-08,-4.943842361932406e-09,7.020740086150131e-09,3.8461651958836505e-09,6.996621651927825e-09,-7.385736730864254e-09,3.7544193574744914e-09,1.1485087291618147e-08,-1.3617636866973079e-09,7.732602023552306e-09,1.857438118549473e-08,1.549644317916208e-08,1.3164623757238504e-08,2.181846314996245e-08,7.658901371623158e-09,3.735572623239367e-09,3.712772871020131e-09,6.410118878547282e-09,3.410587311968062e-09,1.2422152224002075e-09,8.135283367893925e-09,9.642726363492377e-09,1.1808429681452877e-08,1.5824270678945665e-08,1.9604780621236805e-08,1.4144339015389741e-08,1.5047029845228527e-08,9.925228314829199e-09,-5.196873581891343e-10,-6.855311092792698e-10,5.60227292241841e-09,1.223937929596647e-08,1.1066099641569836e-08,7.435642355953465e-09,2.873155882674444e-09,-1.0692214117417674e-09
50000.0,6.103202636000215e-09,3.2724897682071135e-09,1.9102629341432468e-09,-6.075903318505303e-09,-1.8890475827767495e-08,-1.1222980611662231e-09,-2.4440845565212536e-09,-6.053102893180798e-09,-1.7530306036077705e-08,-1.554250362215806e-08,4.882099453978641e-09,-1.8413229083244704e-10,5.954470673889231e-09,-1.4394106817795547e-08,-1.9507632426722144e-09,9.221394714559208e-09,-8.963347097608272e-09,-2.7469922808284157e-09,1.821145269177041e-08,1.597003189830158e-08,3.513250773084481e-09,2.0897440072438324e-08,8.837429369035408e-09,-1.7138646598184003e-10,1.7945540241487718e-09,1.0251844183055164e-08,6.6427366243105494e-09,5.132741782552001e-09,1.0824843452684775e-08,1.6808383137932295e-08,1.49893788017574e-08,1.9555472521875545e-08,2.783497544680271e-08,2.217437580709389e-08,2.8710163257589525e-08,2.0873699369080424e-08,-2.3309619731857793e-09,5.726414568651492e-10,2.9085931672820752e-09,1.6066834903423227e-08,1.7676071587110437e-08,1.3171925580886824e-08,-1.6356232816304109e-13,-5.014602728788532e-09
55000.0,6.820411426354682e-09,3.292653659602622e-09,2.9242405434936186e-09,-6.3449838494034445e-09,-1.376097086370626e-08,-5.24924547712517e-09,4.561713313610493e-10,-3.4751798270287493e-09,-1.0268847594951249e-08,-1.9819161496289195e-08,-3.275408697960353e-09,-3.6940630810697352e-09,4.1415240274571855e-09,-1.9843415012976592e-08,-7.388194131217411e-09,-1.5294057090726734e-09,-1.3375896954710007e-08,-1.080779495684219e-08,7.965188592180095e-09,1.3728762114313233e-08,-7.89741575503057e-09,1.6806405472287633e-08,8.264324500612153e-09,-3.6570186848638466e-09,-2.240009485636988e-09,1.3004438776825067e-08,1.3502217171016899e-08,1.20942117870591e-08,1.5394202253365667e-08,2.9925494371420947e-08,1.639815744679222e-08,1.742469838764858e-08,3.407056186891986e-08,3.165534011151487e-08,3.336624825504384e-08,2.5082105606715257e-08,2.014945096236849e-09,3.035427822033122e-09,3.3038757578076307e-09,1.46368009377745e-08,2.228471472734192e-08,1.7792958997062866e-08,8.871983174462386e-09,-2.7073410508044846e-09
