,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,2.7326773221567337e-10,-2.0856837147801294e-11,6.462418182703636e-11,9.669360976465574e-11,7.790378177110483e-11,1.0763047888451307e-11,4.199855826435784e-12,-1.0462371680600953e-10,-2.110554976740014e-10,6.296856399711189e-11,1.0639788091406085e-10,8.769454731999966e-11,-1.0525026201568003e-10,-7.307652336138625e-11,-2.3950974359836487e-10,2.0357720355881088e-11,-5.83718720373677e-11,-9.632597890142154e-11,-2.429079257772664e-10,-5.579019359166527e-11,-2.402560166837197e-10,-4.5467459351243953e-10,-3.025305155870073e-10,-1.7787901994319522e-10,-2.477011849836997e-10,-3.904905275086518e-10,-3.107433191716855e-10,-2.0685272334061368e-10,-5.6795975051784146e-11,1.2085154739466865e-10,-3.6392654893612286e-11,4.9688868958528717e-11,3.8274726256808e-11,-1.7122646164261563e-10,-1.2066667406935678e-10,1.0091104062783276e-10,-8.053489625560848e-11,-3.039374986464628e-10,-1.9020834743983467e-10,-1.4985945368968582e-10,-1.1024791895428422e-10,-1.0848955160530213e-10,-2.5154250199252663e-10,-2.7345393892005093e-10
15000.0,1.542217035386796e-10,2.3069610365102572e-10,4.538684911521553e-11,-3.88325360299424e-11,4.8735168472957195e-11,1.6730298896672913e-10,2.1383218685712195e-10,-5.550780346561232e-10,7.071962603215832e-11,2.1660322570834007e-10,2.2602286045546476e-10,8.300383759265764e-11,-3.332696098463092e-10,-9.119169526796282e-10,-6.629472735689234e-10,-8.457175903011885e-10,-8.583786832745409e-10,-5.700575239806422e-10,-7.065893724783572e-10,-6.023396570061889e-10,-1.5102737557395308e-09,-1.4176643848194455e-09,-1.115436092541042e-09,-5.946611704561765e-10,-3.631799704055106e-10,-2.311699051531883e-10,-7.036882996715597e-11,-3.3195526157204942e-12,-1.3755185730663566e-10,1.4220493064194047e-11,-1.0016476491492295e-10,6.78454680895469e-11,-2.981537516858092e-10,-1.65913861818747e-10,2.2109346921511458e-11,-1.5846526056643966e-10,-3.911815462168795e-10,-5.911790842707202e-10,2.4331778658058745e-12,-2.2249313921268376e-11,-4.435266163846482e-10,-9.842996025685066e-13,-4.728844843732122e-10,-4.183398047637107e-10
20000.0,4.467055339533598e-10,4.160251078398762e-10,3.110185093270407e-10,-4.91517815781072e-10,1.994713795927525e-10,1.5951497837666982e-10,5.677805135126199e-10,-2.991624142441743e-10,-1.4455567575052768e-10,-2.7792023931925273e-10,1.0298327423194338e-09,-4.6431101163093997e-11,-8.178744863016479e-10,-1.1520030856853205e-09,-1.0845610107047653e-09,-4.476277944874492e-10,-1.0652877467405205e-09,-7.216947013587839e-10,-3.257721013305881e-10,6.853391291184107e-11,-1.537754871086526e-09,-1.5747621687574167e-09,-1.6890938282578783e-09,-1.2014930905738111e-09,-9.54904342308129e-10,-1.1601106550027635e-10,-2.89791985768426e-10,-5.117563886726738e-10,-1.0674770539518287e-09,-4.41908150021758e-10,-2.34746412501958e-10,5.207230177326021e-11,-9.382773783523415e-10,-1.1093981813055219e-09,-6.562975744926871e-10,-7.626719602793618e-10,-6.008004569458523e-10,-1.6311353096623927e-09,-1.0592459275291858e-09,-1.0187348166062616e-09,-2.9676085596970166e-10,-2.813656452562023e-10,-1.0604675211730516e-09,-4.5386581401149665e-10
25000.0,3.2931057656735434e-10,1.3227847752846202e-10,2.9530536730091115e-10,-9.073276936154386e-11,-2.5583799203919097e-11,-2.7830877322956204e-10,1.6715978447086075e-10,2.9635966629665287e-10,2.31181677169232e-10,5.186645503305871e-10,7.203442886810695e-10,4.5987762518532184e-10,-9.344147042268416e-10,-6.700032111359926e-10,-3.886596252469906e-10,-3.602296006214858e-10,-5.767948321410742e-10,1.9980943375099269e-10,-1.5104335231821607e-10,3.7500599674780816e-10,-9.007307434063627e-10,-1.2103753109052198e-09,-1.6037554999455495e-09,-1.3220873278724024e-09,-9.012581021828638e-10,-4.938907402032916e-10,-3.0842475169891123e-10,-4.516979462167923e-10,-4.757619971368469e-10,-1.4581285079130444e-09,-3.932417401242337e-10,1.602569434233431e-10,-7.629886577155898e-10,-1.660810282408085e-09,-3.327194662131948e-10,-4.027742969781565e-10,-5.45425396605342e-10,-1.6437015452577877e-09,-1.974503083172822e-09,-9.89930061991829e-10,-6.433189766829293e-10,-3.57502506207064e-10,-3.32361304050617e-10,1.0328015589101675e-10
30000.0,4.729285608943779e-11,3.967105002282761e-11,1.5432386174624108e-10,1.1295970372339777e-10,2.1910248362906568e-10,-8.598320245450382e-11,-4.721264414821443e-11,1.0113638943115885e-10,1.573386000801642e-10,5.165758309610611e-11,3.2975667957527647e-10,4.110795200791134e-10,-7.292358298791576e-11,-9.097420861651987e-10,-4.875401883047563e-10,-3.791644351158066e-10,-5.961862276899052e-10,1.3849718105111457e-10,-4.193179809017282e-11,6.025426984034287e-11,-6.38618868126397e-10,-1.0172315108170465e-09,-1.241340216465269e-09,-1.125555020199876e-09,-3.3272604936062183e-10,-1.9852113490868847e-11,-1.5310215120395467e-10,-4.954003888074606e-10,-4.545983433022438e-10,-9.334393916414063e-10,3.6901693107592324e-10,1.56471891944097e-10,-4.0679303999758826e-11,-8.784377695870014e-10,-1.0032829331453748e-10,-4.505098155224728e-11,-4.780203565179553e-10,-1.639109789474571e-10,-1.6439037938971364e-09,-1.4170251904414236e-09,-2.2079539923599767e-10,4.296390165732137e-11,7.840779959328948e-11,6.152208882267033e-10
35000.0,6.10558070810253e-11,1.3873038781526644e-10,-7.695418873448945e-11,9.309599629431671e-11,1.0341673813859126e-10,1.1695981200390039e-10,3.4178239958284096e-11,2.732086151212619e-10,3.430626771371834e-10,-3.355643448958621e-12,9.453475953154073e-11,1.7902283047807246e-10,-1.8447003701739351e-10,-7.118281551044803e-10,-3.0684042890859996e-10,1.518834397517405e-10,-8.06373971837049e-10,-1.2821827860208504e-10,-5.453355652504635e-10,-2.0914933167062446e-10,-4.979146523207992e-10,-7.865854952227081e-10,-8.066884258936823e-10,-4.1761633844515944e-10,1.035007932534916e-10,7.56108890673627e-11,6.616828323412337e-11,-3.1511522577411715e-10,-1.5000914730925542e-10,-4.5945181520115814e-10,3.4295373343322886e-10,1.8338278770045363e-10,-1.041201907638381e-10,-7.217337736290044e-10,3.0698388082638856e-10,1.9069273150003882e-10,2.732863091510108e-10,-6.74329706578034e-11,-1.2854667740790052e-09,-1.1003114554719844e-09,-7.744336979175412e-10,2.6586811940161355e-10,1.4889594525519135e-10,9.650536045024506e-10
40000.0,2.1565798796708068e-11,1.8882221907607877e-10,-8.78977869276951e-11,-1.1817627288388195e-10,-3.402622568268428e-11,-8.120752114993726e-11,-1.0838245468803347e-10,2.3502211204942503e-10,2.3693431919568255e-10,1.971478021438868e-10,-3.1599186640590136e-11,5.114867805892887e-11,7.306525879309553e-11,-3.8358486646853277e-10,-3.8647708337897817e-10,9.618916349184462e-11,-2.8797684072570004e-10,-2.6556726833639245e-11,-1.484635282069897e-10,1.0827901023173931e-10,-1.592687819472796e-10,-2.50419137387014e-10,-6.969416777492325e-10,-1.7135045287665044e-10,-4.67185832902229e-11,-4.068299758104465e-11,3.2378525765421884e-11,-8.562305086636356e-12,-2.595641986473529e-10,-5.45754826356392e-11,6.427910751633097e-10,4.6557588901551264e-10,-2.171600036333543e-10,-4.3404592383789024e-10,1.6169445670042358e-10,2.4512500674189543e-10,2.2057702383665374e-10,2.5994098283900192e-11,-6.561126665132054e-10,-4.662178078108156e-10,-5.298510813494554e-10,2.214215282491215e-10,5.068215595617016e-10,5.967041126232501e-10
45000.0,5.4279560018148437e-11,1.1782527220183368e-10,-4.0619349716657324e-11,-6.094798260743735e-11,-1.2183352924527365e-10,-6.101033208387379e-11,2.8700328143865146e-11,8.236863992441974e-11,-5.506824687674435e-11,1.4938842334064553e-10,-5.617026045635053e-11,-8.183744744871453e-11,-2.6010861248716605e-10,-1.264588108538922e-11,-1.2603662015821284e-10,2.387876973256907e-10,2.193780857477497e-10,8.128314542778841e-11,2.421731056269655e-10,1.7873915385946613e-10,-1.5916140122015535e-11,7.993819886848982e-11,-4.319941197854395e-10,-2.143302244961015e-10,1.565330576952067e-10,6.207480401651366e-11,-4.444087789172153e-12,2.7662846619988927e-10,-1.8028803300642063e-10,7.994743400994457e-11,5.2181644896564e-10,7.554198858255568e-10,1.2500148781535585e-10,-1.8407111937470687e-10,3.231380606016124e-11,4.690477870237314e-10,4.780227994047497e-10,2.4482980501836685e-10,-1.4966410524870218e-10,2.8397354677693493e-11,-1.7100403868765956e-10,4.0049675801320135e-10,6.699544435448722e-10,-2.592102050352693e-10
50000.0,6.351535551046642e-11,9.882364844379226e-11,3.7309337424541845e-11,-2.8211919047245692e-11,-7.233236285996216e-11,6.453799339713732e-11,-3.3289981970811056e-11,-4.03508219310344e-11,3.033246291197188e-11,8.412625351127815e-11,7.196841127598934e-12,7.879316754918558e-11,-1.5155981588828085e-10,7.307595860945563e-11,2.1334363804628244e-10,7.025115252940381e-10,2.7965401507209485e-10,-9.710380260939835e-11,2.5363247075373063e-11,2.1868995856992047e-10,2.1600465505256424e-10,2.3198771515830525e-10,-2.4494009241960366e-10,-1.4051232888457466e-10,5.587339394427269e-10,3.8576743944901274e-10,9.50663748663224e-11,2.2324655302048507e-10,1.7016036570590123e-10,7.850867470938685e-12,2.1403015504421407e-10,6.362926682681707e-10,2.043376390112899e-10,-3.7627575140019576e-11,1.6299718074830584e-11,5.602049174425229e-10,7.333638970982215e-10,5.298708432059651e-10,3.746463013849103e-10,1.9064027661995243e-11,2.7711745325313145e-10,6.155544591348183e-10,4.205083016479421e-10,-3.721289628737883e-12
55000.0,3.3618052025148426e-11,1.147818273195502e-10,5.272180929130548e-11,-6.513734141633593e-12,-7.158129037598867e-11,8.025563893634855e-11,-2.3357983686809115e-11,-1.0954605296729178e-11,5.4570773206686275e-11,6.513535094680235e-11,2.5909088668426866e-10,9.55565892218812e-11,-6.499882538251787e-11,2.0653818553376982e-10,3.293500481674299e-10,8.076637986725416e-10,1.6853326913473584e-10,2.5564101909658566e-12,5.072625532681148e-11,3.282249048316612e-10,-5.9489177514012e-11,-5.868125408204554e-11,-4.4215890886572606e-10,-1.7115394305122322e-10,4.209268142038378e-10,4.800586832717527e-10,2.798525218266469e-10,2.489811974408154e-10,5.343728419642398e-10,2.136100293040679e-10,2.2282094953993616e-10,6.070935439899036e-10,8.312345734859211e-11,1.7863552477335186e-11,1.1473081210032528e-11,6.820223775050462e-10,8.132609364259472e-10,6.89501059771538e-10,5.671060196959894e-10,2.1595517936862313e-10,4.214766580493235e-10,8.975246239650162e-10,2.396621769827995e-10,2.699180227919506e-10
