,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,2.119395430470476e-11,1.170068021577207e-11,2.6110971023444614e-11,6.091843241425862e-11,7.0736479226469235e-12,-4.137821668006089e-12,-9.296800901697945e-13,2.1400380882443833e-11,2.8454641324889845e-11,2.638038478011846e-11,7.433620471294657e-11,1.688757832063097e-10,2.0050331194770088e-11,2.8093085259732845e-11,5.3374359562030324e-11,1.4978341529494067e-10,2.3457038593509284e-11,1.0175518799097747e-11,2.9056593628632772e-11,5.926409029660671e-11,1.0134782447900911e-11,9.068977265809398e-11,5.555581745845242e-11,6.810704030254898e-11,3.124016007117148e-11,4.6655037734187496e-11,2.5052915301340737e-11,5.981964278940593e-11,5.131664225707244e-11,2.7454136745131552e-11,1.5644455653092927e-11,5.587313690568135e-12,4.760740760341745e-11,1.1648726650022972e-11,2.929600980323298e-11,2.0081749202942655e-11,2.238306108725753e-12,9.015486645062676e-12,7.198593065041417e-12,7.690491606709268e-12,9.689423520250681e-12,2.626997124372687e-11,2.6856214699571424e-11,7.556511077138277e-11
15000.0,4.8326513185693026e-11,4.256023675204834e-11,2.6997284922506186e-11,2.078557454036824e-12,-3.3254746086289744e-11,4.648132091609961e-12,3.1450714773474913e-11,9.745747968800997e-11,2.0699221386340575e-10,7.742139245692824e-11,-3.83629896300248e-11,-9.817010035512643e-12,1.402914276032439e-10,-3.4932170947523864e-11,-3.446708191794175e-11,5.5054777264568625e-11,-3.889746342260772e-11,-2.000326844672811e-11,-7.054637110003382e-11,-1.7586443168134653e-11,3.194888869811827e-11,7.077539951060041e-11,1.3586149358199307e-10,4.0579710653262946e-11,-2.9471267036424863e-11,-6.79053496276359e-11,8.114007885522758e-11,-6.476247584165343e-11,6.059235205987371e-12,-7.964859559572743e-11,-1.2251570408321125e-11,-5.1550489987919316e-11,1.9092784286475025e-11,1.8901049561025895e-11,-1.9793307725822595e-11,-1.2596678832118746e-11,-6.417380882305273e-12,-2.2869714608811856e-11,-1.880819087552017e-11,2.6359588273795455e-12,6.2189029585085266e-12,-3.834968299926066e-11,9.839104658309432e-12,2.652266257811434e-11
20000.0,-1.7480542078481132e-11,-4.021938969884836e-11,-9.983316279302308e-12,-9.198438758881282e-11,-6.656092882519771e-11,-1.0195231729707691e-10,-9.728650136481179e-11,-4.841181462859103e-11,-6.0852077197882e-11,-1.0142796282533449e-10,-1.5992631415329496e-10,-5.6640156886290064e-11,-2.3328539407568356e-11,-1.0174577588421337e-10,6.498798372437773e-11,1.0177910789883543e-10,1.2124905238295874e-10,3.2907974493448254e-11,1.733052649073143e-10,-2.081239899021263e-11,-1.729231540433649e-10,1.0197065742041329e-10,1.5127733678523985e-10,2.498252721662079e-10,3.717610701196352e-11,-6.631193213108582e-11,2.9428240526956243e-11,-5.859461610656012e-11,-4.837792422751653e-11,-7.478805001043149e-11,5.5387221606885594e-11,-6.049745558362028e-11,-3.454551249617019e-11,1.213806478819034e-11,-3.803060969609656e-11,-2.818558250913349e-11,2.75653848875615e-13,-3.8113340147099655e-11,-6.4727831593471995e-12,-2.4421123153628132e-11,-2.341739998041669e-11,-6.72701701333329e-11,9.79444806219547e-11,1.7204173009809316e-11
25000.0,2.503562206149695e-11,4.424540972014598e-11,-3.753657611971037e-13,-4.5195002751208054e-11,-3.5320380896380895e-11,5.53010584381748e-11,2.3992298333767655e-12,-2.219135781779142e-11,-5.178314915848067e-10,-2.6697802952938283e-10,-3.6567940336182464e-10,-4.456535672192843e-10,-2.82456656471713e-10,-2.0568514709670557e-10,1.1073810497763043e-10,-1.2527912748045478e-10,6.908631080457474e-11,-2.590727319066901e-11,2.5719549833752565e-10,-3.8332789419702434e-10,-5.293424014898997e-10,-3.537519686182708e-10,-2.3266147577252957e-10,-2.1267761791319276e-10,-6.292011003693548e-11,-1.6530595857389533e-10,-1.408719769997854e-10,-1.9383683524683234e-10,-1.0636940864724228e-10,-9.100525277870076e-11,-6.393395632118818e-11,-5.4670442843987857e-11,-8.269924145223647e-11,-9.066928558205868e-11,-2.306389081905405e-11,-1.351014609743995e-10,3.773550680822477e-12,-1.4177337647596753e-10,3.4682192126968725e-12,-6.08301603545024e-11,-1.025366446911039e-10,-1.4942091141635392e-10,7.561447690722102e-13,-2.07386960132591e-10
30000.0,5.192600965741011e-11,-3.547337907284469e-12,-4.502433831938427e-12,-5.898647536929285e-11,-1.3901842772949768e-11,9.414069064471198e-13,3.641794070930777e-12,7.813005263791004e-11,-2.1931545527613074e-10,-4.060057388501501e-10,-2.4236090177096935e-10,-4.960279752439895e-10,-2.7622292165140895e-10,-1.1567330808001174e-10,-6.614257170829611e-10,-4.171934086229593e-10,-2.5577911479189775e-10,-6.693184540629992e-10,8.743783939914092e-11,-8.686963247645033e-10,-6.367854824417005e-10,-7.529949788445992e-10,-2.12926771150462e-10,-3.388706338719998e-10,1.0448280878549339e-10,-1.640294551125224e-10,-4.5933336517062746e-11,-2.5599758904897164e-10,1.1719047293308366e-12,-8.77334529194049e-11,-1.8838193736459552e-10,-2.8466822703295415e-10,-1.7022551977494477e-10,-1.2004972241953334e-10,-1.3990010564039587e-10,-4.5077906649228603e-10,-2.8455055202583277e-10,-4.139185683623089e-10,-4.0755363782465177e-10,-3.88976655948573e-10,-2.9338874294535465e-10,-4.1623185176763367e-10,-3.820872791530314e-10,-1.1038161927888716e-10
35000.0,4.734419315965677e-12,-5.3844617350058584e-11,-8.44247155635562e-12,-6.979417954423532e-11,-1.6411132677462905e-10,-1.9783735975961488e-11,-1.3226470193279211e-11,6.347123015324193e-11,1.1274685927701657e-10,-8.843861735605652e-11,4.385975046569153e-11,8.31733717723039e-12,-1.3222772662689887e-10,-2.514081645975797e-10,-5.604036661936789e-10,-1.555634924661608e-10,-4.912846611250232e-10,-1.032606129623417e-09,-5.387522787906517e-10,-1.1636257108185142e-09,-4.78195909963564e-10,-8.510637593718109e-10,-1.9311226376335563e-10,-3.865159083640274e-10,-1.7624274554943436e-10,-1.409719247816061e-10,-9.122091567258928e-11,-3.5026934152848784e-10,3.9093485920160973e-11,-1.4310424303461045e-10,-2.71434641240184e-10,-3.0356500168382904e-10,-1.8816548510894303e-10,-2.363074323239861e-10,-4.1024051286152195e-10,-7.230340986933744e-10,-3.7895934252449325e-10,-4.839573266153132e-10,-5.253438293433561e-10,-5.424759209958232e-10,-4.269142658872786e-10,-4.420942504808377e-10,-7.473948206120613e-10,-2.843335718212327e-10
40000.0,-5.3427862739178434e-11,-2.9032455864593217e-11,6.185742390210796e-12,-7.875747947916842e-11,-1.1681886586996283e-10,-7.953045440557198e-11,-1.2391181963396974e-11,-3.135891072445438e-11,8.963696127957792e-11,-1.0622941385758509e-10,1.0402932580473679e-11,1.220838581194683e-10,9.610864178195402e-11,-1.2784524980774515e-10,-2.5560751886557124e-10,-3.7645911563004046e-10,-2.1723283253087406e-10,-8.237573174656411e-10,-5.181557766306146e-10,-1.0668135081399683e-09,-6.99379475863871e-10,-6.549642296089682e-10,-4.477137492305858e-10,-6.789465419257999e-10,-3.424040968005911e-10,-2.842852834925942e-10,-1.9056035647916108e-10,-1.6235635479305093e-10,-1.1002291040026949e-10,-9.445875496586084e-11,-1.9587310293228858e-10,-2.973455373040928e-10,-2.7117434812571094e-10,-2.4753230041534076e-10,-5.057171412837978e-10,-6.463688612288556e-10,-5.023069974935699e-10,-5.177926491375827e-10,-6.256212204808603e-10,-6.110413273495599e-10,-2.3758037596288563e-10,-4.3482853368102456e-10,-7.62011480087317e-10,-1.755423887685563e-10
45000.0,-2.8197231613642413e-11,-2.5674671809773296e-11,-1.2196363252490056e-11,-8.908635924795782e-12,-3.250939585609026e-11,-2.7773332547551556e-11,1.7514898222768065e-11,-3.783484468604098e-11,-8.51948726016054e-11,-4.975525590833535e-11,-1.2426250383192214e-10,-2.9186283403090945e-10,-9.741523521956074e-11,3.5170460312580335e-11,-2.911353300135208e-10,-6.047079627821145e-10,4.893504493185907e-11,-5.177784522658079e-10,-5.239288405909917e-10,-5.950725844175376e-10,-7.836399065534254e-10,-8.099313618225225e-10,-6.308187753396614e-10,-5.928746928292396e-10,-3.794999586027071e-10,-3.3555852559233465e-10,-3.3312878620636153e-10,-9.32830623917522e-11,-1.275693526757406e-10,-1.3538543604557844e-10,-1.5331420239184869e-10,-3.645515436952568e-10,-2.1351373977016092e-10,-2.8907544233831045e-10,-3.9070902591070723e-10,-5.015162497859765e-10,-6.393102767222046e-10,-6.180506359715403e-10,-7.314948253496266e-10,-4.998902338973957e-10,-1.511488839710657e-10,-4.5824158981904097e-10,-5.792545311308862e-10,-1.346822830872804e-10
50000.0,1.526907444137137e-11,-5.531014724117397e-11,-6.9001924091812214e-12,3.377747571106201e-11,2.1375020809295952e-11,-8.484115679563034e-11,-1.0613535559802753e-10,-1.2671786064807061e-11,-9.794302162151146e-11,-8.474471096852405e-11,-1.0298599407035439e-10,-1.9390975230542684e-10,-1.4221499438478542e-10,-2.720933455187344e-11,-1.522220686607793e-10,-5.194149280914312e-10,-5.542344234370138e-12,-4.455688348404836e-10,-6.02565695780859e-10,-5.333711978900746e-10,-7.284549097257437e-10,-7.986483004355784e-10,-7.514806322006555e-10,-2.2062063214087812e-10,-2.4046156131924263e-10,-2.926326808094849e-10,-3.3746305795993854e-10,-1.6466702605419397e-10,-1.2337372134145437e-10,-1.6157929854675433e-10,-1.1003751183150544e-10,-3.8820237014623155e-10,-7.14472724027065e-11,-3.1777520099701303e-10,-2.986023333269775e-10,-5.227256797642543e-10,-6.703567619046815e-10,-6.062793670346096e-10,-5.895814104952024e-10,-5.678235343683221e-10,-3.1412058259519557e-10,-6.415026850207621e-10,-6.276237211722809e-10,-1.2586075351340697e-10
55000.0,-3.2984847981587036e-11,-5.055676550340948e-11,1.886100406328681e-11,-2.9020628139542217e-12,-7.24009436484911e-11,-6.473124799729379e-11,-1.5054746154390857e-10,-2.355617917167641e-12,-4.2758327908209086e-11,-1.101188713796963e-10,-4.659427523553365e-11,-1.430654146671362e-12,-3.058878027366029e-10,-1.1188026231536482e-10,-1.5221460908719466e-10,-4.947485632737305e-10,-1.2391791574213847e-10,-2.674922622725633e-10,-4.987454162900707e-10,-7.392816464920061e-10,-1.0672045901234656e-09,-1.0361082209556202e-09,-9.704439353952904e-10,-3.9108751416820226e-10,-3.424773315214699e-10,-3.14172281961323e-10,-1.8109289451113772e-10,-1.5028078495000058e-10,-1.1217822030670403e-10,-9.919993937116041e-11,-5.6001784182723024e-11,-2.66507278573353e-10,-4.0499595603112734e-11,-1.43983340156124e-10,-2.662386836686478e-10,-4.717223978264044e-10,-6.210774812674454e-10,-4.973606726709513e-10,-3.8392915097465334e-10,-5.14412195035541e-10,-5.009826290520498e-10,-6.25710234541688e-10,-5.241611227743029e-10,-1.6245900392968672e-10
