,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,-2.7297757575051683e-11,-5.817202258496151e-12,3.1860560391772966e-11,-1.0073603962282233e-10,6.734503989843536e-11,1.0359859109917207e-10,3.8067921696516254e-11,-2.1145946885513982e-11,2.9107489380933165e-11,-4.1577020302575145e-11,-1.6001591528090964e-11,-1.2769197517958071e-10,2.2012311773448564e-10,1.2531396879628228e-10,1.2644153098216675e-10,9.159532930060827e-12,-9.814026487846012e-11,-7.681247454159745e-11,-9.324499713151555e-11,-2.570629804537699e-10,-9.575695843876755e-11,-1.1030591364048647e-10,-8.823541732433055e-11,1.1295758848391928e-10,-8.215016719783079e-11,-1.0608883137694954e-11,1.107512420307294e-10,-9.652932539228568e-11,-9.911094246230955e-11,-2.2057053309709018e-10,1.2101167104337747e-10,-2.2378223372624084e-10,-7.77110805874396e-12,-3.796183777072519e-11,4.28729514581996e-11,-1.4372495010773288e-10,2.923045076938946e-11,2.1162634626063182e-11,7.139524235616451e-11,1.9671695753530277e-11,-3.888707987744236e-11,-1.141153781647285e-10,1.1337694100792506e-10,1.3314335899366953e-10
15000.0,7.281300918698095e-11,-9.312234988665508e-11,-7.558200176171603e-12,-2.4844923810222127e-10,2.024814023811279e-11,-2.2097715376066534e-10,-1.720180695602444e-10,2.9962605438434525e-11,-6.96951362930667e-10,-1.6527932037523773e-10,-7.495959211441157e-11,-2.3032951508955027e-10,-2.865225624714025e-10,2.123681846338422e-10,-1.9501379312269957e-10,-4.375415378810012e-11,3.4363582084105177e-10,-1.2045990082400422e-10,1.5721581193356405e-10,-1.3314128561572006e-10,5.320462724260163e-11,-2.430840908681865e-10,-2.4599969179661385e-10,-4.586773085611474e-10,1.893588333981556e-10,-4.52105356299774e-11,-4.7410573367835646e-11,-1.964284298050243e-10,-1.4508576757688019e-10,-7.589049934576772e-11,6.820813588004345e-12,-1.1893078580987502e-10,1.3159278063045735e-10,-6.560225688957396e-11,-1.928566105543389e-10,-2.378003386175007e-10,7.902669255702914e-12,1.3770436007870774e-10,-1.9165503054382736e-10,-1.620934270534913e-10,3.190815678378647e-10,-2.3998471098878883e-10,1.5461020841136401e-10,-4.32681220079522e-12
20000.0,1.9048758593479795e-10,-1.8840597370941997e-10,-2.0430922278106748e-10,5.040169890547954e-10,-1.148908830010038e-10,7.379554318844895e-11,-1.4380641479762483e-10,3.719979319345862e-10,-7.782537245800618e-11,3.7411949460367706e-10,-4.2858934550387567e-10,-3.4352287405633267e-10,-1.899791802061477e-10,4.60370609913766e-10,-3.9310850470980184e-10,-7.05637803183516e-10,-7.561883946104805e-10,-2.5606470168186616e-10,-3.9906646537127936e-10,-6.498629125211794e-10,5.903686089779712e-11,-8.753802316594247e-11,-2.2431103865633562e-10,-5.753695753663794e-10,-1.8288001419638595e-10,-5.535198345767227e-10,2.1032820369184173e-10,9.832995620614843e-11,6.022466569807765e-10,1.711138302309217e-10,-4.260123640880967e-10,-3.3304534436230935e-10,1.1873275262368547e-10,3.5786178562197373e-10,-1.3124780623970324e-10,-8.364687093554544e-11,-1.787601165321961e-10,7.113346256098463e-10,-1.8236713048852997e-10,5.942528481973976e-10,-1.766742636958239e-10,2.2182649671334473e-10,6.264490669787073e-11,-8.111177859687427e-10
25000.0,2.2241006059715773e-10,-4.9742727877911217e-11,-1.0193090997428313e-10,-1.922197213729267e-12,-3.723307530511145e-10,1.3816021021919138e-10,6.557558547609055e-11,-4.2888173291333863e-11,5.255451426124657e-10,-1.581786940347023e-10,1.7559057835326785e-10,-1.7158009405643774e-10,2.593759345344215e-10,2.7234186909713807e-10,-5.964324701533665e-10,-5.391446024051776e-10,-5.673109311688549e-10,-5.540144534864766e-10,-5.816197040518747e-10,-3.6971701277501095e-10,-3.5159005420617845e-10,-2.6234095817121826e-10,-3.8571226374511243e-10,9.259950007494204e-11,-4.6592903509146676e-11,2.471929033882626e-10,5.7189393385097156e-11,3.0376649835196086e-10,-2.079822498622155e-10,1.223184655031723e-09,2.055217651767186e-10,-4.627273823280239e-10,2.0861048239787558e-10,8.280951718445583e-10,-5.185014669646306e-10,1.229270742908459e-10,-3.04424032474279e-10,5.016768869029532e-10,8.03863347728181e-10,4.3741847066017505e-10,-4.267200995513806e-12,2.5537066303655274e-10,-2.1240809398747648e-10,7.383372453122847e-11
30000.0,1.87300865633335e-10,1.7238601704267058e-10,-6.069064201828445e-11,-1.0181752806150951e-10,-2.034754285285321e-10,-9.498117191246164e-11,6.385279824405194e-11,-1.3197122076930844e-10,1.2684518809417916e-10,2.199490703691441e-10,1.0809120700711903e-10,1.773091307105357e-10,-2.845523163201592e-10,2.4595305486173727e-11,4.1647251488944555e-10,2.41018365564917e-10,1.5443431880115488e-10,2.4457000145226823e-11,-9.984475787288095e-10,7.655601992551906e-10,-1.2324129206768555e-10,1.1324512953390695e-10,-3.388739905765943e-10,5.613807500535154e-10,-4.447504337831271e-10,3.551232577151257e-10,-3.2198046616338316e-11,4.611213544487478e-10,-3.340408102211094e-10,1.1647597125185586e-09,-2.441551421049329e-10,-1.2979555113421153e-10,-4.107847702554161e-10,7.042495624364159e-10,-6.538718913798719e-10,-2.2807965817585767e-10,-3.4698226541056064e-10,-4.435229535662502e-10,5.66745141199021e-10,7.132313521676101e-10,2.1160321870081325e-10,2.8091123145392426e-12,1.9148440326614258e-10,-1.7173058595660932e-09
35000.0,1.3483690487547885e-10,1.2720051709210844e-10,1.9412594383648634e-10,4.009360021773795e-11,1.5919615895739564e-10,-1.7254171820760866e-11,-3.50377734685314e-11,-2.4513863805441287e-10,-4.1940326414907655e-10,-5.307437409867168e-11,-5.5737819054680866e-11,5.00451638269145e-10,-7.479547406570123e-11,-1.9589404425474842e-11,3.397764823353815e-10,2.6029966728064532e-11,3.964374594310681e-10,3.6257497485597607e-10,-3.86936938124562e-10,1.0654032948561468e-09,-3.391067601430427e-11,-1.0489630555125655e-10,-2.538610073697717e-10,1.241384927190661e-10,-1.5041382683782369e-10,-1.1567997871115903e-10,1.945267968990749e-10,5.208218277458282e-10,1.418934525180885e-10,7.763556044722973e-10,-1.9923664615595251e-10,-2.329720160698511e-10,-2.172434094976072e-10,6.136775979489645e-10,-7.71831435422303e-10,-4.0633481606440167e-10,-8.271768552401918e-10,-4.4795853805231705e-10,3.6563644608348816e-11,5.287581807261414e-10,4.6360554919272124e-10,-2.151180022402698e-11,2.83254943968088e-12,-1.4958593418563172e-09
40000.0,-2.048743333884327e-11,-4.5577321365765415e-11,1.2305291880946974e-10,2.4674449657697934e-10,2.2686021436987243e-10,4.936952053936381e-11,5.4041677392511334e-11,-1.5372900228230971e-10,-3.436244341582456e-10,-2.1919725525315992e-10,5.660295280752084e-11,3.3497778500227885e-10,-2.194338812170477e-10,-1.5879505719610883e-10,2.971451033574993e-10,3.219856041435803e-10,1.3932211623980635e-10,2.3276676511956749e-10,-1.7731079008751415e-11,8.574871650326971e-10,2.3175136354318008e-10,-1.7907352162550694e-10,3.392722005467399e-10,2.0602953048221932e-10,1.5934783215313392e-10,-2.5674905138907605e-10,3.6305708280139067e-10,3.578957400001439e-10,-1.4591794851068765e-11,3.002106796446635e-10,-4.113233801621478e-10,-4.752125194951368e-10,-1.5186170716804765e-10,3.097874104021311e-10,-6.209998391417507e-10,-6.442241862920769e-10,-6.11879734207853e-10,-2.8202191355204373e-10,1.721346338474201e-10,3.038936927855972e-10,4.3882864001097165e-11,-2.131875887545043e-10,-2.622646763052526e-10,-1.5751051940849927e-10
45000.0,-8.5983405563364e-11,-3.2858689217820556e-11,7.839946701666875e-11,2.390825226840975e-10,1.9292074945482247e-10,6.035523965876443e-13,-1.0670780038795475e-11,-4.0596264955663083e-11,1.7412061618728008e-10,-3.235699860385233e-11,2.837475148609116e-11,2.2760339500379564e-10,4.5557257972793996e-10,-3.067315448939016e-10,2.045006524816564e-10,5.711560534411346e-10,-5.684891093915525e-11,4.2532256297938237e-10,6.746185765002873e-11,5.146389355115185e-10,5.793456995790576e-10,-4.792880054727478e-12,4.1079972771849753e-10,9.684342767844019e-11,4.318377790607091e-11,-1.3742077177158613e-10,4.976832708765984e-10,-1.0905969442076304e-11,-2.5645893535495536e-11,2.6934630767886405e-11,-4.6151549853638516e-10,-8.16280753206056e-10,-1.9885169246495542e-10,1.790627574984945e-10,-3.913392836326927e-10,-6.79405223671391e-10,-5.84747288649937e-10,-1.8732743063030125e-10,6.607519955015872e-11,4.955895117486936e-11,-8.38774374717238e-11,-2.550828325292273e-10,-5.475933482341003e-10,4.3552093199607173e-10
50000.0,2.6569460296000343e-11,6.021992804669281e-12,-6.035857941991577e-12,1.214673122850919e-10,1.4265177072506208e-10,-1.3066197505768486e-10,2.2636730329659397e-10,1.4160876985486818e-10,8.700950904231228e-11,-2.8878648119422753e-11,-6.039996077555921e-11,1.0499289262966946e-10,8.256665921819732e-11,-1.0174745281890453e-10,-3.200252661892438e-10,1.5774737951714119e-10,-3.2693570981458164e-11,7.409710797923355e-10,1.4636150893451026e-10,1.790932935035076e-10,8.808549824924982e-10,3.5787957576332793e-10,-4.320284877382724e-11,-4.389892538129031e-10,-1.2208158772739386e-10,-1.8694118114492665e-10,5.051615226867829e-10,-7.23596321941768e-11,-7.68332845380791e-11,-1.325522300914017e-10,-1.2952942899001375e-10,-4.871034165673943e-10,-1.267482820872824e-10,1.7867975846575917e-10,-3.427463204211718e-10,-3.187878456026086e-10,-4.848109712475879e-10,-2.30340632745985e-10,-1.5120069749657057e-10,1.0600894807636969e-10,-3.619303697426707e-10,-4.075241920287185e-10,-2.2815899437846873e-10,-3.940362950787644e-10
55000.0,7.896433317102446e-11,3.239081163489367e-11,-2.7439518886567137e-11,7.314755657558554e-11,1.3867868005537966e-10,9.822229311614343e-12,8.78653437905037e-11,2.3420945126120636e-11,-4.899168565549672e-11,8.409605243399897e-11,-2.5031120373347153e-10,5.424794238195595e-11,-6.481289386421537e-11,-5.943016147164853e-11,-5.662649394424214e-10,1.150108591546761e-10,-1.4375246420741194e-10,4.812777940780186e-10,3.774606270354754e-10,3.6471203743296513e-10,1.7354039650948313e-09,8.531854119129783e-10,2.6297494176610315e-10,-8.441208344005461e-11,3.678416545789387e-11,-1.3428967241015572e-10,2.1489904233920038e-10,-6.251403582578655e-11,-1.2847899469340985e-10,-2.381730992659692e-10,-4.5637802524839024e-11,-2.555936506277417e-10,7.356271125163815e-12,9.357021815552882e-11,-1.3444223804224656e-10,-1.2003006547978477e-10,-4.0080971818533627e-10,-3.9863493703275294e-10,-4.3350462042399384e-11,1.5544295187791676e-10,-4.786245094847811e-10,-4.769663962712098e-10,-8.949238736877492e-12,-6.439325948781346e-10
