,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,-8.112528390222756e-11,3.764470930054676e-11,-2.3512966194196476e-11,-2.1379315126961587e-11,-9.081472256939092e-11,-1.6751781184705616e-11,-4.440464150866281e-11,-1.6883385373684086e-11,-2.2459408298960567e-11,-5.0933821224957294e-11,-1.0600454447925477e-10,-6.489822851178818e-11,-1.5506673138618575e-10,-2.7286238711079548e-11,-3.677538179734645e-11,-1.0901213256265074e-10,7.958466871466787e-11,2.949908004855145e-11,4.9493884208791684e-11,1.2731823903947902e-12,5.7322038112087014e-11,-3.259073001077532e-11,3.786941650615907e-11,1.7284029134591174e-12,-2.8944643176482458e-11,-2.775038600976299e-12,-1.5081527506794908e-11,-2.7047457230801798e-11,5.62576394481289e-11,-2.9920324110582175e-11,5.581626488341681e-12,-3.7821465130112076e-11,-3.334170490172671e-11,-1.3729201631267655e-11,4.327521960053999e-12,-1.2814796931272074e-11,-8.500598687568503e-12,-9.938092706532579e-12,-8.86314057461014e-12,2.8921773561637093e-12,-4.032137856833182e-12,-9.694711750253481e-12,5.718116167995883e-12,-2.4263151508569903e-11
15000.0,-2.1746740817967786e-11,-3.079046380636048e-12,-1.9458513709172614e-11,8.203519902969963e-11,-2.377768248704986e-11,1.2641048044648808e-10,4.504102110596098e-11,1.906257568056215e-10,2.03216780116125e-10,1.167016169377686e-10,3.614044747321966e-11,5.95066534358767e-11,2.398867053384354e-10,-7.418346956610118e-11,3.756075521750378e-11,-6.365931173904649e-13,-1.0757230713623049e-10,-7.799903526339276e-12,-6.80168317103859e-11,-3.9220504430707466e-11,5.875542958148757e-11,1.2344010756236896e-10,1.029247631175874e-10,7.261900316845576e-11,-6.25801780845578e-11,-7.934433655292928e-11,3.7170124198414424e-11,6.601065992998452e-11,3.0179849484126107e-11,4.625793942373281e-11,1.3758280524250219e-11,-4.883469376105809e-11,3.2965375188474785e-11,-2.446357793116907e-11,-4.179407698460614e-11,-1.9638691776888196e-11,-3.2982993927277016e-11,1.197880213516004e-11,-1.991140223332464e-11,-2.2564189129130744e-11,-3.4276990937403345e-11,5.0613113725650746e-11,-5.4604265304107056e-11,8.101513321473787e-12
20000.0,2.052798364676453e-11,7.462427866578626e-11,7.53160252580429e-11,-3.605691570690171e-11,1.2224267232412925e-10,8.046556035032356e-11,1.6676292518850906e-10,-1.6371449269984123e-10,-5.862530424710227e-12,1.4542023529559412e-10,6.70719408734616e-11,1.4795774233277965e-10,-3.584700021959056e-11,-2.511821132385108e-11,1.4365972619283041e-10,5.553678176491722e-10,4.1045483393486956e-10,3.100602715649814e-10,2.825414368981293e-10,2.6233129841951925e-10,2.0358105530018822e-10,3.2864174727640036e-10,5.165262041083038e-10,2.605340865459388e-10,1.116513803272082e-10,1.1877303465881648e-10,3.930523941849239e-11,5.5496679598639797e-11,-3.452206793536493e-11,7.30407946900781e-12,2.8686257367468545e-12,1.0033443462892302e-11,3.0905295447669926e-11,-3.757902702206928e-11,-1.5343003014234283e-11,-2.661625454859621e-11,-1.8802597073977957e-11,3.503698421049962e-11,1.8740250161541918e-11,9.181504801753011e-11,8.997510263443697e-11,3.7478655323235534e-11,-2.5262871299185342e-11,4.477189591195089e-11
25000.0,6.722645601505286e-11,6.516719105628371e-11,1.852695881735217e-11,-6.503644176625628e-13,9.745621376972506e-11,-2.2193010349441906e-11,-5.987456266126998e-11,-1.3824915689997777e-10,-1.300506049669868e-10,1.6821549387279367e-10,-7.214239320288775e-11,1.7876220240261657e-10,-6.981807906830847e-12,-5.237735248155991e-11,1.690141088915832e-10,6.299066680343089e-10,5.835596372808636e-10,3.446212170041113e-10,4.0037594087005506e-10,4.552632222240203e-10,7.036445945674441e-10,6.451964177249637e-10,5.642004542985905e-10,2.8945189764435914e-10,2.7170993979173192e-11,-8.783635708102802e-11,8.019776882401916e-11,2.2577301199481641e-10,1.411648434016401e-11,1.7847190490799595e-11,9.61519836720996e-12,-4.2306425831844966e-11,8.97667561314833e-11,8.854760227736225e-11,9.407715010429764e-11,1.4184067537701572e-10,4.1212377349511165e-11,1.4660516696371632e-10,-6.0363900270743415e-12,3.1471553179993976e-10,4.327456841694021e-10,4.953465614057109e-10,3.3040955652130073e-10,4.875655712703426e-10
30000.0,2.1460308678561488e-11,-3.66685247260925e-11,4.3812931153131223e-11,-7.604353448658359e-12,-1.3421536164486048e-11,7.02608516947866e-11,-1.4370386852784624e-11,-1.1709745172467058e-11,1.3256344868999918e-10,1.6731876640056063e-10,-6.447143867666971e-11,1.6738592103316076e-10,1.1453527402048439e-10,-9.328269092286855e-12,-4.2054007109152905e-11,2.3846912770515154e-10,2.074863984782354e-10,3.009320037465063e-10,7.002297313807824e-10,-8.34324075982962e-11,5.564484139801695e-10,6.066275193036158e-10,2.881834405446849e-10,1.5796000960894076e-10,1.24745720043234e-10,-1.211364505094069e-10,9.321110844241857e-11,1.4886283124803107e-10,1.089096952777829e-10,-5.644954108639152e-11,4.281427213434194e-11,6.593576431328e-11,1.1308644916414079e-10,1.2165788292230636e-10,3.80258401292654e-10,7.996435795315962e-10,5.486725961645696e-10,5.467044288121282e-10,6.056983255948701e-10,5.53050570712939e-10,4.1605384822521933e-10,6.077607174964557e-10,7.321963883925914e-10,1.01622523023588e-09
35000.0,1.86961175543449e-11,-7.038276301870805e-11,-1.982745910789559e-11,-5.835009922962209e-11,-1.2815779427356213e-10,1.0007904899380973e-11,1.1775692857150894e-11,2.235683263831555e-11,9.246643197794064e-11,2.2188468090425394e-10,-1.7606891703123163e-10,-4.5760965622544864e-10,1.0327450483351557e-10,6.09570090718864e-11,-1.4348652718375683e-11,-9.470249695684797e-11,-6.038662560166421e-11,2.350930049385182e-10,5.252150570744161e-10,-1.6473555047528663e-10,3.4060149289737914e-10,8.40886691957233e-10,2.5157044508383435e-10,2.4101623637496385e-10,2.370838221335465e-10,2.669526110776203e-10,-4.38871988072006e-11,1.2287341386696137e-10,-4.441940860357604e-11,-5.963503708566289e-11,1.923556677163551e-11,2.416898878428228e-10,1.3579662696544813e-10,2.9994554411668297e-10,7.049106895180415e-10,1.0783757386809174e-09,7.029311657726802e-10,6.937581823346384e-10,9.249821530234073e-10,6.978061885218508e-10,4.605473418060365e-10,5.230053711179167e-10,9.748130329996798e-10,9.77029422355833e-10
40000.0,5.624515225435138e-11,-3.6889465445741824e-11,8.811141681591268e-12,-2.0696725195908692e-10,-3.372240905110166e-11,5.07503478596428e-11,1.3321553731123232e-11,3.4014804639588834e-11,1.2811875399643571e-10,2.0771767163398094e-10,-1.1100487258906107e-10,-4.673691651958336e-10,1.2289693422144206e-11,1.678664897820271e-10,-1.1702316518738506e-10,-4.2701951831088656e-10,-4.005246844543127e-11,2.480172576888795e-10,3.020259196116384e-10,2.8931445146217438e-11,1.6003595107881883e-10,5.719248315252527e-10,1.0938955917786239e-10,1.9386514424349862e-10,3.239102034529578e-10,3.5916351390443394e-10,-3.29900126148256e-11,9.935467529580148e-11,2.2179591659564433e-10,5.408704210363618e-11,6.26725736330195e-11,3.5238714517223995e-10,2.786584907749508e-10,4.677342970122015e-10,8.9606626127029e-10,1.0832106156512064e-09,8.053655285013827e-10,7.08071948329759e-10,9.457030732790796e-10,7.819493694170975e-10,4.6227784803325e-10,6.127187780735215e-10,1.070995994221613e-09,3.871738832488897e-10
45000.0,2.5725079594165353e-11,-2.1844237942582285e-11,4.701049005192301e-13,-2.2527188982345973e-10,5.23368673088489e-13,6.489553359015549e-11,2.638140484161154e-11,-5.274601106577917e-11,-1.4466556859213507e-11,4.2514448925905284e-11,-5.231731363662364e-11,7.534718287361914e-11,-1.6511501739686723e-10,9.861509145678354e-11,-2.6698788144855986e-11,-3.9856714606676867e-10,7.072662164769128e-11,1.0981819711454669e-10,2.6825647691111113e-10,1.743735864724726e-10,1.2231147815199878e-10,3.0346709114537916e-10,1.7635801851760752e-10,4.709848267894489e-10,3.3903008711077667e-10,2.1698289533391255e-10,5.936089959214813e-11,1.2571236839667947e-10,2.674544682368073e-10,1.8439712740759726e-10,1.886832224528947e-10,5.040881358327016e-10,3.0521786849511117e-10,5.674016204896362e-10,7.646056502953464e-10,9.079056656135092e-10,1.0089135537392748e-09,8.196100796778215e-10,1.0356938190697639e-09,7.342117000983661e-10,4.759607370357491e-10,6.39325099567732e-10,1.0869242970515833e-09,2.8442595864498284e-10
50000.0,-1.8648582810792553e-11,8.156745270485009e-12,2.6459712101346534e-11,-1.474448353846247e-10,-2.4962153332021324e-11,1.204340956642261e-10,-6.905986047983651e-11,-7.449052524786637e-11,-1.4492163450578655e-11,7.791897737648147e-11,2.5589310146703624e-11,5.960109117044472e-11,9.52900402244427e-11,1.0582840313826492e-11,3.0866846169767483e-10,-1.5943872722025614e-10,1.3830231854256848e-10,-7.694413958436549e-11,4.083047767828757e-10,4.059511276350188e-10,-1.1630615217861939e-10,1.4312128215625845e-10,5.973730027477417e-10,8.372518037832094e-10,2.888309716469865e-10,1.0249562136041335e-10,9.089552516818615e-11,2.0607957593428235e-10,1.9091193345216966e-10,1.9722703145122017e-10,1.545013344937791e-10,4.280502226116504e-10,2.337036153728625e-10,5.368391828167431e-10,6.183037888023479e-10,8.611276552604888e-10,1.0421831170895762e-09,8.973641063509493e-10,9.293329284284846e-10,9.638137816240987e-10,6.759134128574016e-10,9.602119850038015e-10,1.0754999994495395e-09,4.221766938550921e-10
55000.0,4.8876800455643566e-11,1.332038743996441e-11,4.4361693477004483e-11,-7.978991496615824e-11,-5.97567188648556e-11,-5.25369870893075e-11,5.233675244260751e-12,4.5351575244231857e-11,2.6357314445564508e-11,1.6439026034382887e-11,6.817722887689247e-11,-6.517432670555887e-11,2.783416842708252e-10,2.0055588146150738e-11,5.080445861693175e-10,-9.404931450304436e-11,2.7628274293660316e-10,-1.2776010784354728e-10,2.337168437888013e-10,2.656798353676173e-10,-5.442256152219029e-10,6.470345730002096e-12,7.452528904545467e-10,6.047266784922188e-10,3.22348082374122e-10,1.291289651228858e-10,2.5930140553571045e-11,1.7975997520772563e-10,9.417208500553652e-11,1.2313211033790368e-10,1.0626347115268717e-10,3.1077524866088953e-10,1.9373063930834825e-10,3.2468264805575103e-10,5.320014475927353e-10,7.247960562179688e-10,8.94601135194889e-10,8.30149980029915e-10,7.133275788037964e-10,8.971474057662846e-10,8.698621454741535e-10,1.0377618003636241e-09,8.56833858204292e-10,3.9451195902858324e-10
