,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,2.0980112224291413e-05,1.9810735649585002e-05,2.030534439789974e-05,2.110145614007662e-05,1.923450439751992e-05,1.977025807916314e-05,2.1105734465823977e-05,2.2717804007931815e-05,1.9926573596512666e-05,1.994077817231815e-05,1.7038999317773935e-05,1.2624957984518625e-05,1.3877558160357997e-05,1.172930271172786e-05,9.399498492522405e-06,2.224221090025193e-06,6.0864700417574255e-06,5.29166008085209e-06,2.0544593228497685e-06,-5.965337818095658e-07,2.636082808185078e-06,-4.2970265070204485e-06,-4.855893832686079e-06,-1.0501794255418801e-05,-1.1425085432906861e-05,-1.1950543092220439e-05,-1.4751501919004578e-05,-1.6208954135861728e-05,-1.3781003667883602e-05,-1.348701967025505e-05,-8.761700247648969e-06,-2.7876787334037017e-06,-3.5058490017225944e-07,-1.8272587932238765e-07,2.5017574293937653e-06,3.453031952289167e-06,1.3783603374525496e-06,-3.17117439311486e-07,-1.8948981548513472e-06,-2.7548521427824894e-06,-4.1411019225815085e-06,-3.514437044515822e-06,-4.107219615601768e-06,-6.5252064203939235e-06
15000.0,2.23353872011176e-05,2.530232391004596e-05,2.603094377016366e-05,2.6347503441977692e-05,2.7420743421744712e-05,3.1346826526460664e-05,3.4029304135553075e-05,3.420119436538551e-05,3.447882392877647e-05,3.4331742137269485e-05,3.7261394237204474e-05,3.544928483898204e-05,3.0401710847677832e-05,1.4477491211676622e-05,1.5221743154763383e-05,2.0429964076480327e-05,-7.578374677646841e-06,-1.1600411875521257e-05,-1.8555752790621706e-05,-1.8663105090744535e-05,-6.242210297215295e-06,-1.3767614878395001e-05,-2.70827396852532e-05,-3.51531316398059e-05,-3.6751011879931244e-05,-4.077970199548417e-05,-4.2407717614043833e-05,-4.09948519084882e-05,-3.540456776774045e-05,-2.9004344018496594e-05,-2.0124531878635674e-05,-1.2511747740691748e-05,-6.1375170403867045e-06,-3.7586430678926664e-06,-1.8986331752573148e-07,-2.0016186355268803e-06,-3.5264813278471174e-06,-1.06872092496337e-05,-1.516087526429679e-05,-1.445436881283862e-05,-1.4712523214467072e-05,-1.2027688951253752e-05,-1.4580758110690433e-05,-2.0652554192443033e-05
20000.0,2.0710378697627507e-05,2.7768299347523446e-05,2.920764379720616e-05,2.3022456730723365e-05,2.562335403654957e-05,2.761609027029246e-05,3.324908593250306e-05,3.7483105391484677e-05,3.497891593923242e-05,3.1004234950394857e-05,3.748136055465319e-05,4.358205301849313e-05,3.1215926178310286e-05,1.714234011460946e-05,3.3446265361872504e-06,7.850125723502526e-06,-1.1944083048907506e-05,-1.5555254139338483e-05,-2.3929204418701876e-05,-2.5623490298354503e-05,-1.075879249959733e-05,-1.5333244920353445e-05,-2.7007994690162056e-05,-4.2344670050395864e-05,-4.549903018022876e-05,-4.547618041999675e-05,-4.9730299039952895e-05,-4.530731855405196e-05,-4.490899822250999e-05,-3.912550250474533e-05,-3.175232538144175e-05,-2.1555349589100364e-05,-1.3541372566198754e-05,-1.3874908672709813e-05,-1.1757203045877933e-05,-9.157077844716368e-06,-6.774381465302918e-06,-1.568064907199795e-05,-2.466836004258041e-05,-2.8260412849901093e-05,-2.8835782007043923e-05,-2.8105116043297702e-05,-3.112486885766058e-05,-4.2540111250911325e-05
25000.0,1.495492467795719e-05,2.1796403076795346e-05,2.4984916367278594e-05,2.238677874797753e-05,1.8855013341162242e-05,2.006585135915872e-05,1.9074805660299834e-05,2.021427881966072e-05,2.212410525989663e-05,2.5724227101032688e-05,2.9390720610837205e-05,3.661221681821306e-05,2.477775172689824e-05,1.2066434912669966e-05,-2.60623971771483e-06,6.73829998936447e-07,-1.3498694341354686e-05,-1.6613254224438892e-05,-2.2989726935068868e-05,-2.3076018758471326e-05,-1.051003732841425e-05,-1.72598676468525e-05,-2.8281419278765945e-05,-4.2521661955114205e-05,-4.8935381105116356e-05,-4.9679016307874135e-05,-5.276117791840591e-05,-4.551017957729639e-05,-4.2590955164213115e-05,-3.703781987229527e-05,-3.172934656213384e-05,-1.8864124182732756e-05,-9.061661163417709e-06,-1.3632761249346177e-05,-1.4443017466037192e-05,-9.626157306462377e-06,-7.2062382303713415e-06,-1.6700962079958613e-05,-2.4815154436287206e-05,-3.542601277043184e-05,-3.441232960971319e-05,-3.5480195280193884e-05,-4.4397224644990085e-05,-4.664614715313098e-05
30000.0,8.863385753915211e-06,1.7326376587699247e-05,1.9609120834499865e-05,2.179261502953611e-05,1.585119345664052e-05,1.4845999514531731e-05,1.5437863604000366e-05,1.1993196700474699e-05,1.4324383762478827e-05,1.4290256371104071e-05,1.5681423937893177e-05,1.7860798266380964e-05,1.3062071552357399e-05,6.035478890655095e-06,-2.9484893220049694e-06,-6.424034709903502e-06,-1.6056775057422247e-05,-1.728686403951898e-05,-2.1051532682368815e-05,-2.2010740118305524e-05,-1.2911544682667353e-05,-2.152836382878067e-05,-3.339893001139976e-05,-4.404200094562842e-05,-4.8197447518677544e-05,-4.909701755401014e-05,-5.351323401026658e-05,-4.69213524323508e-05,-4.191313286422316e-05,-3.759356580383065e-05,-3.192235112474823e-05,-1.831710083411963e-05,-1.450087672563536e-05,-1.5813449920720552e-05,-1.453192750245044e-05,-8.8105118911027e-06,-8.957897782801586e-06,-1.5269932627595695e-05,-2.1330281829283066e-05,-3.421451413743541e-05,-3.610827627908382e-05,-3.5977211511379156e-05,-4.184349493991297e-05,-4.548261679077979e-05
35000.0,8.607656580887118e-06,1.3683092437594806e-05,1.4144341162498e-05,1.6503818846983405e-05,1.2119261223569402e-05,1.1825573290461728e-05,1.354518684045304e-05,1.3706757688944408e-05,1.7840366058531996e-05,1.6675664951794814e-05,1.4776577184150957e-05,7.663279177687974e-06,7.570920227577815e-06,2.790406984721829e-06,-6.871212045337905e-06,-1.069307426224811e-05,-1.5732474362914262e-05,-1.8134843873741338e-05,-1.993644348369512e-05,-2.0918509540464728e-05,-1.866307848700995e-05,-2.580581320809967e-05,-3.555018999460683e-05,-4.395264566760876e-05,-4.703318572652612e-05,-4.916672305256074e-05,-5.0823636190373105e-05,-4.7127461402024875e-05,-4.228499195846048e-05,-3.856045675960941e-05,-3.215428749207149e-05,-2.1977209314947238e-05,-1.8987277077341583e-05,-1.7216998295341946e-05,-1.5580172889950162e-05,-8.801328949781635e-06,-1.1187066866703399e-05,-1.7107578261380302e-05,-2.025839507381934e-05,-3.082312536088414e-05,-3.217915567549736e-05,-2.9934844275220128e-05,-3.2252695215198644e-05,-4.1992384385563933e-05
40000.0,1.0139188909268468e-05,1.231124477087137e-05,1.3611185413689423e-05,1.1522280718091673e-05,7.044543221443901e-06,7.445498286525143e-06,1.0045156665072743e-05,1.2204815211756465e-05,1.597856217883071e-05,1.8093581195272343e-05,1.4178859850915638e-05,6.295551040344296e-06,8.919628973975181e-06,2.6109778625097085e-06,-8.18799823159632e-06,-9.516859713532548e-06,-1.2365055107455557e-05,-1.647659484319141e-05,-2.0255640135483834e-05,-2.3457981393624782e-05,-2.146240996850019e-05,-2.945672888715208e-05,-3.771415963178869e-05,-4.5647620040136515e-05,-4.732003494277931e-05,-4.8431526517470374e-05,-4.781007820838095e-05,-4.5759283864705417e-05,-4.3825885793928565e-05,-3.8764245978650375e-05,-3.1898500207031854e-05,-2.45344795097206e-05,-2.1178391103434882e-05,-1.88249889585272e-05,-1.6612155911946056e-05,-1.0379760070559973e-05,-1.288880166614255e-05,-1.5068578278332692e-05,-1.9168672365688415e-05,-2.6003425436026118e-05,-2.702265476056133e-05,-2.4659661329573815e-05,-2.4929327697141932e-05,-3.543071004359564e-05
45000.0,1.0909644372788541e-05,1.0345868290891347e-05,1.1660976073330309e-05,8.42757045764521e-06,4.254540103758146e-06,6.492430047572118e-06,7.603631715001515e-06,1.1296829488949138e-05,1.2261119482910302e-05,1.436924628594581e-05,1.2412883544098644e-05,4.537810690816124e-06,7.6279059486415184e-06,2.67735402539163e-06,-5.972027758836513e-06,-8.064600359643163e-06,-1.2575259809715695e-05,-1.9312300214301173e-05,-2.3254066188761813e-05,-2.8648118023826458e-05,-2.555739476959206e-05,-3.1125678082018965e-05,-3.732360412039575e-05,-4.8041089675576775e-05,-4.460647271374882e-05,-4.575474229792007e-05,-4.5322439007643895e-05,-4.4860433040137075e-05,-4.3616357584593206e-05,-3.9093646853122904e-05,-3.319381344359337e-05,-2.8075427210012163e-05,-2.22633472180392e-05,-2.022080352074227e-05,-1.7604430550607593e-05,-1.2787960041472192e-05,-1.275403988723519e-05,-1.3737830732246411e-05,-1.6672950497071637e-05,-2.3119757275213972e-05,-2.4798425538385754e-05,-2.1095666626832193e-05,-2.1612853717247167e-05,-3.2141532210878954e-05
50000.0,9.790485770758655e-06,6.645654694897136e-06,7.809128349332745e-06,6.157600676038438e-06,2.34343105368923e-06,6.537412738950754e-06,6.077975418185618e-06,1.1440318823101302e-05,9.942544255460963e-06,1.0717732743501408e-05,9.957746123561758e-06,2.8070402814296e-06,4.686207005340625e-06,2.6170799150373436e-06,-4.895085860323223e-06,-8.276984494826234e-06,-1.3596313765518314e-05,-2.186384884741537e-05,-2.700860409121258e-05,-3.0422894527726886e-05,-2.771545658474732e-05,-3.347901344531239e-05,-3.469816767045514e-05,-4.6487294646749616e-05,-4.386744936988493e-05,-4.41624364140498e-05,-4.444773359411226e-05,-4.472437027677629e-05,-4.4198917690865985e-05,-3.937507284943623e-05,-3.438461407300084e-05,-2.998257636992164e-05,-2.4756657110009877e-05,-2.1997664775514323e-05,-1.9458581822595205e-05,-1.4720494330254791e-05,-1.4292717054194453e-05,-1.2669067545710678e-05,-1.4317489337785641e-05,-2.1311119281135675e-05,-2.1065753677766632e-05,-1.795456940134429e-05,-2.0199651557472744e-05,-3.081571145314923e-05
55000.0,6.985498173269983e-06,3.9542774967287525e-06,6.047669584471702e-06,4.0320093269840455e-06,1.896519770442971e-06,6.591660745028991e-06,4.90859888386011e-06,9.533625025739456e-06,9.371435219094398e-06,8.198733957648232e-06,7.818829689912682e-06,1.6318768778031474e-06,2.9190972257973914e-06,3.219286602858839e-06,-5.2926776688030356e-06,-8.835651263127705e-06,-1.4636226641635806e-05,-2.099977564883306e-05,-2.709106432540896e-05,-3.142058733294046e-05,-2.8225181217219323e-05,-3.293214583295478e-05,-3.35192829998371e-05,-4.361130437273082e-05,-4.374503758667874e-05,-4.4815679290975124e-05,-4.471674816715835e-05,-4.390430813577079e-05,-4.3259019686922164e-05,-4.0616417898646615e-05,-3.507844846568347e-05,-3.284977516508761e-05,-2.7370500461554235e-05,-2.3848266837390314e-05,-2.0152001047879322e-05,-1.7595862966459234e-05,-1.678289787303771e-05,-1.465398160626534e-05,-1.3399636111118457e-05,-1.978061165590317e-05,-1.7597874276543574e-05,-1.565346932538802e-05,-1.7095135357616068e-05,-2.7394244883741932e-05
