,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,1.0451649510850733e-11,1.5967837215233232e-11,-4.632367404401192e-11,-2.0464501005267793e-11,-4.984009502042642e-11,-1.949954113294975e-11,-1.0709436861227525e-10,-3.073404417555955e-11,-1.2986937394172143e-10,-1.0238105787734274e-10,6.533849749851191e-11,-3.100718027541059e-11,-2.46597447736968e-10,-4.2891808242636085e-11,-2.0602071758612993e-11,-6.098990631188544e-11,-3.92161503680865e-11,-4.7810910696979734e-12,8.278200439610333e-12,-3.483682956268972e-11,-5.814451312279599e-11,3.8222385092388344e-11,2.2411053746588706e-11,-8.304634194316548e-11,-3.3261811001419367e-12,3.197764871320464e-11,3.390071456478497e-11,1.775037537541664e-11,-5.94856928577318e-11,5.162825079831868e-11,3.841875752002455e-12,-3.2196700107337384e-11,-1.585051358772653e-11,2.40993818223177e-11,-1.3651715717870044e-11,1.6984684925857458e-11,-4.6258196576587255e-12,1.811240248447792e-11,-6.262692555537736e-12,-7.014827203632833e-12,-5.068672566473892e-11,-6.803121653708951e-12,2.3936195157483855e-11,-1.183279929050682e-11
15000.0,4.492165732773808e-12,-2.2767202256894903e-10,-4.859421175761071e-11,-2.3190544608771004e-10,-3.454073079103825e-10,-9.750917318177951e-11,-1.479059290191003e-10,8.13568650692153e-11,-2.0195602254535944e-10,-2.551864904159308e-10,-2.1479224797120434e-10,-4.017705026022394e-10,-3.5063420963604875e-10,-7.415493815906339e-11,-3.1379453950363483e-11,-3.2179655223196625e-10,-2.1034000195193973e-10,-1.5654566334815748e-10,-6.917545639926107e-11,-4.3964005772948383e-10,-3.222661331697185e-10,-2.2849423942736966e-10,-1.7678526921044738e-10,2.6112775184046575e-11,-3.0130766959130906e-11,8.198009282362355e-11,-6.194210664773782e-11,3.6053522543741273e-12,4.1833063414150194e-11,-2.9708824784322304e-11,6.216049152516088e-11,-1.2673010609889551e-11,3.385157751298091e-11,2.0564941652382896e-12,-1.3624548629185639e-11,-1.224813327998511e-11,2.5719754323980783e-11,6.449308145739893e-11,-2.2109412571009357e-11,2.42805159081446e-11,6.785629652092421e-12,-9.488062072301971e-11,-6.643917055972461e-11,-1.0423320573512234e-11
20000.0,9.176045000465871e-11,2.340562634896968e-11,1.1160291295042315e-10,7.666976855848066e-11,-1.4368851389652964e-10,-2.3304583932667825e-10,-1.8282274262645124e-10,6.222004659257098e-11,-2.3711031949813505e-10,-2.6098311857080696e-10,-4.279503889874176e-10,-1.8079462744912802e-10,1.0376603798066585e-11,-4.430732956700493e-10,-2.3497813788243448e-11,-2.9140371115380635e-10,8.372265563400831e-11,-2.653934096180964e-10,-2.0358414506677226e-10,-4.130280673117602e-10,-2.4709112158158003e-10,-4.969658859565574e-10,-5.852106879019623e-10,-4.122690518156207e-10,1.0476693761801063e-11,-1.8902287048057035e-10,-1.391832835605072e-10,-1.666831872388247e-10,1.1101577422353718e-10,-1.827601250717921e-10,5.402085012555174e-11,-1.6582489566404133e-10,4.111215263002335e-11,-1.2336143221937962e-10,-1.1438734231474588e-10,-9.557063380944009e-11,-7.706493503163015e-11,-7.399810387264515e-11,-9.448709588225953e-12,-2.1601479842205935e-10,6.707553019919285e-11,-2.649166190211871e-10,7.708332004948267e-11,3.3389858543710954e-10
25000.0,5.689630201507707e-11,9.404573086785932e-11,6.234899470022322e-11,5.391477934626484e-11,1.528921348985075e-10,-3.872446048364885e-12,-6.451573225368923e-12,9.982723494160554e-11,-2.4747201343101262e-11,-3.9204195420051587e-10,-3.266580098532851e-10,-2.571767689707194e-10,2.1416539135652563e-10,-3.6939231300017163e-10,-4.2573260183083275e-10,-1.7363908768608095e-10,-6.408980636967017e-11,-5.896623212245084e-10,8.164259482917809e-11,-5.514902936906604e-10,-2.1728791317685676e-10,-2.723699911320179e-10,2.9381585313133237e-10,2.595532638245729e-10,1.2535825600835364e-10,-1.1503177370404486e-10,1.532070328543047e-11,-4.038778276632023e-10,6.158042153127385e-11,-2.5149989153821337e-10,-3.0901435614110213e-10,-5.389846314165544e-10,-1.7647224011019215e-10,-3.4280557749388737e-11,-3.425269351598869e-10,-8.236099052542137e-10,-4.4298334882646474e-10,-3.2373242339401263e-10,-5.496344967847086e-10,-9.198086261165124e-10,-4.386508437979578e-10,-3.66591741982617e-10,-1.4608095557717622e-10,-2.9841864928578576e-10
30000.0,1.7059707099608344e-10,1.4155621995268616e-10,2.727025799969821e-11,-1.047878641401836e-11,-1.5365140798078022e-10,-1.8656901342072333e-11,-1.887341184740914e-11,2.2317563342181024e-11,-8.122280677566107e-11,-6.658159058260473e-11,-1.1700648259620383e-10,-9.96899472157582e-11,6.392422232174338e-11,1.5280040277799425e-10,-1.300022630040324e-10,6.462401270044818e-11,1.7833325358879608e-10,-2.200583152571769e-10,1.3092817907001417e-10,-2.341538671935418e-10,-4.867714242588569e-11,-1.1412767150519233e-10,3.8490331451735347e-10,8.173628122745553e-11,3.1951645435326134e-11,-3.896697032173638e-10,-3.023653773216214e-11,-2.1239232417247577e-10,1.8131958145286348e-10,-2.5399520971478033e-10,-2.187482575672184e-10,-2.7475771382009597e-10,-1.5340795865355032e-10,-4.6290431364138476e-10,-1.9835426361051182e-10,-6.303022330660591e-10,-5.871465890964978e-11,-5.391170424382995e-10,-3.5267102222528886e-10,-3.4704027831903213e-10,-8.436631920211237e-10,-7.227464162131934e-10,-6.703717762350921e-10,-1.5135690034138377e-10
35000.0,-3.3780319317180336e-12,-4.156191037928967e-11,-4.3568312935212455e-11,-9.746286000264748e-11,4.25050696614264e-12,-1.0313623981741019e-10,-2.675258382814162e-11,-9.19757573867019e-11,-1.1859697250060582e-10,-2.790691420849147e-11,-9.10812696874114e-11,-1.8043557673715659e-10,7.329128470520503e-11,3.7922309325366435e-10,7.637296920704733e-11,-1.301625399459626e-10,5.24506519323873e-10,2.3317262660643422e-11,5.382747703364381e-10,9.565111186293983e-11,-1.5390144094643644e-10,1.728935272332992e-10,1.442308312844141e-10,-2.3110957093175386e-10,-9.051525623202967e-11,-2.3885545452334576e-10,-1.550837946852494e-10,1.5166178252172464e-11,-1.7784694967908098e-10,-1.448025514667166e-10,1.73873390481419e-11,-5.135751715236069e-11,-1.2351501023569532e-10,-2.300791542334906e-10,-1.1986417828836644e-10,-2.464193565273874e-10,-1.0846447494219795e-10,-2.2672784508549583e-10,5.0379282779702304e-11,-1.778224046890032e-10,-2.2410050887239517e-10,-6.647087940666314e-10,-7.370812873848911e-10,-6.189073434134074e-10
40000.0,-4.118305808889903e-11,-1.2640168046905544e-10,-5.5900582207704976e-11,3.328313624755078e-11,3.567290542758891e-11,-2.754580812298996e-11,1.7822844264625398e-11,-1.0585824136524605e-10,-2.2258317828062475e-11,1.7777921840123649e-12,-8.344762601990255e-11,-9.387067950587738e-11,-1.0040401182947027e-10,1.4652116626447995e-10,1.437921643370214e-10,1.4728547985508234e-10,2.276157235408022e-10,-6.746131029624505e-11,2.8407665948583163e-12,-1.0962597839662563e-10,-2.2817037111959883e-10,-1.6773044878125206e-11,1.721578249762211e-10,-4.5047303751271375e-11,-1.1489037665644507e-10,8.942927343426165e-11,-7.190497544949972e-11,-1.3849776971657228e-10,-2.8200776250709147e-11,-1.0861774472725761e-10,-2.165781215460714e-11,-8.398273768509443e-11,-6.054689973490853e-12,-1.319705787333137e-10,-5.003366531024759e-11,-8.257368703081602e-12,-9.895758430332045e-11,-1.468686458918751e-10,-1.749333297509099e-10,-2.790615005360962e-10,-5.6784319023230484e-11,-2.2631282932847677e-10,-7.177411508383236e-10,-8.264795266641276e-10
45000.0,-1.737940383197775e-11,-9.824966684732627e-11,2.3298808463227108e-11,9.116754107499171e-12,7.424501578397285e-14,-8.126977490172435e-11,-3.8754849518850186e-11,5.6626537415369895e-11,2.5440279470921556e-11,-4.7577513109407785e-11,3.3520139730486275e-11,-5.056449618652161e-11,-9.761700194762818e-11,-1.6658518030808934e-11,2.920816285243893e-11,2.536841919118181e-11,-1.326520837233552e-10,-1.710110289450912e-10,-2.9129794157255786e-10,-2.431110286862268e-10,-2.855325451354056e-10,-9.456042926012326e-11,1.0349677684235231e-10,5.576227745459691e-12,-8.569563945434236e-11,6.002354897394279e-11,-4.768965813309437e-11,-2.224049717908498e-10,2.0516840578619376e-12,-6.097143606832892e-11,6.124167029704051e-11,-1.6301905265050077e-10,-1.0914170426281769e-10,-6.277885950895138e-11,-4.178123840914007e-11,-1.4445863107000063e-10,-3.176462725772079e-10,-2.634285591147783e-10,-3.569700529434602e-10,-3.9235166886957e-10,-1.4547390868862788e-10,-2.8870808891312655e-10,-6.714514485071882e-10,-2.762217831450641e-10
50000.0,-8.227786731463781e-12,-7.109216778443129e-11,6.030984196711521e-12,-2.2304850091323126e-11,-9.101913871848134e-11,-5.278605844672914e-11,-4.339857884154305e-11,1.1114651723904644e-11,1.2950033544675509e-11,1.5263780969581114e-11,5.889340417841653e-11,-1.6345728333776324e-10,-1.2074309977634886e-10,-9.307790888557157e-11,-2.278468473199245e-10,-2.431916783654981e-10,-2.4061687149797783e-10,9.691182856532183e-12,-7.691206431001802e-11,-1.8864923588360947e-10,-3.4482591577012344e-10,-3.295628249961128e-10,1.3045298054187908e-10,-5.282026691178639e-11,-3.577636786961626e-10,-9.497682593344608e-11,-1.2627687924893371e-10,-2.008952290175496e-10,-1.4723287519675399e-10,-4.5299973953823664e-12,-1.0637302767884264e-10,-1.9912865616774746e-10,-1.0342719717384343e-10,-6.177405277917764e-11,-1.1218695693203541e-10,-3.868561044090669e-10,-5.65325281447851e-10,-4.5273859057614697e-10,-5.58578908958079e-10,-3.667864543948555e-10,-2.1765879979432385e-10,-3.510286914004782e-10,-6.041518945222914e-10,6.479427111840327e-11
55000.0,-2.3979744269303814e-11,-9.426167699243373e-11,-3.681794665407847e-11,-1.576110142394416e-11,-2.7316188616926464e-11,-6.053642939244831e-11,-3.5016899183219283e-11,-6.412904633282811e-11,-7.059102925141163e-11,-6.410217520815225e-11,-7.81466324850768e-11,-1.206983651283083e-10,-1.2928495298606552e-10,-1.8363029520957842e-10,-3.1107127546228114e-10,-3.0685905264125767e-10,-1.5244828577298807e-10,-1.5272435251629955e-12,-1.8844221923773868e-10,-1.3488862049950978e-10,-1.176396176921911e-10,-6.07996428792966e-11,1.9251886154219128e-10,1.5013537858322049e-10,-3.6430033071073617e-10,-2.0404215145738506e-10,-1.7826252227141237e-10,-1.8022409918687387e-10,-2.0704760111469912e-10,-4.3256183280510764e-11,-1.753189102453124e-10,-3.2429765256703026e-10,-4.6681429938762196e-11,-9.473832311339738e-11,-1.8416142321237913e-10,-5.660800895988707e-10,-6.161314760954466e-10,-4.461820050214442e-10,-6.359776851756273e-10,-4.975471320087744e-10,-2.5696143212940213e-10,-5.983026976714428e-10,-5.344905851194118e-10,-2.5631977883113868e-11
