,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,3.407851588483742e-11,-1.2439819393614415e-11,-3.0423476818468695e-11,-1.0660047319135439e-11,-4.611855611421463e-12,3.9342221573256494e-11,4.865904878925089e-11,8.641407284395692e-13,-4.0488568865547473e-11,-8.925948613763374e-11,-1.8453081826053917e-10,-7.224971558587031e-11,-2.231632944135098e-11,-1.1409294746471421e-10,-2.2192376149400742e-10,-2.874584939256687e-10,-2.741530191490223e-11,-1.3048541010595044e-10,-1.3867535015894795e-10,-1.7191834734776544e-10,-2.2604468066230712e-10,-2.0432818723557895e-10,-1.6615196491369725e-10,-2.0427167815797804e-10,-1.5187431510511814e-10,-1.4173052876027308e-10,-1.8378246484996787e-10,-1.279001257131943e-10,-4.1783437944013105e-11,2.7322873550368285e-11,1.7464744163693008e-10,6.69827828400272e-11,-3.011483404693672e-12,1.3359511377218836e-12,4.718679405507211e-11,-7.851776156575605e-11,-1.3884571216161638e-10,-1.4010687555076542e-10,-1.4024886199314245e-10,-1.7878275746604897e-10,-1.5136444677303143e-10,-1.0225063436422105e-10,-1.233828635248661e-10,-1.5392012370392814e-10
15000.0,3.859692235190803e-11,5.857816614112704e-11,4.859501294666866e-11,1.4200602296903742e-11,9.75258645752217e-11,1.6309465147622887e-10,9.123125207071677e-11,-1.0571947194088097e-10,-4.518372092220596e-11,8.99804609175454e-11,5.92904314002204e-11,-1.8612022766715294e-10,-1.5049101478950204e-10,-3.279867473387616e-10,-2.8783606924655476e-10,-3.9780548215460984e-10,-2.828471915007838e-10,-3.4991740223140135e-10,-3.4941007224380903e-10,-3.027446996049065e-10,-3.4984556378747283e-10,-5.386883079485758e-10,-4.5557741135619894e-10,-2.646482343226836e-10,-1.83573908852484e-10,-1.3792454863409723e-10,7.241825463778577e-11,2.2397806918452308e-11,1.6912320298211433e-11,1.2121358911625216e-10,6.894788669389047e-11,7.625224611069274e-11,1.2583578769061108e-10,-3.3387456522643716e-11,-1.2486609873858845e-10,-2.794202516453798e-10,-2.7178186693369474e-10,-2.7088439599502604e-10,-2.1005694840733632e-10,-9.839288028967405e-11,-3.4212699047952014e-11,-1.806691919054226e-10,-3.053821233807233e-10,-4.78392161707516e-10
20000.0,2.0195350352093793e-10,4.953792057862802e-11,-7.35820888895585e-11,-4.8268647732783316e-11,1.952518079731582e-10,2.3041776389157463e-10,2.3790078375649727e-10,-5.600916505219999e-11,-1.8982748970594917e-10,4.7595593749273296e-11,1.3305508196315535e-10,-3.1789036372613384e-10,-6.046142122561455e-10,-2.6634373767654416e-10,-3.2327662414309197e-10,-2.713782989978033e-10,-3.6556711095646787e-10,-3.801069200427058e-10,-3.02602874917018e-10,-1.9990739714443623e-10,-4.282902232286366e-10,-5.47778612265414e-10,-6.592020846194395e-10,-5.08841510025468e-10,-2.970313534397784e-10,-1.950983666933744e-10,1.875983770630594e-11,-4.196703908733777e-11,-2.164918359651939e-10,-1.8229951034511076e-10,-1.8478555188154107e-10,-3.7270864520231676e-10,-2.9946197831919965e-10,-4.1552270623599554e-10,-4.032212613520712e-10,-3.9281466890774034e-10,-5.591217154946904e-10,-6.321340678354002e-10,-8.05589697648456e-10,-4.093329878860025e-10,-4.331445124145206e-10,-3.2924050435596826e-10,-5.229687003665962e-10,-7.822892494184988e-10
25000.0,1.3320195983353144e-10,6.231058352279813e-11,1.2248657763008647e-10,-1.3748776679108423e-10,-5.2992390358311544e-11,-3.9680696800661487e-11,-4.56927718386122e-11,7.679006093449526e-11,4.581263698624027e-11,1.3512142448206237e-10,2.689870262413567e-11,-2.1834518390352976e-10,-5.894427497829411e-10,-2.520690721917344e-10,-3.6912286349012516e-10,-2.0919407057546574e-10,-2.6974734376535506e-10,-2.831874475200868e-10,-1.896124959727644e-10,-9.242143908346358e-11,-3.0756391734006013e-10,-4.67077065255043e-10,-5.941337843155372e-10,-4.909652294840903e-10,-3.8186110142568694e-10,-1.4029582081544614e-10,1.180891715904117e-10,3.227102577917304e-11,-3.0301874112220045e-10,-1.7779250619327737e-10,-8.417513560202879e-11,-3.797522332144907e-10,-3.5388573063223504e-10,-5.821732692538928e-10,-5.300365160154283e-10,-4.852578305181248e-10,-7.323937238729292e-10,-9.730722030281251e-10,-9.851756494626529e-10,-7.770429442978633e-10,-7.130069224563882e-10,-4.717276008904244e-10,-5.049312317623862e-10,-2.743674875863307e-10
30000.0,1.2470316771253161e-10,9.657633622801468e-11,1.7078462751724107e-10,-1.1345492571904204e-10,-1.4391379732282128e-10,-1.3990886994100693e-11,-9.859882448009697e-11,4.5891301891861386e-12,2.8447679811176167e-11,2.419566201157617e-11,5.315576958397375e-11,-8.757678044336644e-11,-3.184355299134028e-10,-2.1788866081163744e-10,-4.105629151458624e-10,-2.2548297808978788e-10,-1.6709263562177087e-10,-1.3782635547806697e-10,-1.4085895639586316e-10,-6.3956722062002e-11,-2.2365692462173277e-10,-4.030194120325282e-10,-5.419588723186282e-10,-3.322069013053169e-10,-2.6365877308970575e-10,-1.1376073364871775e-10,7.204435674392807e-11,1.6830482199596713e-11,-1.5818873802174374e-10,-1.0710980992931487e-11,1.224147081305378e-10,-1.7587982531826117e-10,-2.9815647837533246e-10,-3.6087959445435796e-10,-3.9898723238342405e-10,-3.0606382988645744e-10,-6.038951625567835e-10,-7.734094365603896e-10,-8.530903627668159e-10,-6.441042852624796e-10,-7.027452183108056e-10,-4.06054205019981e-10,-3.07949668797806e-10,-4.147883273374877e-10
35000.0,1.2136939572672155e-10,1.0388098505768109e-10,1.1378608170343987e-10,-4.853359767394347e-11,-8.480517397955187e-11,3.0560865677494265e-11,-4.984828635566557e-11,4.71938173621479e-11,1.0571042978394481e-10,-1.6580581164030185e-11,-5.942859346689021e-11,-6.494363386140364e-11,-2.171131128861424e-10,-3.59190683125359e-10,-4.0217848978134995e-10,-2.220972467083738e-10,-8.724509508615519e-11,-1.1456025978941283e-10,-6.897979083326212e-11,-7.527549681105679e-11,-1.9419049612009192e-10,-2.48327010369363e-10,-4.0457256314905727e-10,-2.762401786115078e-10,-1.8955467767714723e-10,-1.3438009312243573e-10,8.975788550725337e-11,1.7521507719808238e-11,-3.856455724238908e-11,1.2770956274000734e-10,2.3668583487991477e-10,-8.408505975140427e-11,-2.106026183897559e-10,-1.1411766271498718e-10,-2.778652951841919e-10,-2.40545751527939e-10,-4.693677587331645e-10,-5.755829337294597e-10,-6.463121762004426e-10,-5.069698800604955e-10,-4.928789472641301e-10,-3.1883292122151633e-10,-2.822261537048828e-10,-6.197429174643282e-10
40000.0,8.49192674031902e-11,9.925771668619214e-11,1.2937446617039737e-11,-1.0212412529241968e-10,-1.3197523579677747e-10,-5.310588883068932e-12,4.0114585882839975e-11,1.3282449593009365e-10,1.896224209693489e-10,-1.0949068167346217e-11,-1.0550119282252103e-10,1.0639905213044832e-11,-1.3998127504220685e-10,-3.683994530026554e-10,-3.8728601501410146e-10,-1.5185041915612257e-10,-5.051814528086877e-11,-1.5217018678901144e-10,-9.726160048820364e-11,-4.4973330181008124e-11,-1.9550761707710587e-10,-3.0430152011741144e-10,-4.0836887857022977e-10,-2.0806438474315522e-10,-8.66006774027997e-11,-4.7521796984706437e-11,1.5392835348642186e-10,5.5257038393741934e-11,1.7602359146760636e-12,2.0725252167253662e-10,2.679147455530128e-10,1.7604560353491782e-12,-9.288199885966862e-11,5.5420128389463875e-11,-1.7558912094617457e-10,-1.907935454973725e-10,-2.8631218340006496e-10,-4.1503358890071205e-10,-4.182433706847209e-10,-3.7769285583412574e-10,-3.762934498379786e-10,-1.8232634276051128e-10,-2.242797046437019e-10,-3.977804426283167e-10
45000.0,3.272901201079068e-11,6.041334176420527e-11,-5.198613379244823e-11,-1.1004919025333273e-10,-1.750807262729091e-10,9.211755343446749e-12,7.128352827508305e-11,8.08153661053064e-11,8.403700111698351e-11,-1.372801757918166e-12,-3.896923356989146e-11,4.870533272178647e-11,-3.1635497443024176e-11,-2.6950609330960297e-10,-3.7300881096930235e-10,-1.0702009440029992e-10,-1.3669500951712115e-10,-2.2115067464906618e-10,-1.265179427757391e-10,-6.755693120419666e-11,-3.1939958133270237e-10,-3.7303305233832347e-10,-4.26035376910131e-10,-1.4460043539588316e-10,3.1578362429409276e-11,1.59776864287709e-11,1.254591801455619e-10,3.0464753335735784e-11,3.9529962308984744e-11,2.063562357257405e-10,2.5522765614307303e-10,7.907892998982492e-11,3.738446020028263e-11,9.070814866612442e-11,-9.853318201665638e-11,-7.693465955518351e-11,-1.7081027892814904e-10,-2.96561341992974e-10,-3.002103844454498e-10,-2.8701043158090477e-10,-2.7837240659713584e-10,-4.423824793592531e-11,-1.9967188093743207e-10,-4.3867875760597494e-10
50000.0,-3.4565543158042384e-11,1.1606413300763883e-11,-8.866054112655948e-12,-8.73895478473804e-11,-1.6606733755882894e-10,-1.312376930649665e-11,6.787014514514836e-11,8.686305280905631e-11,2.1408375468320688e-11,-3.506629527609125e-11,1.33576598292628e-11,4.927658441976087e-11,-6.269286295599558e-11,-2.4936521205628865e-10,-3.1443750221271086e-10,-9.980512823047667e-11,-1.9591466479549722e-10,-2.819559575324456e-10,-1.1310921238167535e-10,-4.685215594545489e-11,-4.4815777516309783e-10,-3.4521445589829316e-10,-3.5006959194446654e-10,-1.609175699417605e-10,2.637909929356001e-11,5.471178528545269e-11,1.3102321445902078e-10,6.849137607859022e-11,7.112102260564889e-11,1.547350671130052e-10,2.3580727328198024e-10,1.3549363146479017e-10,8.838920256775069e-11,1.105083426460313e-10,-2.059302103905892e-11,8.441078468194425e-12,-8.3480254494957e-11,-1.6876127810836564e-10,-2.626500295206426e-10,-1.5948428458583756e-10,-1.7319310668210546e-10,-2.3067578851322068e-11,-1.7802535016267716e-10,-5.07421951310475e-10
55000.0,-5.523978217283847e-11,4.3066022070318276e-12,4.036808664251956e-11,-3.021773928914827e-11,-1.1796811428139978e-10,-4.5440922560979186e-11,1.8006216216159843e-11,1.2146181094481281e-10,8.206432949069484e-12,-7.990580145995307e-11,7.232396158548563e-13,4.995022949157426e-11,-8.590645107685854e-11,-2.923192427686836e-10,-2.714127744658908e-10,-1.0597034644629101e-10,-2.29878941268525e-10,-2.721610879352231e-10,-1.5332545094792308e-10,-1.0347191360844936e-10,-4.66899929831456e-10,-3.1589953407392453e-10,-3.0822660358637605e-10,-1.800889254272885e-10,-8.567992021422233e-12,7.633221046713935e-11,1.7887063524395103e-10,1.4426666204139045e-10,1.0735627830629008e-10,1.5434087018568905e-10,1.9209408743838615e-10,1.0835030979590127e-10,9.571400147392076e-11,1.2762593669706948e-10,-1.0786498683915315e-11,-1.7358621144194587e-12,-2.9327635741960416e-11,-6.932017750197373e-11,-1.941059898044087e-10,-1.0917383790934894e-10,-7.424880338232777e-11,-2.353773397399237e-11,-1.266826570146541e-10,-4.075173541733698e-10
