,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,-5.43949741076554e-11,-6.477201809346598e-11,-7.408802560738031e-11,-1.6711481120782494e-11,-1.708236701643058e-11,-7.247895909364325e-11,1.7516496999904428e-10,1.1624884064135581e-10,1.8494291122617443e-10,2.9537848436411826e-11,-1.6229423403162675e-10,3.970606512177441e-11,3.522475913944364e-10,-4.828461547294795e-11,2.6945889550217657e-11,-1.5872872477962343e-10,1.994510085357285e-10,1.464363856639684e-10,2.7033098192510417e-10,2.513832853359176e-10,1.597004340763592e-10,2.876960991838468e-10,1.3637164718391962e-10,-1.172713074972959e-10,1.5725470791156475e-10,1.383741188824889e-10,-8.045846047638671e-12,7.256053791191348e-11,-1.8096654884626805e-11,2.183804697700244e-11,1.5556372228992075e-11,2.532544348362828e-10,-5.1899405524492384e-11,1.6601529423524308e-10,1.1078976244870604e-10,-3.897576222504753e-11,-5.776873413375577e-11,1.6086725319803174e-10,5.6651794977831204e-12,-3.378869019686782e-11,3.3541719557891336e-11,1.366699505712663e-10,-6.900104080927302e-11,-8.719056791542845e-11
15000.0,-9.290813282456185e-11,1.3089110697778844e-10,6.141665391304955e-11,4.198279127039258e-10,4.497430268276758e-10,1.554008802007186e-10,1.8119147555606012e-10,9.838077986406938e-11,4.129744317205192e-10,1.437566934845844e-10,1.9415268878063084e-10,3.17660419522648e-10,4.437616995009381e-10,5.718887128762528e-10,6.693217688615623e-10,8.772223342609022e-10,6.040877222997653e-10,5.085587107471886e-10,4.1898131137710096e-10,8.667989905536083e-10,1.1416228022689557e-09,9.471905045866206e-10,6.79158148491967e-10,5.416941956378871e-10,8.26963729001269e-12,1.3338714175485195e-10,4.0576388921592435e-11,1.0134690886638222e-10,8.840501393296712e-11,1.2953707920918643e-10,1.748574947172117e-12,1.5418515931420436e-10,1.0702199884864016e-10,1.320629346836264e-10,7.84984825586777e-11,1.2103702800693526e-10,9.261628863934461e-11,1.050410749281639e-10,4.402151861815871e-12,1.0115187680062012e-10,8.07340234203735e-11,9.619084874829494e-11,5.099357175897786e-11,-1.5796058303095312e-10
20000.0,-3.6097710450601886e-10,-1.4167383970174952e-10,-2.8139445928826326e-10,-9.658975867855108e-14,2.468462852291186e-10,2.8912844384778803e-10,2.1455065801576294e-11,6.73157372263591e-11,3.8095488569490596e-10,2.513774297563716e-10,1.4762827061833822e-10,2.0282207419415712e-10,4.804921582659902e-10,9.79991950500568e-10,9.811365079908045e-10,6.056478100773741e-10,8.062672136818997e-10,4.664475440390883e-10,1.8603170077893285e-10,5.126731881381927e-10,1.0723480191523078e-09,9.35587372555443e-10,9.331818744459274e-10,1.0095417470154698e-09,5.305989704826892e-10,4.935875486799269e-10,3.785523554086364e-11,3.7694412440770944e-10,3.9486271677635576e-11,1.8516192084929783e-10,1.8982203196055755e-10,-3.458687763302504e-11,3.336247791810652e-10,3.249472031465373e-10,4.180296165865873e-10,4.804592886091341e-10,2.2410713907713534e-10,2.652069022397261e-10,3.431446056466647e-10,7.473524555549117e-11,-1.5064755012366424e-10,-6.328496385638529e-11,2.3764648899638867e-10,6.149328793111152e-11
25000.0,-4.2284881962971064e-10,-1.0865073174183659e-10,-5.88459765662401e-11,-4.3683651004764436e-11,1.7843395076264472e-10,1.2396303870017798e-10,-1.362007469363844e-10,-6.49118528281895e-11,2.538202382544008e-11,3.9134926676608854e-10,2.1452543222635502e-11,9.759440534826198e-11,2.1902063984369796e-10,7.870464820694113e-10,8.098863986901052e-10,4.703553681992836e-10,2.7290402836092685e-10,3.503677282131408e-10,-1.4870536831936224e-10,4.0514290136929447e-10,8.562918274973375e-10,8.35625418979288e-10,6.06841589608294e-10,3.0089218491639225e-10,3.9568717556610864e-10,3.749272218400138e-10,3.235111306250808e-10,3.9992737136760697e-10,2.4181139199008494e-10,2.15308116855889e-10,2.949481807270285e-10,3.6807267660590935e-10,2.0842507133912986e-10,1.1213329280190187e-10,4.455636945845264e-10,4.81996330080956e-10,3.958197902039902e-10,3.6041922232060705e-10,5.886350217635132e-10,3.5348690723701035e-10,-3.7681472829892107e-11,-3.9828611949194987e-10,-2.0726204197245154e-10,-4.042762089161106e-10
30000.0,-2.1203473394522823e-10,-9.809988055786039e-11,1.212685320419294e-10,-3.1169835941316954e-11,2.6421326536997344e-11,1.17105505373342e-10,-7.146496620024608e-11,-8.031115981256206e-11,-6.853958053119089e-11,1.3306935558908563e-10,1.7216889455218494e-10,-1.2464821590537737e-10,2.435966179051807e-10,6.609492434409967e-10,5.747982362470551e-10,1.5733078327165452e-10,1.617363761531685e-10,3.354776894738162e-10,5.1095355109751594e-11,3.5829188427381605e-10,5.681953747836359e-10,6.607465365589242e-10,4.641099293747141e-10,2.65345922170405e-10,1.9816691824987156e-10,1.4301013765160825e-10,1.6298087684662688e-10,2.4972002641739745e-10,1.9253371701725662e-10,3.1170577213608265e-12,2.1858277596898955e-10,1.1479371257724132e-10,2.2534641666031132e-10,1.193778799109883e-10,2.0067994598655468e-10,1.5054913482707142e-10,-7.534800696109035e-11,1.523957191413918e-10,2.681907529529252e-10,1.9151057279333467e-10,-2.9004618632767452e-11,3.7113265039511826e-11,-3.227879881853151e-10,1.0188802799921542e-11
35000.0,6.088643618945541e-12,6.810987768452951e-11,1.2300327200828454e-10,4.489753144099251e-11,-5.119128398618735e-11,2.8399780813319074e-11,-5.476199773518687e-11,-3.939625151773286e-11,6.632964476574612e-11,-4.868469145274217e-11,1.6577357989255662e-10,-6.770150105911113e-11,6.351733462613552e-11,1.9665127280070357e-10,1.3161581317994132e-10,8.890180060243348e-11,3.863014433169388e-10,4.987880575873198e-10,4.3089498099497477e-10,3.6925206507394373e-10,5.319722982401409e-10,3.946558257375176e-10,3.6286344994077696e-10,3.354307723331293e-10,-1.637964075343357e-10,-5.186583782704283e-11,5.830436653039754e-11,-8.454768185903272e-11,2.2986581579437244e-11,1.4277378159972564e-11,1.93359228765135e-10,-6.907560617398609e-11,1.6781577669216298e-10,3.2389918681764705e-11,-7.442907398394613e-11,-2.0823299953365296e-10,-1.9135866579578696e-10,-8.573015778698242e-11,1.0211540413947567e-10,6.015548630392796e-11,-2.7999227421916858e-11,-2.2808374597516612e-11,3.17596535434112e-11,-7.757114030352522e-11
40000.0,2.1503943712704366e-10,1.9648977891411598e-10,5.2641345255852844e-11,1.9887793620627527e-11,-2.125546118234735e-10,5.183719060221873e-11,1.840913148425737e-11,6.474207550019067e-11,5.0990695751350565e-11,-8.496246705290689e-11,4.725812704885958e-11,4.512481413373108e-11,-2.6276150131376868e-12,-5.639122228388173e-12,-4.3393974604969473e-11,1.2174669744255822e-10,1.3725323054867576e-10,3.33216776840099e-10,3.4199844081474037e-10,1.7246197374297387e-10,3.922500714081508e-10,1.405843533947397e-10,3.600724398114298e-11,2.3812354010072015e-10,-1.0475426177687417e-10,3.4928790563738524e-11,1.3466867931680879e-12,-1.970401092669004e-10,7.278946030643582e-11,-2.977913371871006e-11,7.133759098034618e-11,-8.297815655911915e-11,1.7207673562734983e-10,-1.1681678799442513e-11,-1.20649017106689e-10,-2.6192643548006046e-10,-1.2708402156352708e-10,-2.177885005400311e-10,-1.0726045994086258e-10,-1.115199416602341e-10,-7.82100590876816e-11,-1.6241300428783004e-10,-8.59045470525713e-11,-1.635101028192307e-10
45000.0,1.6777887147028414e-10,1.6079940670594797e-10,-6.486916716978232e-11,-7.803244823806675e-11,-2.4013710290766007e-10,8.87689677197066e-11,-2.709516099696203e-12,-3.65347353569668e-11,-2.911130601115237e-11,-7.242301141146174e-11,1.1389178419644463e-10,1.2678441356649938e-10,1.0203855025993238e-10,-7.523962503327954e-11,-1.8018319551079448e-10,3.5624741348729316e-11,-3.117454314680277e-10,-1.2281989793447272e-10,1.3932416042841197e-10,-8.837927196143278e-11,-5.0250824311156736e-11,6.351821062430671e-11,-1.2921450411954396e-10,5.022582389730323e-11,-6.538518530734414e-11,1.0629771036163691e-10,-9.224858042737577e-11,-1.463458056530885e-10,-4.932098686636537e-12,-1.9150583980509264e-11,-1.4190229675824183e-11,5.95604549651207e-11,4.128404423050828e-11,-2.015574583427939e-10,-1.1739480223031783e-10,-1.4013645398682216e-10,-1.270509309661244e-10,-2.951818181242256e-10,-1.7708060068300697e-10,-1.948037979243009e-10,-2.0716174270273542e-10,-7.301513699127977e-11,-1.6671520962547413e-10,-4.273828585320819e-10
50000.0,-3.985035208932649e-11,6.484791553321486e-11,-2.40478731110494e-11,-6.51188846487181e-11,-1.75425711792325e-10,5.285224222752427e-11,5.592110732819938e-11,-2.7663774027702614e-11,-6.311539575539862e-11,-1.2461646068846545e-10,4.718692787967457e-11,1.0882741792256401e-10,1.199280723759273e-10,-1.442074675956461e-10,-1.8531557385938982e-10,-8.98492134550183e-11,-3.658832419091755e-10,-3.9162720888317295e-10,2.7639331265471044e-11,-1.2284994723043078e-10,-4.681056070587706e-10,-4.2846770885525644e-11,-1.1443421853984916e-10,-1.7715941979866805e-10,-1.0995015308678987e-10,1.0261392777247465e-10,-1.32484212251932e-10,-1.38344477817029e-11,-4.0272996304946e-11,1.228110725787255e-10,9.7852402327272e-11,5.45856802478289e-11,-1.2829994359854165e-10,-2.4577104833048017e-10,6.559762003373025e-11,-1.8995258297755448e-10,-1.3708459948831662e-10,-2.9293659109241084e-10,-2.67748001855094e-10,-2.903912552038973e-10,-2.068349967563034e-10,-1.6424906158107284e-10,-2.0732891771081314e-10,-3.910585120615247e-10
55000.0,-9.330425772327632e-11,2.146642647374678e-11,2.521393067921675e-11,-2.3792610257618665e-11,-7.76537573134631e-11,1.4048742239724186e-11,1.0190786722392496e-10,6.286208456268045e-11,1.712535946384336e-11,-1.1714604671956913e-10,-3.687593022578498e-12,2.9129626828946234e-11,1.1677861116309183e-10,-2.127711675155754e-10,-1.4242766241765432e-10,-1.8944164498122474e-10,-2.773549205528067e-10,-3.462496540701542e-10,-9.578920568773003e-11,-1.9439568059432403e-10,-5.352613282042335e-10,-1.1813795563605141e-10,-1.6579427521285988e-10,-3.09031492580506e-10,-8.343198829463712e-11,8.439428617542663e-11,-1.6244624113150945e-11,3.987952873973558e-11,-1.7307490761821936e-10,7.497486041187225e-11,2.7839912711802487e-11,-4.875918745188348e-11,-1.804826366777782e-10,-1.10339390774793e-10,-4.2483613917330026e-12,-2.532646205263882e-10,-8.952346711248782e-11,-2.246460311689941e-10,-3.952249359237467e-10,-3.300072927883341e-10,-8.070823691312765e-11,-2.0547053562439826e-10,-1.2725262039317566e-10,-1.5271746926904403e-10
