,2025-12-05 00:00:00,2025-12-05 06:00:00,2025-12-05 12:00:00,2025-12-05 18:00:00,2025-12-06 00:00:00,2025-12-06 06:00:00,2025-12-06 12:00:00,2025-12-06 18:00:00,2025-12-07 00:00:00,2025-12-07 06:00:00,2025-12-07 12:00:00,2025-12-07 18:00:00,2025-12-08 00:00:00,2025-12-08 06:00:00,2025-12-08 12:00:00,2025-12-08 18:00:00,2025-12-09 00:00:00,2025-12-09 06:00:00,2025-12-09 12:00:00,2025-12-09 18:00:00,2025-12-10 00:00:00,2025-12-10 06:00:00,2025-12-10 12:00:00,2025-12-10 18:00:00,2025-12-11 00:00:00,2025-12-11 06:00:00,2025-12-11 12:00:00,2025-12-11 18:00:00,2025-12-12 00:00:00,2025-12-12 06:00:00,2025-12-12 12:00:00,2025-12-12 18:00:00,2025-12-13 00:00:00,2025-12-13 06:00:00,2025-12-13 12:00:00,2025-12-13 18:00:00,2025-12-14 00:00:00,2025-12-14 06:00:00,2025-12-14 12:00:00,2025-12-14 18:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,2025-12-15 12:00:00,2025-12-15 18:00:00
10000.0,-1.0801680456145682e-10,1.3693011374596957e-11,-9.094524215133945e-12,-8.98075262221557e-12,8.028594026392965e-13,3.784868566493782e-11,-1.6345008521637518e-11,3.660201244540707e-11,8.039066911713847e-11,-1.3254383946400713e-11,-1.4630303134708612e-10,-1.4492872726717466e-10,-1.0782292862620928e-10,-7.596081573267952e-11,-1.317983444340978e-10,-1.380283988523917e-10,-1.341797304748936e-10,-1.3867685010485102e-10,-1.5968208745230493e-10,-1.361489017625597e-10,-5.904444705337101e-11,-2.3365207006206716e-11,-2.759396689747927e-11,-8.86804047424881e-12,2.1752993370300476e-11,4.513711515716897e-11,-1.9616644020703843e-11,5.2398824173770834e-11,8.413154560723784e-11,5.604174884291929e-11,4.940409536473574e-11,5.225256431833787e-11,1.9969114807770473e-11,2.2490049474746594e-11,-5.7810618278936715e-12,-2.0979727058336424e-11,-1.8884420305140142e-11,-3.538906115140553e-11,-1.917369634214892e-11,-1.8374151092265754e-11,9.258272502125176e-12,-2.6087793005221177e-11,2.727321224395731e-11,3.411186416557573e-11
15000.0,-1.2660159564968976e-10,-2.169586240349534e-11,-9.59484936114768e-12,2.944615332911519e-11,-1.8760734479802048e-11,2.7818496713128008e-11,-6.036014764255652e-11,-4.8424924150108425e-11,-4.017938717838762e-11,-4.4036656878907414e-11,-6.891073559345414e-11,-4.374110491032779e-12,-4.004465278358946e-12,-1.7056113496540045e-11,-7.091099076569256e-11,-1.1817770424143507e-10,-1.5382278856281876e-11,1.639014714728113e-11,-1.1279163866436086e-11,6.238425779172029e-11,1.9716257733061326e-10,2.091483955068361e-10,1.6469923700035683e-10,1.0768456005098797e-10,1.0415980294497193e-10,7.033834375115814e-11,9.325317264528071e-11,1.159453441301097e-10,1.330727831444965e-10,1.164459971449563e-10,9.6876061432547e-11,8.621059887568346e-11,9.9465022909392e-11,6.957176170695574e-11,4.25946156751757e-11,4.0291823420617325e-11,3.256134187373887e-11,2.3947084285075528e-11,3.559175808872345e-11,-1.955430172192786e-11,3.0770784405260424e-11,4.6726159934269304e-11,7.310291202766926e-11,7.803418296186708e-11
20000.0,-1.69070403434143e-10,-9.421788916598634e-11,-7.583253807643227e-11,-9.299696510594336e-12,-4.816820345011081e-11,-3.748860524790045e-11,-9.418206195732007e-11,-4.625415923310981e-11,-4.457640007159391e-11,-8.299024519097523e-11,-9.501182320349005e-11,-4.128142069822594e-11,-2.845376818524766e-11,1.523407047255632e-11,-1.1893512848293866e-11,-8.950372579841362e-11,3.421527476079678e-11,5.3630102518522724e-11,-1.6058565732754488e-11,4.0257582209162995e-11,1.9451298813254127e-10,2.4528768836224627e-10,2.384280548572658e-10,1.6038910200272658e-10,1.5084985148107441e-10,1.1740675265653754e-10,1.3081818785708514e-10,1.6429639271822314e-10,1.8113650726756689e-10,1.535769842096436e-10,1.7387449527877194e-10,1.5914018280452666e-10,1.4898593264686788e-10,1.5986888075427393e-10,1.3405545781880836e-10,1.2341734456520294e-10,9.192359716295536e-11,9.953417378666495e-11,9.005999730862627e-11,8.903460852552749e-11,5.730492452145596e-11,8.829174187455914e-11,8.744249573994389e-11,2.5326408271759135e-11
25000.0,-1.4482823779289686e-10,-1.1503276603020514e-10,-9.254249088667986e-11,-9.218561388440908e-12,-4.853975663777432e-11,-5.273077453083688e-11,-7.830048879591691e-11,-5.115629946647051e-11,-6.366690872600257e-11,-1.2590920872280592e-10,-1.2600890121483955e-10,-8.016898659328869e-11,-5.815154691220066e-11,-1.3999399643854585e-11,-4.793677881825395e-11,-1.1116368861585895e-10,1.2898249467878867e-11,-8.401778586677333e-12,-4.7458105320070257e-11,-2.3298358761890925e-11,1.314507728744562e-10,1.5093932686743195e-10,1.6313755810943774e-10,1.0130286984123822e-10,8.069358874962365e-11,9.964888351853717e-11,9.116690416948079e-11,1.5221675319161582e-10,1.6958661666258167e-10,1.6650118365826918e-10,1.7192977271353803e-10,1.906070291766678e-10,1.6147209877729482e-10,1.7481078956181784e-10,1.4713439845251397e-10,1.2946375293982716e-10,1.1963333579883238e-10,1.274338659123662e-10,1.4903173181756045e-10,8.790499446785564e-11,8.070253237160632e-11,4.93564537652966e-11,6.201546253496217e-11,-2.8965120944431185e-11
30000.0,-1.4183920939706805e-10,-1.1872120759893233e-10,-1.106978795735359e-10,-1.6357650207643775e-11,-4.987392042136264e-12,-2.6773752596386204e-12,-1.4172007746425355e-11,2.6997250532273847e-11,-1.9221714470183613e-11,-7.521178401056536e-11,-1.330221885067637e-10,-1.2298521390105123e-10,-1.0679282320132743e-10,-2.148994917930519e-11,-8.081149078146044e-11,-1.3056742359319302e-10,-1.7117640161322553e-11,-4.781346057455479e-11,-7.01706845365701e-11,-6.178047587501017e-11,9.902207167613026e-11,1.0071556373786321e-10,1.1398542143694435e-10,6.579578970624191e-11,5.447061754011793e-11,8.279359331471033e-11,7.732244352440029e-11,1.2091657211432853e-10,1.4651551702437558e-10,1.5302984412913223e-10,1.4328606598802984e-10,1.7614029783438234e-10,1.3850820848388532e-10,1.5522688592385085e-10,1.1252897428268445e-10,9.795539504132494e-11,9.104808110373579e-11,8.795995880040625e-11,1.1040387143344486e-10,5.114534377266548e-11,5.6449667598405304e-11,4.227706645301795e-11,6.520878352360941e-11,-7.737886941362844e-11
35000.0,-1.0066446478732069e-10,-6.437050678616702e-11,-5.4550701807377966e-11,-1.0135868504857601e-12,-8.208173007302948e-12,1.536751557502632e-11,3.3976606054038553e-11,6.466778640817617e-11,2.9105053275740454e-11,-1.7005021503363617e-11,-4.0708677583355207e-11,-4.698870576413513e-11,-6.57029993410048e-11,-1.3196334124078593e-11,-6.835100668306565e-11,-1.0848392442164111e-10,-3.644525859429874e-11,-7.350915160636809e-11,-9.233981707341381e-11,-6.807137563966152e-11,9.715839198749182e-11,8.578250484836266e-11,9.042440756872685e-11,5.841613770227365e-11,5.0828943089438107e-11,7.042960257573515e-11,6.09503480086967e-11,1.0859233701648396e-10,1.2973742833183679e-10,1.4407022689588537e-10,1.3442125425790995e-10,1.478124057853464e-10,1.1882907355871673e-10,1.2798963672408166e-10,8.660533502751574e-11,7.440704910992078e-11,6.037410484581462e-11,4.246572213381378e-11,5.045794267098484e-11,2.6920045544395407e-11,3.6415861836244176e-11,4.341680762796641e-11,4.3948773054106766e-11,-8.515454692812928e-11
40000.0,-9.283276660799217e-11,-4.8153358158846624e-11,-3.395533238468479e-11,1.8614525845600335e-12,2.6137568329835278e-12,3.1016135794204875e-11,5.72930156617531e-11,8.999165811289926e-11,4.9824442732610224e-11,-7.203197965574347e-12,6.2864799901786944e-12,1.854461460034872e-11,1.0206390202551824e-12,-6.922813348387346e-12,-2.5721540671718307e-11,-3.557873014826083e-11,-9.447073908147824e-12,-4.839563184203202e-11,-5.977634366308468e-11,-3.56934377980422e-11,1.0727362582349377e-10,8.441922846221018e-11,7.94597197276221e-11,4.9261698984128515e-11,3.890860551524185e-11,5.067395757557441e-11,5.260140266992778e-11,1.0446316196095654e-10,1.1955453916199617e-10,1.403859159717047e-10,1.1996780102538092e-10,1.233163728910399e-10,1.0263352363863448e-10,1.031289027611185e-10,6.404982392559712e-11,4.1647683813600724e-11,2.7973601830168937e-11,1.537207360716126e-11,2.784659887461779e-11,4.3046593198852995e-12,1.997167355092719e-11,2.027530696868138e-11,2.5824595856448454e-11,-5.861590084004278e-11
45000.0,-8.349445806282305e-11,-3.958407132607397e-11,-3.6469634033933624e-11,1.491248954883032e-11,2.5880938592419944e-11,2.499714117014667e-11,5.082204272418023e-11,1.0953204482996683e-10,6.831708780749751e-11,8.837105008588322e-12,1.799416894198284e-11,4.323511894401794e-11,3.100923962032564e-11,7.983923964412493e-12,1.7336307523986538e-11,2.531810314184684e-11,2.5511664286116803e-11,-2.596520102541166e-11,-2.850676122870701e-11,-8.745721982456546e-12,1.1428265705824464e-10,8.932811816087421e-11,7.533749925605636e-11,3.8974175818805805e-11,2.3412223081748477e-11,4.3578025106685965e-11,4.5926122232819225e-11,1.0106372801693387e-10,1.0845918791860884e-10,1.3058449963472892e-10,1.1250624503155581e-10,1.0386180291825966e-10,8.738819615724135e-11,8.172665024275636e-11,4.577171181069388e-11,1.1628446321766545e-11,1.1008136843300312e-11,2.987217151683251e-12,1.3230181159423744e-11,-1.2132736840567145e-11,4.3328678889275185e-12,-9.01245726418417e-12,8.463915963761388e-12,-6.112851844733355e-11
50000.0,-7.319271177429773e-11,-3.984157372579229e-11,-4.1682164373033654e-11,2.0446153328377246e-11,3.3645237609602816e-11,1.7341089704659923e-11,3.746551141057319e-11,8.931653850169391e-11,6.666695079684972e-11,2.586451264298026e-11,3.78771313427827e-11,5.442905079108722e-11,5.404027527485227e-11,3.321815287242479e-11,4.896015407266915e-11,5.1830514090547555e-11,3.0865030212821034e-11,-2.1374234263892918e-11,-4.1300316349028514e-11,-5.716154649787015e-12,1.1267517202509681e-10,9.28548673410318e-11,7.616221669984863e-11,3.193252782384057e-11,9.071169033435486e-12,3.838548459140958e-11,3.612394119853351e-11,9.092158217144611e-11,9.776160082881144e-11,1.2550762164565927e-10,1.153633499170769e-10,9.099950321851367e-11,8.02706434459722e-11,5.793727861021958e-11,3.2741462730217304e-11,5.430718518667153e-12,-1.4496545943177668e-12,-1.3701046216127576e-11,4.797594709082381e-13,-2.336979798122621e-11,-2.5679223904145067e-11,-3.4529392958910315e-11,-6.770123476304645e-12,-7.971606600153659e-11
55000.0,-6.643011785048771e-11,-3.2834408165279995e-11,-3.653288532764839e-11,2.539412773857511e-11,5.20621044829455e-11,2.8237131430383322e-11,3.192167437140736e-11,6.726647555850483e-11,7.249402864809282e-11,4.5790862432280347e-11,5.219482853135417e-11,5.831941703932942e-11,8.395772845862601e-11,4.879887006356301e-11,6.317107760691303e-11,5.645357112574866e-11,2.2778632935481312e-11,-1.2966024492779987e-11,-3.225233588347198e-11,6.47725634514707e-12,1.2151643382951764e-10,9.817178183610908e-11,6.942382212465886e-11,2.073405073725817e-11,1.5825964695673709e-12,3.525438172593786e-11,3.3788971420233705e-11,6.866488061577477e-11,9.959107506954616e-11,1.232530920494856e-10,1.1212825098683476e-10,8.563928636511653e-11,7.916729591146959e-11,4.057057205276886e-11,3.482967882832336e-11,2.5428775940138183e-12,-9.647564702080676e-12,-2.2147571409284152e-11,-1.6057354187767496e-11,-3.5752755089523845e-11,-4.831079932644405e-11,-5.237429419389387e-11,-2.8325125177977655e-11,-8.720629003392421e-11
60000.0,-6.123143012256264e-11,-1.7323624023150277e-11,-2.2446094148462268e-11,2.5093509755758908e-11,5.8086899201130184e-11,3.951338944519429e-11,3.984637416788039e-11,7.036572326088923e-11,7.551663283648046e-11,5.931589214822803e-11,5.927405060972435e-11,6.88892101229174e-11,8.739496301286913e-11,5.873477026402754e-11,7.064955201946688e-11,6.488114544809664e-11,1.3040083684865481e-11,-2.703542533087764e-12,-1.7747642591776335e-11,1.8394201221756594e-11,1.3132752664900682e-10,1.0518969223361257e-10,5.865405386163e-11,1.4841353078656743e-11,-9.244289381557732e-13,2.4404025798722657e-11,3.077791203417514e-11,5.3065195657440555e-11,9.691970553210936e-11,1.2275557522729937e-10,1.0634467169509006e-10,8.501582514821564e-11,7.548703140296036e-11,3.2460391026632866e-11,3.718772659476494e-11,-7.453538979509263e-12,-1.041267254166972e-11,-2.63063734515898e-11,-2.9717191059921224e-11,-4.453642177760315e-11,-5.214013133548786e-11,-6.216143511338191e-11,-4.611830021261275e-11,-8.684039076975621e-11
65000.0,-4.439164263778499e-11,-3.406805562942532e-12,-1.4712551612026702e-11,2.439387664081211e-11,5.351270796595355e-11,5.100576302857626e-11,3.604108192905279e-11,5.991854323453122e-11,5.961898460777794e-11,6.399318609254964e-11,5.933630740836147e-11,7.724076736015896e-11,6.348550580600327e-11,6.566512192728496e-11,7.491100136691467e-11,7.431789719776435e-11,5.189848503889394e-12,6.890539253224742e-12,3.6362563505925675e-12,2.3445124992766248e-11,1.3489481687825297e-10,1.1059003389891361e-10,5.5228678778050064e-11,1.307629045694881e-11,-1.3459526274986284e-11,1.7367038692163634e-11,2.134046168053526e-11,5.042619805418679e-11,8.271985619611083e-11,1.2563778183919448e-10,9.797020927971597e-11,8.6030303755001e-11,7.101781964073811e-11,2.824404823211007e-11,3.714111178959834e-11,-8.628980797127517e-12,-1.4094808127705925e-11,-3.3172727650136016e-11,-3.7525342579760866e-11,-4.696388553613017e-11,-5.606040266657535e-11,-6.449224461884405e-11,-5.2114590272150217e-11,-8.192320108845619e-11
