time;Lat;Lon;length;width;min_zeta_850;min_hgt_850;max_wind_850
2004-03-20 00Z;-25.0034;-45.8102;5.478400000000001;4.629599999999996;-7.871217688860113e-05;1486.33837890625;6.183279037475586
2004-03-20 06Z;-24.6562;-44.4599;8.024699999999996;5.6327;-0.00014275191330750147;1456.970458984375;11.429784774780273
2004-03-20 12Z;-25.2349;-43.7269;8.564799999999998;5.864199999999997;-0.0005275294630740351;1473.2860107421875;15.125617980957031
2004-03-20 18Z;-25.2349;-43.3796;8.487699999999997;6.944400000000002;-0.0005010436543425657;1454.523193359375;20.0399169921875
2004-03-21 00Z;-25.775;-42.5694;7.947499999999998;7.253100000000003;-0.0009438015175497212;1429.2342529296875;22.311960220336914
2004-03-21 06Z;-27.4339;-42.0679;10.339500000000001;8.410499999999999;-0.0005504377946595196;1405.5767822265625;19.85175323486328
2004-03-21 12Z;-28.0512;-40.5633;11.342600000000001;10.262299999999996;-0.0004126742046647847;1407.2083740234375;23.7457218170166
2004-03-21 18Z;-29.9802;-39.6373;12.268499999999996;12.268500000000003;-0.0004166103532402132;1396.603271484375;23.264890670776367
2004-03-22 00Z;-30.7518;-38.1327;11.882700000000003;9.953699999999998;-0.0003573570427873659;1407.2083740234375;21.953908920288086
2004-03-22 06Z;-30.5204;-36.7824;10.262300000000003;5.787000000000006;-0.00021518202974247992;1405.5767822265625;22.25261688232422
2004-03-22 12Z;-30.829;-36.088;7.021600000000003;5.6327;-0.0002361907882589258;1434.12890625;19.209915161132812
2004-03-22 18Z;-30.1345;-35.2778;8.950600000000001;6.558599999999998;-0.0002157647097248695;1439.0234375;14.755455017089844
2004-03-23 00Z;-29.2858;-35.8179;7.716000000000001;7.330200000000005;-0.0002248540832239653;1461.8651123046875;16.493680953979492
2004-03-23 06Z;-28.9;-35.625;7.947500000000002;7.175899999999999;-0.000243778705112762;1451.2601318359375;16.43840789794922
2004-03-23 12Z;-28.9386;-36.6667;6.944400000000002;7.561700000000002;-0.00026080444947832875;1469.2071533203125;16.437427520751953
2004-03-23 18Z;-29.1315;-37.7855;5.6327;5.0154;-0.00026806044708909185;1454.523193359375;16.753442764282227
2004-03-24 00Z;-28.3599;-37.5926;7.561699999999998;7.6388999999999925;-0.0002524430826570436;1468.391357421875;16.555749893188477
2004-03-24 06Z;-28.9771;-38.4799;5.786999999999999;5.6327;-0.00025123086766989727;1451.2601318359375;15.405655860900879
2004-03-24 12Z;-28.437;-38.6728;8.796299999999999;9.6451;-0.0002604324659666959;1460.233642578125;15.652745246887207
2004-03-24 18Z;-28.9771;-39.8302;6.327200000000001;6.095699999999994;-0.00027292100904376495;1457.7862548828125;15.101984977722168
2004-03-25 00Z;-28.7071;-39.8688;6.095700000000001;6.944400000000002;-0.000256198269824377;1466.759765625;15.57791519165039
2004-03-25 06Z;-27.8583;-40.216;6.172800000000002;5.709900000000005;-0.00024199917191102064;1456.970458984375;15.6919584274292
2004-03-25 12Z;-27.9741;-40.1389;8.333299999999998;7.6388999999999925;-0.00024297558499345996;1470.0228271484375;16.615474700927734
2004-03-25 18Z;-28.0898;-41.2191;6.635799999999996;7.253100000000003;-0.00022787275131360768;1468.391357421875;15.76164436340332
2004-03-26 00Z;-27.3182;-41.6435;9.336399999999998;7.715999999999994;-0.00022911470823895985;1479.8121337890625;17.510156631469727
2004-03-26 06Z;-27.4725;-42.6466;7.6389;7.715999999999994;-0.0002397281023896124;1466.759765625;17.49295997619629
2004-03-26 12Z;-27.8969;-43.4954;7.947499999999998;8.1019;-0.00024981066368616033;1469.2071533203125;16.060609817504883
2004-03-26 18Z;-28.2055;-44.1898;7.175899999999999;6.8673;-0.0002524732895023224;1459.4178466796875;14.03348159790039
2004-03-27 00Z;-27.9355;-44.9614;6.8673;6.018500000000003;-0.00026733881499530865;1462.680908203125;15.920242309570312
2004-03-27 06Z;-28.6685;-45.5787;5.169800000000002;6.095699999999994;-0.00028806558180586347;1452.0758056640625;15.922123908996582
2004-03-27 12Z;-28.5913;-46.0031;5.246900000000004;6.404300000000006;-0.0003057898027308127;1465.128173828125;15.169286727905273
2004-03-27 18Z;-28.7842;-46.6204;4.629599999999996;4.938299999999998;-0.0003357543590637534;1455.3389892578125;16.14844512939453
2004-03-28 00Z;-29.3244;-47.8549;4.320999999999998;4.166700000000006;-0.0004193753783931895;1455.3389892578125;17.869611740112305
2004-03-28 06Z;-29.3244;-48.8966;3.935200000000002;3.5494000000000057;-0.00044689820927031726;1450.4443359375;18.308639526367188
2004-03-28 12Z;-29.633;-50.0154;3.5493999999999986;2.623500000000007;-0.00034919898513700024;1483.0751953125;19.95894432067871
2004-03-28 18Z;-27.8583;-50.2855;3.472200000000001;4.320999999999998;-0.0002598101159513363;1474.1016845703125;12.94672966003418
