,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,-1.232904015588916e-05,-3.35219588909245e-05,-1.3913409123321879e-05,7.421226232275411e-06,-2.6048857105611723e-05,-3.116441953320945e-06,1.7699556412366808e-05,7.730708667983304e-07,-1.1662119529964276e-05,2.14908222354285e-05,3.487261093259213e-05,1.1358510410938279e-05,3.0470680112322947e-06,1.2077276286413464e-05,5.230990639673199e-06,2.9832473761126804e-06,-3.6024928739901077e-07,-3.6043361956633984e-06,-4.587714388888858e-06,-4.557183608678432e-06,1.1603612912790669e-06,-1.6170042404977992e-06,1.2263194849538603e-06,4.14824828482067e-06,4.068844119663637e-06,-1.7494602202710915e-06,1.5077631742089068e-05,1.1045024019395526e-05,1.7331362856887115e-06,-3.700742505498924e-07,7.5494135234176e-06,-9.578227907146338e-06,1.2144827508545e-06,2.579112168295204e-06,1.2688412138622507e-05,1.9150661292031034e-05
15000.0,0.00011323235223193476,0.00011780735090694077,0.0001003983117501013,9.564857108906427e-05,0.00010960083021498089,0.00011260995808040221,9.820883159017756e-05,9.649310086949326e-05,0.00011660552062679375,0.00013963313911167762,0.00012899216430476275,9.404719343579806e-05,5.7703709474655335e-05,1.7988241009977012e-05,1.2626954954599149e-05,1.8975038639249595e-06,2.1004600783180726e-06,3.0039301295200664e-05,1.1627873676617927e-05,-3.30614771480392e-06,-3.7954205471788284e-06,9.73238971307167e-06,1.5257586406943655e-05,-5.701861529477779e-06,-3.6745660606844264e-06,1.8504269337183657e-05,1.2686897172426611e-05,9.12037462672433e-06,1.0605266412578654e-05,-7.807901043966973e-06,6.026721674132505e-06,-8.955923041932643e-07,3.897212082702981e-06,4.0396606970924506e-07,-4.652098016273894e-05,-1.821086273653252e-05
20000.0,-2.9000351682692628e-05,4.8651439516953416e-05,8.292860750386455e-05,9.051907178061181e-05,0.0001058622210038926,9.980380973480412e-05,8.146779225238397e-05,0.00010287427547493985,0.00011490201274793356,0.00019084939396726925,0.0001541752321433366,0.0001246047124684606,8.683921312277439e-05,8.389520865462789e-05,2.4842749554315517e-05,2.271489644120684e-05,5.2080740149749164e-05,5.9681804020811944e-05,1.4186784852900555e-06,1.9459442978492508e-08,1.3470294135361573e-05,4.752049049539156e-06,1.2027295113939969e-05,2.072973800367145e-05,2.243117267867587e-05,1.6774617534179645e-06,-1.5878582400973434e-06,3.896968644257764e-06,1.4385651664474223e-05,1.407199870836975e-05,1.75295033887675e-05,2.7760874813092797e-05,-8.384765848671765e-06,-5.4647637875733937e-05,-2.7258202575240777e-05,-3.5012992673799717e-07
25000.0,4.160143630546518e-05,5.29385241114145e-05,3.85306084301968e-05,5.775080711541156e-05,5.476602739474614e-05,5.538876783632155e-05,5.171646328884925e-05,5.113640105515068e-05,5.695618208846252e-05,6.082524734164069e-05,3.823735301197443e-05,9.702875201160652e-06,5.11931536092736e-06,2.9198198910120814e-05,6.4026439905032265e-06,1.822824927556504e-05,3.124901014777724e-05,1.1967866206803978e-05,2.302079893510425e-05,-6.711055039835289e-07,1.1292035972117188e-05,-1.861447340819031e-05,8.355724981027702e-06,7.3371601319897895e-06,-5.748846925568741e-06,-5.9477934525483e-07,2.2478328426658685e-06,9.060631195908515e-06,2.8474825816770638e-05,1.673350117864798e-05,6.120415988078372e-07,3.390647392569062e-05,1.8029282581413255e-05,-1.4642630209910888e-05,-1.7294430540304765e-06,-2.4949810608151923e-06
30000.0,6.420247411452277e-05,3.9269869071601765e-05,8.899070606748869e-06,-1.1412359740571325e-05,4.080722250920945e-05,-3.6263149635416815e-06,2.981022667020251e-06,1.2029073586430524e-05,-6.703531527341286e-06,-1.2886433863438183e-05,3.179840350977888e-06,-5.222104558054789e-05,-1.0052457191502941e-05,-1.0128275318999917e-06,8.961690334908542e-06,4.705710176432373e-06,2.2101704398855455e-05,-1.8155299740848586e-06,2.5447520697711763e-05,-1.333351867614065e-05,-8.550448478872306e-06,-1.927084518123715e-05,-1.11118413054447e-05,-8.688446354565234e-06,-6.645157084871284e-06,4.874585575786856e-08,5.66932799198784e-06,-5.505846916093481e-07,1.5784416863159818e-06,3.606932938350108e-06,3.762404633979098e-06,1.609059646014464e-05,9.954395137407401e-06,-2.2992946279442213e-06,1.8558871913272025e-05,4.6447792391206726e-07
40000.0,3.931566018517036e-05,1.7743818296081614e-05,-7.3992808432323866e-06,-1.7362773811958256e-06,-4.972271075627874e-06,-2.3393769469325545e-05,-9.491999425922197e-06,-2.1570360489302653e-05,-3.730166521286262e-05,-8.749451223908985e-05,-5.212623128696298e-05,-3.148192519130717e-05,-2.2646630660334863e-06,-8.45657121156695e-06,1.8423721982612456e-06,1.6692491546945152e-06,2.081624632305456e-05,-8.097735825823692e-06,-4.7169005649397666e-06,-1.3288820457972294e-05,-1.1044656530504606e-05,-7.737211527518638e-06,3.098227879376775e-06,2.6896238898083987e-06,2.0941982649361174e-06,-3.4314563093088603e-06,-5.2699949938468105e-06,-1.1239723481831024e-05,-8.573660128084725e-06,-5.825406963806421e-06,-1.2767032214161733e-05,-6.431208117515756e-06,-1.6646023718924617e-05,-7.69588124184267e-06,5.451249140705588e-06,-1.3020749668641155e-06
50000.0,3.170884698131313e-05,2.7485705512124188e-05,1.3179271025492739e-05,-1.0108665776571513e-05,-1.116906136901368e-05,-1.9315325036140344e-05,-9.17371651833735e-06,-1.0849005591329944e-05,-2.4064875037057806e-05,-1.803426758418648e-05,-2.5328230173192472e-05,-1.059749059010025e-05,1.022172459134195e-06,6.254539434051321e-06,1.572026163181366e-06,-8.43043144531129e-06,-2.1669244373173396e-06,-6.650205150025219e-06,-1.3399645560751145e-06,-1.8680642134102674e-06,-6.994046528581434e-06,-3.525356534410195e-06,2.9816118162451416e-06,4.641783025593129e-06,-1.1642020251046457e-06,1.4370224394659996e-06,-1.694398042491407e-06,2.116455755173468e-06,-5.307471924903843e-06,-3.1163682503727285e-06,-3.1634260008991686e-06,-9.275410896902154e-06,-9.106870813088402e-06,-1.5107982300068172e-05,-3.581366246499021e-05,-9.823329103520158e-06
60000.0,8.819201356043912e-06,2.5058706961012873e-05,2.6273320587863064e-05,4.45725957467681e-06,-4.551234651149003e-06,6.299275398754155e-06,-1.447290451341689e-06,8.770657504258556e-06,-3.9710428324912386e-06,-1.582221758978261e-05,-8.323235577770502e-06,1.757392552222726e-06,-9.855195474983108e-06,4.870108460851098e-06,2.8983603572805963e-06,-4.866316268428192e-06,-1.788181498335092e-06,-1.4379603180542396e-06,8.0064743722924e-06,5.2830736146599e-06,-4.914990341312517e-06,-2.881201756671657e-06,-2.907778743467918e-06,2.035811980542794e-06,3.2816309088985016e-06,3.030951705175103e-06,3.5752832531830616e-06,-9.789650399641787e-07,-9.180099157156445e-07,2.115158708802199e-06,-1.2704997642888509e-06,-4.924552071181718e-06,-3.2398699973900506e-06,-2.6633792638433493e-05,-5.795389394171723e-05,-2.265436012551958e-06
70000.0,6.6862415124740575e-06,2.2021840237116478e-05,2.2276177124872174e-05,2.132099847334562e-05,3.2152012313225273e-06,8.739921073477946e-06,2.918517407320237e-06,3.970459762099803e-06,-5.896779592862987e-06,-2.809769928931892e-05,-1.9125339685129746e-05,-5.657291984194478e-06,-4.519809689647906e-06,-2.5434449795829783e-06,3.385259516790129e-06,-1.5063030825757203e-06,3.0260394814931242e-06,2.529198116627705e-06,5.971063912269814e-06,1.1674898849025818e-06,-8.129642881521323e-06,-1.4856800141544884e-06,-8.416821161751634e-07,2.94377926852111e-06,3.846494301304632e-06,1.7542254798066518e-06,2.3454857959259545e-06,2.5850598353888763e-06,5.498948269327932e-08,3.0049394631193934e-06,-3.603738367839155e-07,-2.1397158254961823e-06,5.8142180082583995e-06,-1.522736447507549e-05,-6.613189410833938e-05,1.1065031564397409e-05
85000.0,8.657532778290988e-06,1.4767517669629557e-05,1.6529422287410054e-05,1.0007465891120529e-05,-6.935544791914111e-06,-1.931216430064305e-06,-1.974982072377944e-06,-1.1444428832305135e-05,-1.7486440077308763e-05,-3.293693478817319e-05,-1.8781122394431194e-05,-2.1336268200947034e-05,2.4408334009123333e-06,1.1627586785603735e-05,6.082230445544982e-06,-2.159413392037436e-06,1.7794601201967099e-06,2.176799425094373e-06,2.1151315321047606e-07,4.118902407718716e-06,2.0587861875795125e-06,1.5114232884795456e-06,1.1683589622602057e-06,-6.380392358760113e-07,-1.9760733705336488e-07,-3.41388506952681e-07,-1.0311884385947147e-06,3.0974719282467905e-06,2.5010847050418023e-06,4.064251347929684e-06,6.570867039520622e-06,1.99404901478679e-06,1.0332774187004787e-05,6.95810371905273e-06,-2.424716646528867e-05,1.826695987071073e-05
