,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,2.436742812486907e-05,-2.9283574248701234e-05,-3.7083553437005808e-06,3.3491899473667615e-05,-2.815137620690101e-06,1.2726399062608907e-05,1.4895618174462844e-05,3.101052983200664e-05,-1.228466625151852e-05,1.551001153800377e-05,4.596653303088097e-05,-2.3824877689960033e-06,-1.2788091289072425e-05,1.3708891585286999e-05,-4.292355414868393e-06,1.3486776536824898e-05,-1.892268188352273e-05,-9.711250008178933e-07,1.0231394222308552e-05,5.8893196294634766e-06,1.5031747040284417e-05,-6.5665487050523616e-06,1.6253539730622163e-05,2.3398153437314583e-05,-2.9609258962102283e-06,2.5117498470606775e-05,1.963747555676792e-05,3.8165474421083546e-05,-6.936130637324719e-06,-2.302923518283221e-06,1.0508546839460873e-05,1.6988672547727993e-05,2.1144660618505557e-05,-4.5684418702225586e-05,6.967809886452107e-05,2.2295644391515878e-05
15000.0,1.5111769679996863e-05,8.497301081729612e-05,3.469481501307102e-05,4.144321030389345e-05,2.839098134202467e-05,6.1006500260810104e-05,3.90503086615957e-05,4.222033725422799e-05,2.00105603840805e-05,3.981224640849369e-05,5.505782610557173e-05,6.910448111406754e-05,5.278138296174669e-06,2.1013154693214283e-05,2.0146527334587425e-05,1.9963009649250557e-05,-4.374120884418897e-06,1.3062286136029787e-05,-3.1949189272952416e-06,5.090283426814597e-06,1.2881060288521379e-05,-1.8791105282397643e-06,7.724458500521371e-06,8.672622955551187e-06,-6.389425696487422e-06,1.1083321326608529e-05,1.2556497229024987e-05,2.2498464410716864e-05,5.778829943776775e-07,1.4995100573442672e-05,7.687699645501795e-06,4.059403552705051e-05,-1.899453285992639e-05,2.180922468156496e-05,5.906726247831655e-06,-3.4699070448626995e-05
20000.0,-3.840141298176539e-05,0.00021925567421584942,8.178653542617324e-05,8.400586756531301e-05,6.86597377304776e-05,9.272696084310764e-05,0.00010329482580123606,0.0001666746378417346,0.0001732091593573529,0.000118590496331477,0.00010364596549767251,0.00017104432836789247,6.928901240740627e-05,4.671052754264111e-05,4.4133273733114455e-05,2.702754156701453e-05,5.175024922266727e-05,3.24510950419007e-05,2.6218855630420494e-05,3.2594151013865716e-06,-8.219192556808906e-06,1.0303031813293815e-05,2.862490242214265e-05,1.0552182459280723e-05,1.9942434914385685e-06,5.073599352062662e-06,3.520368072127962e-06,1.0229716451364866e-06,-1.0804997397856585e-05,2.5561928916781096e-05,9.895829866722743e-06,8.96370910473455e-06,-3.3261732945950466e-05,5.756286352703869e-06,-6.174819993769001e-05,2.0691571054443555e-05
25000.0,0.00019201970104639084,0.000473012245479903,0.0003566682856335522,0.00029534033210322995,0.00019980829427911423,0.00017448365029937518,0.0002093425891419232,0.0002824598420757409,0.0003016532710034804,0.00021085663691360648,7.088294228304277e-05,0.00018867853488786982,6.523697802641627e-05,5.6102495276340406e-05,4.588946633473117e-05,6.61498074210117e-05,6.658469516550961e-05,7.144412634192515e-05,3.23797498605937e-05,-3.758783419964257e-05,-2.2072145696345655e-05,-6.73854832876503e-05,1.0698419049986172e-06,-5.08583314661039e-07,1.1209779402229228e-05,5.093976867945612e-06,1.7396232645207746e-05,1.5436304036485206e-05,-3.129187464604516e-05,6.20405658534057e-05,8.623232100489424e-05,6.748885788645358e-05,3.9084541824436596e-05,-1.1830897779076243e-05,-8.302210044396135e-05,7.368437931708147e-05
30000.0,0.00034941017964635707,0.0005674565124216554,0.0005174155047953487,0.00039603127596560196,0.00029759838963500334,0.0002170150269130883,0.00023644295151998467,0.00030419871129636647,0.0002683752008448218,0.00014140543945252392,1.7107388641484206e-05,5.21194258779765e-05,2.8059115039160235e-05,2.5660314461118127e-05,2.2605529611286614e-05,0.00011085801282788017,4.7040137223553847e-05,0.0001492426824027669,3.5222795727015323e-06,-5.723043163184875e-05,-3.3007029319608005e-05,-0.00012229381434114854,-3.9261060182989596e-05,1.8160114061299457e-05,2.974075896108731e-05,-8.45616102061496e-06,6.459523165765031e-05,6.203006837111411e-05,-7.273791025882374e-05,0.00014009602438858833,0.00019277032432996448,0.0001564132437695424,0.0002145108922443733,0.0001332441053305468,2.9003790856079653e-05,7.617904398463953e-05
40000.0,0.00033099840625597595,0.0004315584767935251,0.00046101120697245105,0.0004595311691604963,0.0002821659905702281,0.0001728464243877851,0.00020568339760669287,0.00022576565179127986,0.000157785955804032,-1.4980535829331564e-06,-1.4784714397771398e-05,-1.9083878771386032e-05,3.859773143886625e-06,1.9681358220744602e-05,2.2707957722688998e-05,7.33150222403877e-05,1.5540164325333692e-05,0.00014870352706895709,-1.8662929351144007e-05,-2.3262669764635617e-05,-6.17340012813175e-05,-5.877270743531568e-05,-2.3037926820955137e-05,2.816775705264465e-05,1.629722332516459e-05,-3.8977168647636664e-06,6.009150174198867e-05,2.5892006654419388e-05,-8.462338245163764e-05,0.00017416030974206097,9.73967501153588e-05,0.0001145994316093341,0.00020105507437884673,0.0001856487347052101,0.0001525386107400117,0.00011467257460279849
50000.0,0.00024906933224085677,0.00027743402747246117,0.0003528600036227541,0.0003854115695692979,0.00018541510098004868,0.000121387160347192,0.00016770984492257718,0.00016604289746664343,8.74483332716113e-05,-2.107064000610613e-05,-4.683467732447202e-05,-3.8341459493494175e-05,2.449162433027986e-06,2.3115038710054864e-05,5.816831089980095e-05,6.67316616145571e-05,-5.988732898661436e-06,9.220045731288182e-05,1.2549701864798242e-05,-1.80131897229306e-06,-4.996932227154847e-05,-2.5577467233161364e-05,-1.7537496331063622e-05,5.596472148042232e-05,4.660743618980975e-06,8.534099955660914e-06,3.668833440412007e-05,2.4973285940680438e-05,-4.696653403077004e-05,0.0001011673125193883,2.7903385586111534e-06,0.00010590244877639147,0.00013404084462891776,7.488448661835674e-05,7.710087689265429e-05,0.00012676539029003115
60000.0,0.0001835698952206572,0.000178078546854116,0.0002763070967500237,0.0002832645649433669,0.00014305046010289202,8.846829163770232e-05,0.00012583260067718696,0.00012159204395095308,6.976732569411714e-05,-2.3153316723950774e-05,-4.141164379851498e-05,-7.2241287656335875e-06,1.7327427124112575e-06,2.645143310103263e-06,6.795318613395951e-05,6.143326069934402e-05,1.5417764585698244e-06,6.793501813808768e-05,3.186483476699123e-05,1.9281808695687496e-05,-3.047255527357375e-05,-1.3416908381269803e-05,4.475318547620009e-06,5.0514976705715225e-05,1.4147589346041843e-06,8.837838890407086e-06,3.231329812421474e-05,2.862240871047113e-05,-2.759786160181121e-05,6.70315252971808e-05,2.5446179634093008e-05,5.9984519834986824e-05,8.519868457995736e-05,7.826346773851232e-05,9.323207069294136e-05,7.984880125878884e-05
70000.0,0.00014491296090381385,0.0001393476946302556,0.00019286885629623976,0.00023145261764156581,0.00013713982642448214,7.509596605396007e-05,9.377443954328866e-05,8.732504805505539e-05,6.220349152185748e-05,-3.543095982522891e-05,-2.0637886713394783e-05,1.8419143177553144e-05,3.1477140477192675e-06,4.688187146630768e-06,5.4206792056258304e-05,5.074553046356297e-05,-3.4146070841319154e-06,4.4321531097788386e-05,4.4543373600832674e-05,2.370328380925533e-05,-1.2382685600834195e-05,-3.188569952655897e-06,8.898963834959758e-06,3.485296719513732e-05,4.6859863234243594e-06,1.2577643447739169e-05,2.3800008404006975e-05,2.4127400502559547e-05,-1.3287101901469949e-05,5.403783335806086e-05,4.134885875386713e-05,3.1571817681981064e-05,9.332243616883178e-05,9.354442645372467e-05,9.578477350550935e-05,7.419563066122931e-05
85000.0,5.854775374576387e-05,5.322325865963344e-05,4.7899864457450043e-05,0.00011905551475991074,9.346716852897604e-05,4.9473322247224665e-05,4.6885789006371776e-05,3.818036071136018e-05,2.980485207390282e-05,-1.345956485065326e-05,8.371019483626841e-06,3.406388950114362e-05,5.66183352704297e-06,2.2029801079526355e-05,3.732934778552051e-05,4.089659719243346e-05,-4.64272198067677e-06,3.48467507878849e-05,2.702761896919345e-05,2.4135160828129272e-05,1.6086743618338226e-05,2.300857332929292e-05,9.794191486643573e-06,1.9819184789573472e-05,4.4436614803440855e-06,1.5125420102252146e-05,9.728461858493352e-06,2.0868078688106318e-05,1.6182905624667196e-05,4.657425975982796e-05,1.5470004916754547e-05,1.7081988768678165e-05,6.733333935394795e-05,0.00011697663560906444,4.3060098701504304e-05,6.339786332410077e-05
