,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,-1.890411978776065e-05,1.1266527342735872e-05,3.0653530434106767e-05,-6.777706155065981e-06,-9.588763535976602e-06,1.5661777369479797e-05,-1.8153133720256622e-06,1.3384489877791277e-05,5.703576024547507e-06,1.612643315575277e-06,-3.246690123926292e-07,-3.6840591413284886e-06,1.605720052060963e-05,1.1369187782453016e-05,6.5534776627863884e-06,2.7150680846263658e-05,-1.928574387248202e-05,6.8446071096435205e-06,1.0188678837755684e-05,-3.1413114313787715e-06,1.5237114793506562e-05,-9.049619827517916e-06,-1.4402369789512889e-07,1.2722282483287634e-05,1.2955808805024864e-06,1.3594744784730353e-05,-1.0188353790106052e-05,1.4541063211407818e-05,-9.579370739649071e-06,-2.3665998409355595e-06,1.679925187848101e-06,2.1879603768051903e-05,2.3289914643435677e-05,-4.313809644722119e-05,7.255570032609924e-05,-6.3402156851000896e-06
15000.0,-6.738012531542446e-05,2.6224095606837864e-05,-8.063488974560565e-06,4.842733300511324e-06,-1.8686573206207367e-05,1.9218153048493222e-05,-1.1385567105233945e-05,4.438408217921684e-06,-1.1485135615089648e-05,6.933471235772337e-06,-1.3251220914173628e-05,2.183960836237443e-05,-2.0388188803432336e-05,2.874772612505225e-05,1.3042760691234349e-05,4.575326579627111e-06,-2.651400142436044e-05,1.2315691470468101e-05,-5.811171820352901e-06,1.1324058261421285e-05,1.5150158610556943e-05,-1.7557842396352965e-05,4.912396463131153e-06,2.122317893780638e-05,-1.3556985878172706e-06,8.050149633839703e-06,-5.706505996710809e-06,8.98968759881371e-06,-2.2011642882434072e-05,2.592594121619332e-05,1.1756242087780327e-06,5.164271702200181e-05,-6.529139302652065e-05,1.0937030594011877e-05,3.2384619583367996e-05,-8.82065640377337e-05
20000.0,-4.196828889426455e-06,8.15410505232128e-05,8.5130612319519e-06,2.365203926616574e-05,7.83390987450637e-06,3.069346629511218e-05,5.0367899783151145e-05,5.5629433704298636e-05,5.234675188241832e-05,-6.601412780640672e-06,7.4398854136480285e-06,5.7170400632021823e-05,6.334264732347623e-06,-3.1823536236143505e-05,1.74747270314744e-05,-6.032401283737774e-06,-7.404548045644672e-06,4.131925726814845e-06,1.2227495642852148e-05,-1.1616873214964434e-06,-2.631620113471377e-05,-4.7445388557357185e-06,1.96551195344588e-05,8.536893957516874e-06,-3.3456282639705193e-06,4.421823889218262e-06,-3.2036883028282894e-06,-1.6301576605545258e-05,-5.36102495147773e-05,2.9446783093387006e-05,-1.1493687405691357e-05,-2.3926363244412703e-05,-9.416953297443539e-05,6.026486432455011e-05,-0.00011732811993141602,4.201180338014667e-05
25000.0,-2.8429122931673872e-05,4.134395011420785e-05,5.913491852014917e-05,4.3385202790195286e-05,-3.739633112681635e-06,1.3496264607607985e-05,1.2867533989185971e-06,2.8217448865891993e-05,-1.2470026347726876e-05,-3.167073946169157e-05,-1.0095178309751576e-05,7.334440129606311e-06,-2.436110239765002e-05,-1.5603823589681086e-05,1.9721859085298464e-05,2.3957887320363545e-05,-2.262735556628995e-05,2.591361296631992e-05,-1.2542021766741758e-05,-8.392382082880588e-06,-1.947443535529472e-05,-8.716413915341827e-06,-4.291715601379158e-06,-3.483228022712835e-06,-6.4508765097502e-06,-5.464911258572444e-06,1.4373079871098655e-05,1.4081354687997677e-06,-3.64217573847806e-05,2.4870368607479372e-05,5.649997679808922e-05,2.3745340942558064e-05,-3.622119733215734e-06,2.545528922947917e-06,-2.9334444858490676e-05,6.926082394357383e-05
30000.0,3.977557354639507e-05,9.834806438833418e-05,0.00010239735844164896,0.0001310302785588308,-1.1728785661610358e-06,3.0224831603233047e-05,3.813841214071859e-05,4.546126982081769e-05,2.5735518657539853e-05,-9.894782079073883e-06,-3.160337418627656e-05,2.3764787698984505e-05,-2.986690470005904e-05,-6.132015366659748e-06,9.993242111250249e-06,1.8250655542403055e-05,-3.39846171636517e-05,1.6620398427291695e-05,-1.6893696959143056e-05,-1.8616647037928877e-06,-2.313451200303677e-06,-1.2782751341454168e-05,8.413815034873588e-06,1.802816082830618e-06,1.6797045890834135e-06,-4.629854969314135e-06,1.4415924272293556e-05,1.6613077505765557e-05,-1.0367427104291037e-05,1.8888741166921093e-05,3.855500371265112e-05,2.997101777638712e-05,2.736421307139027e-05,1.9836027780250405e-05,-5.378913941846599e-06,3.053249794466072e-05
40000.0,0.00013819393158841204,0.0001901590011432826,0.00021069105439926297,0.00018635922495279466,0.00010268426361325347,6.996452751109566e-05,8.37739981026907e-05,0.00010045031903305932,6.587289508285566e-05,2.089167414880048e-05,-1.0368857316222093e-05,-6.468864811132601e-06,-1.0401762847488e-05,5.919071966725115e-06,2.253978942892792e-05,4.990239407786277e-05,3.6910127672276348e-06,5.567858623382163e-05,7.488043604220458e-06,1.1517300241173664e-05,-3.5033214242405423e-06,-3.0227120490758085e-06,-4.693237000804296e-06,8.69302227277049e-06,2.6910267980250143e-06,-1.086369670330993e-06,1.849546435455999e-05,3.0929538309764536e-05,-1.0441549678377594e-05,5.73479778830415e-05,3.703270211539298e-05,4.616100048644437e-05,9.880239955595507e-05,7.786585970042118e-05,5.903514629088036e-05,6.472225783922867e-05
50000.0,0.0001473772645902275,0.00017334134434344973,0.00022441381323007648,0.0002596273294399918,0.00013268571582950687,8.164288310710809e-05,0.00011178820411221211,0.00012247806069268382,8.717858625408142e-05,-4.8869730762812515e-06,-3.865335975821858e-06,-9.682245188014826e-06,-1.5237447345658616e-05,-5.353299113810606e-06,2.3894598242045866e-05,4.053509335476975e-05,1.2371689797306136e-06,5.191130308966603e-05,1.7570166236434665e-05,1.8523005239263432e-05,-5.701546793275986e-06,1.744748814797933e-06,-8.052353704594497e-06,2.0618740993769322e-05,4.024264950488177e-06,-5.5918213957974885e-06,1.2053255837914907e-05,1.7922906218905813e-05,-1.227416827652819e-05,5.595974262206147e-05,3.4466121490542513e-06,5.789890724385253e-05,9.287251169141082e-05,8.976166301223303e-05,9.995649386424647e-05,9.68481038986662e-05
60000.0,0.00011355338524482011,0.00011540241977472447,0.00021066827326862372,0.0002522020658125785,0.00014403834299756615,7.08009467262241e-05,0.00010685417808353318,9.964948572601158e-05,6.814856386323364e-05,-1.203438523040193e-05,-1.5008266468221506e-05,7.670943579109486e-06,-1.1821432493801222e-05,-2.221183199955638e-05,3.142233003839978e-05,4.89838696636623e-05,-2.201017693923249e-06,5.418901295303072e-05,1.8399241820948815e-05,2.4543044098004174e-05,-8.524610115850485e-06,-5.967903745561858e-06,7.529286137478905e-06,2.5969236962332726e-05,-5.6799661284023235e-06,5.772263912261429e-06,1.625643226607974e-05,2.1410222167700967e-05,-2.2756716427703184e-05,3.638546508135165e-05,1.8333371908059266e-05,4.904487512197999e-05,8.284244923630217e-05,0.00011241155776420367,0.0001448961206590136,7.850732661172848e-05
70000.0,3.172002549420287e-05,4.582171818038247e-05,0.00011789569489904591,0.0001682194582827255,0.00012598895065215896,5.8815332540507506e-05,7.822000402963659e-05,5.636837464185437e-05,3.808259312016671e-05,-2.4290024774171558e-05,-8.278813845409966e-06,1.0482715175816633e-05,-1.1235825475747092e-05,-5.159747553317673e-06,3.253997281096459e-05,4.402284140583207e-05,-3.443133361989623e-06,3.9670381222803404e-05,2.3868623029142355e-05,2.474258976135577e-05,-4.2573283977846145e-06,-8.623011294749014e-06,1.2175264610269039e-05,2.2116155941251397e-05,-1.0784400983943097e-05,9.427780095439676e-06,2.5863710858579675e-05,2.103686068154274e-05,-1.2306473011994858e-05,4.1835644391684505e-05,3.4876307863221606e-05,2.3120905835518884e-05,6.196787028729875e-05,8.715000557825536e-05,0.00012831566180323737,6.585552182671701e-05
85000.0,1.6138881572686443e-05,5.039889720916156e-06,2.4299720642035343e-05,7.928403111218906e-05,8.029395417218451e-05,5.196720008418885e-05,5.5796712548093045e-05,5.2306528059354324e-05,3.681521463135525e-05,4.6874030544236364e-07,1.0558759554763206e-05,4.606018577329647e-05,9.190520632593778e-06,7.87793754261593e-06,3.292991206516989e-05,4.742949344620433e-05,-2.36164171098151e-06,3.4604728976970486e-05,3.315628636907822e-05,2.887845573040026e-05,1.909174190743705e-05,2.1448758518224968e-05,1.393523342273986e-05,2.684677882049176e-05,2.2965533263240575e-06,1.465729081623917e-05,2.004380162599105e-05,2.21563293080064e-05,4.717823536498551e-06,4.1296760206236285e-05,2.477513072904586e-05,2.2598629494670507e-05,4.413721706421291e-05,8.779625682047816e-05,7.630236416374009e-05,3.7000417874501134e-05
