,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,-5.082940559920739e-05,2.1002367233479814e-05,1.3930742889494926e-05,-4.2031485196252185e-05,-2.5120551946248743e-05,3.5391868056911736e-06,-1.318567347814055e-05,-1.4331118392821057e-05,1.3891163239723772e-05,-3.265078763343036e-06,-2.69780378994843e-05,1.5439223163275852e-05,3.108240996704632e-05,1.0827799660237671e-05,1.5955264150905114e-05,1.154423776361253e-05,9.444413021527659e-06,2.9793009232320892e-06,-6.851422307584163e-06,-1.5126630190005447e-05,-9.857017195172927e-07,-9.424698729181394e-07,-1.8731403168635193e-05,-4.927422491699584e-06,3.72305917630546e-06,-6.588253005449663e-06,-1.1510855357027964e-05,-8.859349058554812e-07,-3.83825389055951e-06,2.3245713126525862e-06,-3.812261611728022e-07,1.8298817809939737e-06,7.1935754251387975e-06,1.478802055581745e-05,4.843052707879954e-06,-1.1762315241846846e-05
15000.0,1.6061704183174412e-05,2.6282838521464808e-05,2.6851542304897014e-05,3.803808198125771e-05,5.3713166047261226e-05,3.269734112661593e-05,2.3504455023802417e-05,2.7834019011673463e-05,7.258199829685107e-05,7.782610359165901e-05,2.2360762044305448e-05,1.8018487228087397e-05,3.321957435688563e-05,1.4909158838592885e-05,-5.748525169487052e-06,-2.5533301616031702e-05,-1.98251185267602e-05,2.1870387655701036e-05,1.3339471805910269e-05,-4.786703909092833e-06,-1.418580973599476e-05,-4.355156515500258e-06,4.679703038617433e-06,2.7173759863557068e-06,8.723239023057766e-06,9.577736798041761e-06,-6.829857187996519e-06,-1.2570890761062123e-05,-1.2249481289369694e-05,-5.817789820435557e-06,-5.73852394868131e-06,-9.303128157836711e-06,-2.9286393142011452e-05,-3.1242929772264744e-05,-1.7791817507166437e-05,-4.7599638479745985e-05
20000.0,1.171213317524505e-05,-1.7183895303825735e-06,3.298562047387107e-05,6.026976724136302e-05,5.303454637356199e-05,4.7702489561728015e-05,4.753185033079715e-05,4.140017956906632e-05,3.9874901223128884e-05,5.932969589828888e-05,4.414134278413475e-05,2.9335351542963325e-05,1.0289240256164477e-05,-1.1484676938337527e-05,-3.659081217129263e-05,-3.737276728130703e-05,-1.6882905401158135e-05,1.216825609141373e-05,-2.1670376784028867e-05,-3.7495121844944237e-06,6.575807060218064e-06,-1.5478389172385805e-05,-1.0393509919865647e-05,1.830834043202465e-05,2.259736939563418e-05,-2.8179086156034984e-06,-1.2308342717350816e-05,-1.4339286987118853e-05,-1.0030434080343404e-05,-2.3818766697078283e-05,-2.174895716873015e-05,-1.678509179667587e-05,-5.133695856422626e-06,-4.8715410674944655e-06,4.785706352885922e-06,5.02347888299941e-06
25000.0,-2.5154076309763165e-05,-1.7003124780139735e-05,1.4298999410647433e-05,1.973543463886378e-05,-4.773229305864481e-06,1.6505210283882896e-05,3.616019374545913e-05,9.693742054238823e-06,-2.1013355332504604e-05,-3.713421464923996e-05,-7.16381557447362e-06,-3.0133363783016586e-05,-5.377145594714346e-05,-2.668302837688851e-05,-1.3403574293155791e-05,3.4209017743968777e-06,3.417490795290421e-06,-1.257523474892325e-05,2.6609846185120762e-06,2.055474656235466e-05,1.138632624280626e-05,1.6897149762025922e-05,1.97792881019266e-05,1.6084811564102521e-06,-1.456836517311237e-05,-1.0743168783009813e-05,2.3031906156729056e-06,6.789893748454955e-06,8.4552998070668e-06,4.552101876320796e-06,8.13625901801428e-06,2.435433840906138e-05,4.75794632229686e-06,-7.833015189701032e-06,6.755639672941312e-06,2.9401339303326353e-05
30000.0,8.09169817909797e-06,1.7978654222130067e-07,-6.602089529685443e-06,-7.087351417659504e-06,-2.074218935800689e-05,-1.7873863879136313e-05,-1.378200579300653e-06,-9.82167576095672e-06,-4.493004986158489e-05,-6.499623301207677e-05,-3.849662077441999e-05,-4.63587568885163e-05,-5.327109620078714e-05,-2.0833089137029475e-05,1.968405017509515e-05,1.4555434443097242e-05,-7.541330431706637e-06,-8.854906662798182e-06,1.2428490549658654e-05,6.361725729151986e-06,4.7200100852148107e-07,7.4496574942051e-06,1.0370545313924611e-05,-4.4744082275194304e-06,-1.1739287300821141e-05,5.011311732135211e-07,6.786798648243984e-06,1.6193716779817784e-05,7.23575623420464e-06,-7.968306961931153e-06,1.3795396768085894e-05,2.4020795838698216e-05,8.017566279208251e-06,-3.572620975266583e-06,8.520489731840004e-06,1.5342807519730947e-05
40000.0,2.8005488340338562e-05,7.1831832326748645e-06,-5.412950117101339e-06,-1.24851974803426e-05,-2.289700918741955e-05,-2.0814082208628056e-05,-1.4948206903113288e-05,-1.5177927232131984e-05,-4.0100043901762954e-05,-6.561122148635964e-05,-4.942087221884188e-05,-2.1101731385629537e-05,-1.2984284907116052e-05,-1.3250251338414044e-05,1.0263852031615732e-05,2.215529132668345e-05,1.7991937664072622e-05,-1.5077844627621608e-06,2.8538288487787275e-06,4.456807160965489e-06,3.540602751947792e-07,1.8592711241643564e-06,5.168284427365063e-06,-1.1616360644134283e-06,-3.932559907478063e-06,-5.339237986587153e-06,-8.151038432312917e-06,4.44705389785571e-06,5.550681617921509e-06,-8.360284994136178e-06,-8.781256690215452e-06,-4.118934671353701e-06,2.102126181859423e-06,3.0091121542506366e-06,1.5199680322547893e-05,2.385659308959513e-05
50000.0,2.8655180689233547e-05,6.862987842990971e-06,-2.2026046758716503e-06,-5.096693231935991e-06,-1.730868367935871e-05,-1.6103183515028835e-05,-9.70041662097986e-06,-7.577909752949595e-06,-1.5981989806773153e-05,-1.9092693198429613e-05,-1.3352374163903296e-05,-1.3503432042096127e-05,-1.6120170013897747e-05,-1.2087572965364623e-05,3.896770581892606e-07,-8.260287781153407e-07,2.19536758266057e-06,-4.0328741530679495e-06,4.424594705199112e-06,1.3412379949668398e-05,6.810616623994655e-06,3.4813346207739347e-06,5.827770359010015e-07,-3.7292820244001477e-06,-2.005363005751714e-06,-8.421951726458169e-06,-7.889143613627938e-06,5.887319955475693e-06,2.4765103454377416e-06,-3.447071913316053e-06,-4.315514971554167e-06,-1.021827727780046e-05,2.552359478985199e-06,1.205940565161279e-06,-1.0029271357572604e-05,-3.788364506341401e-07
60000.0,2.5451225269746382e-06,-3.842254170203662e-06,3.774936210144852e-06,1.4022488514378683e-05,3.3332616875267215e-06,1.5153089669217388e-06,4.024956324268178e-06,2.0771798576006627e-06,-5.90456281370561e-06,-5.502167283673915e-06,5.460453241893589e-06,1.0683294213348734e-05,-2.085946088731509e-05,-2.1207742538825662e-05,-1.2414409921730623e-05,-2.650484624566584e-06,-9.60539695712649e-06,-1.1569017212124112e-06,6.127274122354396e-06,1.5861353830051958e-05,6.1924457039818345e-06,-2.3930315176009388e-08,2.569794892528426e-07,-1.1571040753765454e-05,-2.408801143258313e-06,1.3762925633121425e-06,-3.232480607223514e-06,1.604343626066708e-06,-4.7668700336407e-06,-1.0553311369359938e-05,-2.9797706810424407e-06,-1.6366429497382334e-06,-1.0526919551197182e-06,-4.562772888619704e-06,-8.81032796834149e-06,5.80707998138474e-06
70000.0,-4.7336950222646155e-05,-2.9684577461490957e-05,-1.3130897413761715e-06,1.535634884574225e-05,9.804759735028965e-06,8.065164234809407e-06,5.970948800066201e-06,-1.1701370677403667e-05,-1.5155689601374866e-05,-1.2115440268259346e-05,-4.465374918349697e-06,-8.087330435747241e-06,-1.3700804472906931e-05,-1.0543104746475644e-05,-1.1538843401492927e-05,-3.4735147440199257e-07,1.0991447811802087e-06,2.8476212797098063e-06,3.585022508737669e-07,8.899615105612437e-06,1.7650976514861259e-06,-5.303362497757093e-06,4.8288050569335065e-06,-4.844767509266484e-06,-1.0288102279823146e-05,4.17912524541032e-06,7.144450618117025e-06,3.7712961344519814e-06,-3.746877404733652e-06,1.2905497354753423e-06,1.214558789172352e-06,-7.344796344897675e-06,-1.3444380126122203e-05,-1.919106761744981e-05,-1.0342550536077843e-05,2.482174239205912e-05
85000.0,-2.6196841529315424e-05,-2.1521980327094516e-05,7.198316696662001e-06,-1.1338197044251093e-05,-2.3284001674658177e-05,-8.15728180815758e-06,-9.624546807526083e-07,-5.428082097326749e-06,-1.9718084669133365e-05,-2.813993501610545e-05,-2.1562417879228197e-05,-1.3177407679276801e-05,-9.881672558699536e-06,-6.624516055501269e-06,8.344297996243795e-06,1.247994253510137e-05,7.260363562528678e-06,6.751609833252118e-06,1.2419677543202439e-05,1.1196676171535155e-05,6.450506348089304e-06,1.0345736067099049e-06,9.139960575728793e-06,7.6225570095220695e-06,-1.2614986451045567e-06,9.442949104600401e-07,1.2363705131547812e-05,9.214558598020345e-06,-6.648138958527631e-06,4.291642756271533e-06,1.5336789431759566e-05,1.0117343161636441e-05,-2.098960606725578e-06,-2.6976648814045116e-06,1.5765034001328834e-05,3.788985708656695e-05
