,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,1.2716383988724996e-11,1.564348851163724e-11,-7.4243110205132e-12,3.5814454331359644e-12,1.2780047502208317e-11,3.684387566865868e-12,-3.5191908866242744e-12,1.3469114996167038e-11,6.695873062723146e-12,-7.874570500451498e-12,1.0701669914231845e-11,1.597277896265357e-11,-8.564790795673781e-12,-1.5500453394404926e-12,5.912974882805174e-12,1.6217485700789644e-12,-3.682089181634984e-13,-6.7157246600243274e-12,-2.9544948519597216e-12,-2.2992816310291987e-12,1.0452392616174693e-11,-7.790180150439679e-12,-4.946227344507224e-13,5.993061598084622e-12,2.029520325767162e-13,-1.1605211482832186e-12,1.007749009663109e-12,4.421084289729157e-12,1.7634603584873956e-12,-1.0914098275123485e-12,-2.2120769106011373e-12,5.975352870323318e-12,4.757900641485771e-13,-1.7043018115773178e-11,6.015107892792121e-12,2.183431503616662e-12
15000.0,4.805442497710343e-11,1.2859471077349153e-10,7.088932177111407e-11,7.323851928383488e-11,5.244287723977906e-11,4.4888558063037703e-11,5.7751248914638823e-11,7.389964924551103e-11,1.0536912149087871e-10,4.1137971670029794e-11,5.992697167892651e-11,6.268186790264507e-11,3.2136912188551884e-11,1.619244195655285e-11,2.1018278782882474e-11,1.0211665964309313e-11,8.372517051814482e-12,2.2209402396862896e-11,2.929006508767719e-12,4.38684340255729e-12,-8.836343746766664e-13,6.79307400638297e-12,6.093660431797804e-12,-2.244834560591894e-12,-7.37712717520717e-12,-2.1815944180828576e-12,6.03316721826504e-12,-6.7775296685736285e-12,-2.2024538919602962e-13,5.284632451153005e-12,5.01826839497449e-12,1.1461675257256532e-11,-2.6675407294745655e-11,4.047170085531029e-11,-2.8224778244081627e-11,3.31924678194989e-12
20000.0,-2.1155457244295975e-10,1.4290947368128664e-09,1.107637513957956e-09,7.857514495761635e-10,9.234288244716395e-10,5.046449704964568e-10,4.2243060017896946e-10,9.314393946572016e-10,7.279972723565e-10,1.1390431683782136e-09,3.558485533484487e-10,9.266157345070798e-10,3.1061505069447963e-10,1.8683911755216736e-10,7.670509625090999e-11,8.628509591112222e-11,4.5768874468636547e-10,1.199553243757808e-10,1.2086116926844224e-10,-1.4249798937583083e-11,7.853375067245679e-12,6.19943478020703e-11,1.9166839108111553e-10,1.2335239165729316e-10,1.7152180087376055e-10,1.577884383347676e-11,1.2048896524372758e-11,1.589138204610565e-11,5.979736812694518e-13,1.3285181455695698e-10,8.068072064094752e-11,4.0389842711485925e-11,8.25922349501291e-11,-2.4327930963928694e-10,9.572705811203126e-11,6.166504221915582e-10
25000.0,3.260234318625877e-09,3.737853266392018e-09,5.714133205169504e-09,5.492193329481773e-09,3.584569310990723e-09,1.6344297149105011e-09,1.903133525707414e-09,1.913714081152219e-09,1.8500360690181228e-09,1.0318380285800052e-09,-2.808081996400618e-10,-7.1649403245703465e-12,-1.60188823553806e-10,2.642500254712217e-10,-1.3250411798205777e-10,1.4963307803322614e-09,4.113620035475639e-10,6.878461335927865e-10,2.647765047614881e-10,-2.326484089849403e-10,2.0782338554749084e-10,-5.096795554792748e-10,-3.986469031712411e-10,-1.2103519311771229e-10,4.798165553432284e-10,1.511586065912832e-10,6.378346153785274e-10,7.753072381818554e-10,2.1649018562822048e-10,7.410030591696688e-10,1.4712501901207337e-09,2.3463930351008306e-09,2.706423356462961e-09,8.280932922101198e-10,-3.2217607107263187e-10,-4.676321208287255e-10
30000.0,6.172998761204707e-09,7.073130117179908e-09,1.2018204807745426e-08,1.1797810958000732e-08,7.080229777977251e-09,3.162629871175399e-09,4.749675510270624e-09,3.118141001524411e-09,2.2661210770115183e-09,-1.416452734450684e-09,-4.121331792503521e-09,1.5863990479473351e-09,-7.880975877129426e-10,1.0619096324355151e-09,1.4921390263610617e-09,6.291001626587192e-10,5.898729166589381e-11,1.975496871384346e-09,-1.2709237867679937e-09,-5.178954270807469e-10,3.180854110438367e-10,2.1265066259260948e-10,-6.648798129688022e-10,1.7562566021410892e-09,1.6417635847951188e-09,8.853965283538557e-10,1.0053324622845724e-09,1.3626386540035372e-09,2.3152083501017028e-10,2.8210632168666457e-09,3.519165752667866e-09,3.0120023123682442e-09,6.350748645011305e-09,4.95796927333499e-09,3.1268073380611706e-09,1.8887718350962233e-09
40000.0,-4.3253411885358585e-09,7.50845751360427e-09,1.6722162036243168e-08,2.2554591849513782e-08,1.4208628486290569e-08,8.605110594941063e-09,1.1105200140008928e-08,1.1253639120382707e-08,9.53961743077245e-09,9.333680303714289e-09,-2.4572198676796136e-09,2.617405325303361e-09,1.7072845677088584e-09,-3.6153019087644946e-09,4.660258317926392e-09,3.308702930945626e-09,-5.330753653398225e-09,7.477506035586832e-10,2.6555936408997765e-09,8.511421573862078e-10,-1.52184332968533e-10,6.379900677092182e-10,3.581579867285366e-10,1.4220896491539097e-09,-3.1629481517508265e-10,2.4392861619274892e-09,1.052793293055305e-09,2.190015917652147e-09,3.6484276375101837e-09,4.13325090964729e-09,-7.342520733427296e-09,7.0469208138405834e-09,6.88687761572476e-09,-7.972528258423964e-10,3.002155207185746e-09,8.123725074449162e-09
50000.0,-1.7647677169582097e-08,-1.8303379798056454e-08,2.3372113868534652e-08,1.846472296362379e-08,3.6978971057575676e-09,8.685765343335955e-09,9.95167238818616e-09,1.8424566848568845e-08,1.0548303491501358e-08,3.2262929542173172e-09,-6.543841814359928e-09,-1.8859434014376466e-09,2.6920737992700166e-09,6.783638558714025e-09,8.00723673362198e-09,1.3823545366383538e-09,-1.7344699474465306e-09,-5.512383020314016e-09,7.728405555137646e-09,5.435901530030908e-10,-4.4051527124161426e-09,-2.2364416813957765e-09,3.641673465807344e-09,4.386967821818778e-09,5.851432225518889e-10,3.413481411459613e-09,1.3771667423309018e-09,3.294366311379482e-09,3.2719406037267836e-09,3.040053165107678e-09,2.051196450467779e-09,3.915625414091429e-09,3.774955124561439e-09,6.982718675719561e-09,-8.376380167616918e-09,8.673496586647318e-09
60000.0,-1.6619639824339456e-08,-2.64692190115604e-08,-1.223428842169222e-08,-7.805774728340142e-09,5.320533276713194e-09,5.8397564833297446e-09,3.0234879297991597e-09,-8.727080066439431e-09,2.5785696642403316e-09,-1.3344117222206351e-08,-3.844897568341162e-09,1.9925337953950888e-09,7.963366498839415e-09,4.863455053333588e-09,1.499307872219366e-08,1.0784779014348855e-08,9.091454184456159e-09,-5.167619418634293e-09,7.378922915318825e-09,5.385434349077888e-09,2.27627564313473e-09,-1.3127911236372495e-08,2.771633450681186e-09,9.222663658347499e-09,1.5467198297398917e-09,6.9788179994088825e-09,1.2078410969063276e-08,9.891299456536139e-09,2.599891689541691e-09,2.295280246019709e-09,1.4380770493122458e-08,-1.296820636792696e-08,9.301191322819016e-09,-5.190126626936743e-09,-3.1302834973446916e-08,2.2494769908085365e-08
70000.0,-2.663795962356528e-08,-3.0602082604946416e-08,-8.819566059786162e-08,-4.6329164226398206e-08,6.327225566727432e-09,-7.214907537600219e-09,-2.1399621680490406e-08,-2.4358061142481306e-08,-2.1760925353298304e-08,-2.4863558119776545e-08,2.3550601566311637e-09,3.0342915554307326e-08,1.1455094615265982e-08,3.3523265335497395e-09,3.2435232576078657e-09,-1.2776463712257417e-08,-5.308402579586182e-09,-1.080098428891327e-08,1.1097213580397602e-08,9.16776828753025e-09,1.9644894443060195e-09,1.4826082227038257e-08,-1.4721334418256869e-09,-2.976936494104417e-09,1.2291063080365156e-09,4.934714532993618e-09,7.58963677839082e-09,-4.397663017175839e-09,7.719635547468278e-09,2.413644393683747e-09,1.0831252507876727e-09,-1.0776433272482503e-08,1.0660131666582217e-08,3.001044607641168e-08,-2.9280511079028517e-08,9.999178708932285e-09
85000.0,-5.917394264417893e-08,-1.112348157398996e-07,-9.979297158307927e-08,-1.4145423100930432e-07,-7.624469298985799e-08,-2.2704736878052716e-08,-3.1082582039744804e-08,-3.104901319812701e-08,-1.2333364674047815e-08,3.3924552698359266e-08,4.288277358498648e-08,1.2197753158469426e-08,2.0281026774703004e-08,3.213150820269461e-08,2.0638250964456046e-08,2.693211903647799e-09,1.0364098854202875e-08,1.0264009739616991e-08,-2.8792851581242077e-09,2.1107639243696997e-08,2.6032890933523118e-08,1.722185239663272e-08,-7.411465458024647e-09,3.519951181616741e-09,-2.5536757165494167e-09,4.936208418081795e-09,-1.7290543911767042e-08,-9.14292854414054e-09,-3.1384006364223167e-09,-1.1619393934072715e-09,-1.4522859098275875e-08,-8.283230162480754e-09,-3.323199885239507e-08,-4.5335043173243886e-08,-7.529873221573552e-08,6.709276055107997e-10
