,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,-1.3062218005123485e-13,3.304120267773809e-14,7.173161981868092e-13,4.1330064490696267e-13,-5.357840952617307e-13,-7.216795120224247e-13,-6.400967322980241e-13,-7.715510517790264e-13,-8.522108190524671e-13,-2.194787416649531e-12,-2.9576031414361353e-12,-1.0537380665833137e-12,6.334511117300359e-13,7.936319671639236e-14,2.1747210426807175e-13,3.480228663095665e-13,2.2164966986230986e-13,-1.3596429635680897e-13,-4.4858470642083757e-13,-6.796542820080166e-13,-4.2495620596370394e-13,-6.519391862052467e-13,-1.1474213174637494e-12,-6.399848906078041e-13,1.3546878507400875e-13,-8.289176589309927e-13,9.934556782475748e-14,1.342932151791154e-12,3.640960184114306e-13,7.646643440353853e-13,1.3341689122703194e-12,1.342338355142116e-13,-3.572090912958047e-13,-1.262336070048165e-12,-4.992054217983004e-12,-5.39975911912289e-12
15000.0,-6.10207014171375e-12,-3.171583201643525e-11,-7.96821132619561e-12,-1.1109138411624464e-11,-2.8797487741768566e-11,-1.8828115730940102e-11,-2.1563754552061404e-11,-9.67407820617051e-12,-2.772788676655902e-11,-2.8018246458471856e-11,-4.729139502959214e-12,-6.769757751685389e-12,-5.995134456874002e-12,5.163745729960359e-12,8.785032815307659e-12,1.192724055748426e-12,-2.04621578876557e-12,-8.244108237270269e-12,-5.161718268933188e-12,-6.824152243776579e-13,8.93496919541173e-13,-1.1589478516263964e-12,-6.682989388469061e-13,2.7770332935354993e-13,-1.9294233238151142e-12,-2.379891816594252e-12,2.4407210876831276e-12,3.720376180142642e-12,3.236683639862191e-12,1.2008639221196788e-12,9.85948394207802e-13,3.2583266849697107e-12,1.2420597156101623e-11,9.100796884930432e-12,-1.8043642100599983e-11,-5.958309543682058e-12
20000.0,-1.2050105992708681e-09,-5.975090149404092e-10,-1.9529666578389877e-10,-1.941301732768775e-10,-4.1942720594739547e-10,-4.154449423422998e-10,-2.383939673546595e-10,-1.4056461607591815e-10,-3.9800781657765464e-10,-6.185552742402582e-10,-2.625406012614913e-10,-2.529810264841117e-10,-2.477450547071383e-10,-4.2076570217647195e-12,4.92811041943258e-11,5.886691346322353e-11,7.487093066717599e-11,-1.1775210609901567e-11,7.19010436775085e-11,9.364645622779545e-12,-1.7354325170063136e-12,3.037763083137095e-11,8.522616361961227e-11,-1.385612598445803e-11,-3.779174959708952e-11,4.10949272339163e-12,1.928810649621349e-11,7.334951680613133e-12,2.2301243355438097e-11,4.3563950195198774e-11,4.1000366096243846e-11,5.7072966613373975e-11,3.242751333397124e-11,3.144246427108654e-11,1.416087945311728e-10,3.971892785135218e-10
25000.0,-9.56542065668483e-10,-1.2184321733978938e-09,-7.765572417647737e-10,1.16011338726215e-10,-1.1222680215821671e-09,-1.710034908789713e-09,-9.695428154836423e-10,-7.738646944795929e-10,-1.4878005246808306e-09,-1.7948948689810059e-09,-1.0829053090707765e-09,-1.4307090087633729e-09,-6.678379660197367e-10,2.750608442294454e-10,7.877345867841528e-10,1.6463899446601095e-10,-7.937680732407199e-11,-5.7707102124384126e-11,2.03302422675427e-10,-2.4371621666505156e-10,3.544331053409596e-11,1.1835840749595168e-10,5.124004496705564e-10,1.791991438741136e-10,-4.732604589302049e-11,1.5604873943868143e-10,3.5507917708986755e-10,4.3231276697335e-10,-3.3334993667157786e-10,1.1533599276028057e-11,5.59336060938264e-10,-5.747977789637027e-10,-4.417580728998151e-10,-4.084489741812166e-10,-6.831332316281382e-10,-4.974387570593799e-10
30000.0,5.212836253756086e-10,-3.0234292305510444e-09,-3.6297271764301415e-09,-2.9613297045275347e-10,-4.283040513545022e-10,-3.495998466171085e-09,-3.471516008026284e-09,-2.293308031753483e-09,-3.607575542312013e-09,-4.093175229017144e-09,-2.36333685820306e-09,-2.2912803453821245e-09,-6.042488456186808e-10,3.2504621607442006e-10,2.2677711138157363e-09,5.705830950975637e-10,-1.0304827080285619e-09,-2.0865277035729884e-10,8.784365978190874e-10,-8.739627241928482e-10,-6.541162125873104e-10,-4.3353812852108676e-10,6.043428332748781e-11,1.1286447078626506e-10,-3.356681819064326e-11,3.5540176632321574e-10,4.416853322159149e-10,3.995705493811287e-10,-7.075755598913605e-11,5.165732299860166e-10,1.3010056678027308e-09,-8.594988010529877e-10,-1.3463160485139948e-09,-1.632372627911092e-09,-5.614897491381746e-10,2.732486818063241e-10
40000.0,-1.2106594963131955e-09,-6.776952536082629e-09,-1.0652874981470283e-08,-6.015451046787021e-09,-6.148068549033906e-09,-9.398310134033673e-09,-8.184130624067114e-09,-9.225776136784923e-09,-1.4367486635548059e-08,-1.0138769635596548e-08,-3.074005501144016e-09,-1.2888204591666512e-09,1.8728739760537144e-09,1.566368867473571e-09,2.313675087388096e-09,2.0691756917592987e-09,3.828636589969302e-09,-7.062121113250828e-11,-1.0377742328650662e-09,1.6447806430864929e-09,6.763075675194393e-10,-7.122310958121944e-10,5.866952641921313e-10,-3.950115912099695e-10,-1.1490609414080275e-09,3.147713040781154e-10,8.342147782918609e-10,1.3058998687513027e-09,2.8855848141314925e-09,1.8676772596600045e-09,3.469782763837111e-09,4.3409502165853125e-09,1.4562633586834982e-09,-9.91437462721185e-10,1.1498463845525667e-09,3.743370420775384e-09
50000.0,1.91512215529907e-09,-1.4245670709186822e-08,-1.783846316789167e-08,-1.502861442769057e-08,-1.8347138710064358e-08,-1.8901139771756007e-08,-1.8018901848511148e-08,-1.6230602023946452e-08,-3.018462266739453e-08,-2.515365060145228e-08,-4.1814907732764915e-09,-1.7943534227009455e-09,1.9102858537477667e-09,5.001384806699638e-09,4.439622839203523e-09,2.882672009096183e-09,1.005611207806285e-08,3.931594365721125e-09,-2.2215146337740432e-09,-7.072995565751774e-10,-2.6741733544659365e-09,-3.552578375637732e-09,1.812200641673548e-09,1.846581819551336e-09,9.37733054410066e-10,1.4497924855429645e-09,2.0381613410502217e-09,-9.018175772254803e-10,-4.994606331368727e-10,8.4817530259904e-10,4.451211683509822e-09,2.6441270218408367e-09,-6.924993039349408e-09,-8.571828031791839e-09,6.006437994565897e-09,1.2783064453761487e-08
60000.0,2.9531703851162144e-08,1.05287616379503e-08,-1.2526511583565806e-08,-3.241446517869786e-08,-3.5769264842072926e-08,-2.8085712975017126e-08,-2.7321395849262464e-08,-3.2438524785556934e-08,-4.780774331550163e-08,-3.2637302726068596e-08,1.264762626246097e-10,8.173520895154107e-10,1.3174406262770377e-08,4.600160142570897e-09,9.284260211983163e-09,8.172346114459483e-09,4.083258843443109e-09,-1.9486445507440024e-09,5.9475272908211014e-09,1.1853176203861138e-09,5.776339502189364e-10,-6.256151571579757e-09,2.617916059793564e-09,5.307770279292351e-09,-7.003625410867963e-10,1.7297938992801811e-09,6.175278850102863e-09,-6.070902627433029e-10,-2.816576910418282e-10,-5.341472186210392e-09,5.916398739975802e-09,-8.039869059401234e-09,-2.217800246206486e-08,-1.4217681434159811e-08,-4.1056211948356746e-09,2.3759681489938597e-08
70000.0,-5.826786272826599e-09,7.276303858298305e-09,4.349081039992517e-10,-2.5133966812410437e-08,-3.251742566139864e-08,-2.0587917157689347e-08,-1.4670001584277021e-08,-2.462505973157243e-08,-5.244640887127764e-08,-4.1640554007196265e-08,3.537035805840984e-09,1.1476457430814097e-08,1.4289728278563087e-08,-3.137451311415659e-09,3.5150516758266143e-09,-8.108832976957302e-09,-3.247917489111285e-09,-3.258434032295141e-09,1.369091904578231e-08,1.0892258222495351e-08,7.774305735313836e-09,3.4198445786050035e-09,3.3153393385689058e-09,6.705555437492796e-10,-5.1760368935863605e-09,-4.895073449172797e-09,2.1247206983861507e-09,-1.0606645205615335e-08,-2.0856215811574607e-09,-1.1825634816370125e-08,-4.7526561861800206e-09,-1.1748110223663486e-08,-1.5831909978191493e-08,-8.179488242232507e-09,1.759970649223245e-09,7.607691158571574e-09
85000.0,1.5404676853618295e-08,5.102098102963715e-09,1.0442217962513669e-08,-6.145968651181695e-09,-2.616406626089568e-08,-1.3053794512403206e-08,-4.329892132104137e-09,-8.02973345735108e-09,-3.320887230250451e-08,-3.077205107271106e-08,-2.7208061294024912e-09,-4.178423519990593e-09,2.1502326428864793e-11,-1.2105507918157486e-08,-4.781735447224245e-09,-7.122360321789625e-09,-5.871952288138471e-10,4.564363339679818e-09,1.3885387321921617e-08,3.1309527110119456e-09,-1.0171554956246642e-09,-1.159491961665712e-09,4.528507942753566e-09,7.84805247594992e-09,-5.597393204058748e-10,-7.045974414473322e-09,2.980568206489965e-09,-4.113054158701885e-09,1.9805721007701177e-09,-7.822914296359081e-09,-6.845306655258607e-09,-1.5710720212513086e-08,-8.645654658351321e-09,-2.1035827128556614e-08,-1.5388683960669178e-08,1.0915385562642193e-08
