,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,1.2847006172459658e-11,1.56104473092753e-11,-8.141627219219782e-12,3.1681447868671743e-12,1.3315831597559828e-11,4.4060670786341465e-12,-2.8790941527235753e-12,1.4240666048565395e-11,7.548083881008859e-12,-5.679783079993126e-12,1.3659273050481059e-11,1.7026517026371404e-11,-9.198241903687003e-12,-1.629408534512554e-12,5.695502778286894e-12,1.2737257044157912e-12,-5.898585883627805e-13,-6.579760364143816e-12,-2.5059101459513454e-12,-1.619627350698757e-12,1.0877348820463287e-11,-7.138240966683158e-12,6.527985841828957e-13,6.6330464883186134e-12,6.748324708090026e-14,-3.316034851142371e-13,9.084034389445747e-13,3.0781521401662376e-12,1.3993643420270465e-12,-1.856074172692458e-12,-3.5462458248026724e-12,5.8411190345679e-12,8.329991576186062e-13,-1.5780682041368096e-11,1.1007162113340172e-11,7.583190625109439e-12
15000.0,5.4156495056870654e-11,1.603105427934103e-10,7.885753314034926e-11,8.434765766718465e-11,8.124036490269456e-11,6.371667379436298e-11,7.931500348665686e-11,8.357372743364451e-11,1.330970082066631e-10,6.915621813163269e-11,6.465611116923249e-11,6.945162565563702e-11,3.813204663591541e-11,1.1028696228240599e-11,1.223324594053746e-11,9.018941902421636e-12,1.0418732828572646e-11,3.045351063187505e-11,8.090724781414721e-12,5.0692586221288886e-12,-1.7771312959631034e-12,7.952021855359027e-12,6.761959367859867e-12,-2.5225378924742836e-12,-5.447703850117097e-12,1.9829739943886343e-13,3.592446120812091e-12,-1.049790586687463e-11,-3.4569290245384847e-12,4.083768530894819e-12,4.032320007788812e-12,8.203348571761085e-12,-3.9096004426895254e-11,3.1370903978180025e-11,-1.0181136150703295e-11,9.277556339650255e-12
20000.0,9.934560297524611e-10,2.0266037521524567e-09,1.3029341799929987e-09,9.798816224982241e-10,1.3428560305431544e-09,9.200899126312142e-10,6.608245675914607e-10,1.0720040103767509e-09,1.1260050883755426e-09,1.7575984418692903e-09,6.183891544968302e-10,1.1795967606464278e-09,5.583601055981805e-10,1.9104677481504532e-10,2.7423992047868242e-11,2.7418182240053958e-11,3.8281781394795164e-10,1.317305350389148e-10,4.896012521999867e-11,-2.3614444654839787e-11,9.588807510182077e-12,3.1616717075821754e-11,1.0644222756197996e-10,1.3720851771352817e-10,2.0931355054436996e-10,1.1669351133963225e-11,-7.239210030227967e-12,8.556430396759982e-12,-2.17032696834876e-11,8.928786419555348e-11,3.968035469016775e-11,-1.668312390255261e-11,5.016472160570201e-11,-2.747217738560542e-10,-4.588173527190211e-11,2.1946114422554033e-10
25000.0,4.2167763805205985e-09,4.956285441021884e-09,6.490690448159898e-09,5.376181992644453e-09,4.706837336111307e-09,3.344464621546431e-09,2.8726763401028743e-09,2.6875787752111374e-09,3.33783659360049e-09,2.8267328996873587e-09,8.020971096783984e-10,1.4235440699301441e-09,5.076491437405477e-10,-1.081081939062865e-11,-9.202387061085185e-10,1.331691786357481e-09,4.90738811232704e-10,7.455532360805995e-10,6.147408169951588e-11,1.1067808575235436e-11,1.723800755418455e-10,-6.280379643364702e-10,-9.110473516928623e-10,-3.0023434123514527e-10,5.271426017147625e-10,-4.8901329551777205e-12,2.827554382137349e-10,3.429944712350233e-10,5.49840121663471e-10,7.294694586724095e-10,9.119141337368575e-10,2.921190813285627e-09,3.148181431866818e-09,1.2365422659637436e-09,3.6095715951621486e-10,2.98066351036716e-11
30000.0,5.6517151357264874e-09,1.0096559342369678e-08,1.564793198751128e-08,1.2093943930155006e-08,7.508533831203092e-09,6.658628336770264e-09,8.22119151510605e-09,5.411449030162549e-09,5.873696622159056e-09,2.6767224904672098e-09,-1.7579949464000293e-09,3.877679386364772e-09,-1.8384874213540606e-10,7.368634186728929e-10,-7.756320890932358e-10,5.851706423250601e-11,1.0894699972779024e-09,2.1841496445419187e-09,-2.149360385137912e-09,3.5606729483732975e-10,9.72201620753197e-10,6.461887902565809e-10,-7.253140938571199e-10,1.643392138607758e-09,1.6753304054551695e-09,5.29994760797112e-10,5.636471314202346e-10,9.630681045887444e-10,3.022783944322252e-10,2.304489989295457e-09,2.2181600871028982e-09,3.871501121586282e-09,7.697064690850853e-09,6.590341889513729e-09,3.6882970875797223e-09,1.615523151088901e-09
40000.0,-3.1146817123236308e-09,1.4285410029927362e-08,2.7375036996109853e-08,2.8570042896808144e-08,2.0356697038990188e-08,1.8003420737426726e-08,1.9289330770819246e-08,2.047941526613645e-08,2.3907104060598584e-08,1.9472449921694638e-08,6.167856221579968e-10,3.906225782538507e-09,-1.6558940806215775e-10,-5.181670775823125e-09,2.3465832457090814e-09,1.2395272660675002e-09,-9.159390245418246e-09,8.183718099468388e-10,3.69336788945487e-09,-7.936384711697926e-10,-8.284918769211281e-10,1.3502211739843745e-09,-2.285372754903805e-10,1.8171012402820973e-09,8.327661329500505e-10,2.124514857350961e-09,2.1857851868189403e-10,8.841160534574549e-10,7.628428250830269e-10,2.2655736627587195e-09,-1.0812303499589523e-08,2.705970616813791e-09,5.430614272580873e-09,1.941846229611218e-10,1.8523088447182734e-09,4.38035464645818e-09
50000.0,-1.9562799404922936e-08,-4.057709178041271e-09,4.1210577124480556e-08,3.3493337436387926e-08,2.2045035774736628e-08,2.75869051365341e-08,2.7970574221103772e-08,3.465516888179625e-08,4.0732926173719894e-08,2.8379943553543603e-08,-2.362351064474923e-09,-9.158996753711079e-11,7.817879421321088e-10,1.7822537519578816e-09,3.5676138938832234e-09,-1.5003174503666386e-09,-1.179058205890208e-08,-9.443977406159127e-09,9.949920188155059e-09,1.250889729258702e-09,-1.7309793507946074e-09,1.3161367068585862e-09,1.8294728209401388e-09,2.540386040291549e-09,-3.525898224654548e-10,1.9636889129233007e-09,-6.609946182296778e-10,4.196183894316689e-09,3.7714012304041426e-09,2.1918778909752492e-09,-2.4000153052927196e-09,1.2714984220183217e-09,1.069994822962923e-08,1.5554546651424555e-08,-1.4382818282821913e-08,-4.1095678226358426e-09
60000.0,-4.615134360238108e-08,-3.699798070529859e-08,2.922231577620244e-10,2.4608690485054158e-08,4.108979808407844e-08,3.392546950127057e-08,3.0344883823620166e-08,2.3711444729938536e-08,5.038631288164715e-08,1.9293185533376775e-08,-3.9713739331416e-09,1.175181738451598e-09,-5.211039717918531e-09,2.632948999042124e-10,5.7088185214681105e-09,2.6124328765712576e-09,5.008195403557681e-09,-3.2189747925457713e-09,1.431395598778975e-09,4.200116705996388e-09,1.6986416575313405e-09,-6.871759667945088e-09,1.5371742808598062e-10,3.914893359592633e-09,2.2470823940011944e-09,5.24902406305577e-09,5.903132115238457e-09,1.0498389725421744e-08,2.8815493202630014e-09,7.636752447184106e-09,8.464371797264522e-09,-4.928337400729695e-09,3.1479193789196914e-08,9.027554821647486e-09,-2.7197213769508045e-08,-1.264911592546389e-09
70000.0,-2.081117334517912e-08,-3.787838643266995e-08,-8.863056872570185e-08,-2.1195197392802657e-08,3.884465129194999e-08,1.337300960766516e-08,-6.7296200808395665e-09,2.6699855703174003e-10,3.0685483519072065e-08,1.677699601320632e-08,-1.1819755990078334e-09,1.8866458056817533e-08,-2.8346336884530236e-09,6.489777843197464e-09,-2.7152839846092485e-10,-4.667630715611554e-09,-2.060485134476818e-09,-7.542550224716966e-09,-2.593705489958684e-09,-1.7244899550524892e-09,-5.809816293222195e-09,1.1406237617305241e-08,-4.787472780996736e-09,-3.6474920663327925e-09,6.405143220067945e-09,9.829787992792082e-09,5.464916097135754e-09,6.208982193941933e-09,9.805257111708308e-09,1.423927917643228e-08,5.835781398496513e-09,9.71676924290313e-10,2.6492041579463057e-08,3.818993444259663e-08,-3.1040481668786136e-08,2.391487494044997e-09
85000.0,-7.457861958149387e-08,-1.1633691388142609e-07,-1.102351894787748e-07,-1.353082623149016e-07,-5.008062681503437e-08,-9.650942331239728e-09,-2.6752689869410438e-08,-2.3019279728514065e-08,2.0875507628147527e-08,6.469660378168641e-08,4.5603579745817246e-08,1.6376176685994915e-08,2.0259524422336618e-08,4.4237016075404533e-08,2.541998642087397e-08,9.815572190984268e-09,1.0951294058230143e-08,5.699646419907182e-09,-1.676467249775966e-08,1.797668650713592e-08,2.7050046394926913e-08,1.8381344344098335e-08,-1.1939973420106662e-08,-4.3281013062637855e-09,-1.9939364449686333e-09,1.1982182885756054e-08,-2.027111217065579e-08,-5.029874345110427e-09,-5.118972652999118e-09,6.66097499071252e-09,-7.67755243426673e-09,7.427489974026335e-09,-2.4586344298186858e-08,-2.4299216134503225e-08,-5.991004836020881e-08,-1.0244458114711441e-08
92500.0,-8.461572882481314e-08,-6.316317533426878e-08,-8.003332928338657e-08,-1.7894317240259222e-07,-1.6214451434305277e-07,-5.712359558748591e-08,-8.022401515289052e-08,-4.7905416083453244e-08,-2.314533706704674e-08,5.180924384119375e-08,2.2869532906687226e-08,-2.3340910658399787e-08,3.607994361267968e-09,-2.7689360328335804e-08,-4.5271049861827914e-08,-4.283779211545236e-08,1.2939383659078747e-08,-2.4755136164184383e-08,-3.603330274861406e-08,-4.613809957444802e-08,-1.2023507641973115e-08,-2.5846736776337422e-08,-4.288525459515729e-09,-9.572913078775179e-09,6.130697151092028e-09,-1.225257505764692e-09,2.0945800534328033e-09,-1.4059108609202697e-09,-2.2410453804901924e-08,-4.601163515806506e-08,-2.3323023530433876e-08,-1.1849490750074718e-08,-7.55537293137177e-08,-1.65695171886844e-07,-6.020036845277533e-08,-7.276376738135831e-08
