,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,-8.061080728485383e-10,-3.5595129683571734e-10,-2.395587574630326e-10,-2.690621223859953e-10,-4.870782156388813e-10,-1.3114149899147856e-10,1.1116648069564448e-10,-8.532775509329507e-11,-4.224926490290546e-12,3.600247266798053e-11,-6.249784996191448e-11,-2.2300598370316062e-10,-2.026067395570781e-10,-1.930188168637326e-10,-1.7885713547319448e-10,-1.324257023257934e-10,-6.3432756712368306e-12,-5.4843838559038805e-11,4.2583826606375445e-11,6.60021793354933e-11,4.776969602305346e-11,9.873306771154316e-11,1.4298643326642223e-10,-3.2141172013780696e-11,1.2402341925853987e-11,1.1235806065188064e-10,2.618354752141083e-10,-5.663788791281277e-12,-1.9623540742692188e-11,2.565989324033779e-11,1.5152090348204573e-11,-3.165578784030947e-11,3.9981505467297505e-12,7.502325502528434e-11,8.704610435159182e-10,9.670375976833353e-11
15000.0,-5.642078172423428e-10,-1.0110961890797003e-09,-9.737102275144355e-10,-6.833405275875996e-10,-3.714156230437721e-10,-6.407313499704811e-10,-1.173759908318581e-09,-3.080453561214514e-10,-1.0183622223859588e-09,-8.310123653283182e-10,-3.8566238842797896e-10,-7.40641856123932e-10,-1.0830448380152027e-09,-1.0419542854319403e-09,-3.724169587445267e-10,-4.5041997052179086e-10,-5.840852189996387e-10,-7.423064539577155e-10,-2.906649391540497e-10,-6.536746252127893e-11,-1.0920493878580132e-10,1.1193720181024184e-10,2.4356322348406836e-10,-2.000103459742362e-12,8.478268450526491e-11,2.3220627485032117e-10,2.7798691639128553e-10,3.0276993690383393e-10,2.2121534711728392e-10,3.689449186431626e-11,3.4598027388302626e-11,7.92064807311347e-11,-6.354031730830154e-10,-4.62373939401462e-10,5.743239390547706e-10,6.774134165405159e-10
20000.0,-1.2439494352437214e-09,-3.3294942156197106e-09,-1.3385916908952569e-09,-1.1450844069446431e-09,-1.9139474010225826e-09,-9.55860843607497e-10,-5.47732426989479e-10,-1.07552672647279e-09,-1.6736121073654455e-09,-2.6783369977669146e-09,5.12766618719354e-10,-8.198727029407428e-10,-8.379085392852564e-10,2.913983182696718e-11,-1.9735994471340882e-10,-4.543007693126593e-10,-8.075063255337872e-10,-3.252127556376421e-10,4.2193537635589994e-11,2.3164184241602324e-11,-1.54103658161165e-11,7.796477073093603e-10,-3.119065466782164e-10,5.5468789103065744e-11,-7.736306839880054e-11,1.3138315513259517e-10,3.983301299740615e-11,-1.3770812987555806e-11,-2.3675399003675885e-10,-3.677960353360583e-10,-2.8179237267104305e-10,-4.2867195696815793e-10,9.281105068184875e-11,8.357497745287484e-10,1.9864098096732349e-10,-9.742485486317473e-11
25000.0,3.8014461530452745e-10,-1.9513879407499597e-09,-2.6131078375171675e-09,-2.052703504171157e-09,-9.5660236938613e-10,-2.7378758466706675e-09,-1.2656475312005532e-09,-7.267903208200405e-10,-1.1239419139081415e-09,-1.8105601965337673e-09,-1.7171649702880746e-10,-1.4288291471292747e-09,2.089866191906452e-10,-5.930546550073888e-10,4.9765258266802e-10,1.7063822296724858e-09,1.2888355313399688e-10,-4.0198924505976025e-10,5.830146306621051e-10,1.425888606480394e-09,-6.905482176563362e-10,2.158119269576346e-09,1.6267450004591082e-09,1.368822635000654e-09,3.184730305008988e-10,3.4801325333816576e-10,-7.276070749318084e-11,7.622278632449941e-10,-1.5426617397305446e-10,-5.23619359817085e-10,6.380962003580715e-10,-2.3737172661549737e-09,-2.1522751504274593e-09,-3.325932347960923e-10,-4.6114207759796354e-10,1.3666549284537263e-10
30000.0,-1.8538755392402836e-09,-1.3403471453382201e-09,-2.302403692808269e-09,-1.12639215512534e-09,-8.709004886140112e-10,-2.2355758454938056e-09,-1.1453953340573239e-09,-5.572147773804094e-10,-7.729398779279199e-10,-1.0401602896552242e-09,-1.109574572312682e-09,-1.673851429498655e-09,-4.89035879350577e-10,-5.998520048781486e-10,6.686219208337019e-10,-1.8087163841248622e-10,-1.4713426656903893e-10,5.394173438760326e-11,1.0659549752086133e-09,3.491952135574095e-10,-3.105768345665408e-10,1.9573343670669426e-09,-7.657439588473827e-10,-6.706405072154826e-10,1.6705727677824052e-10,1.6966428511867358e-10,-1.3889744812179876e-10,-1.1997451129623667e-10,-3.711651523538517e-10,-1.356284207765693e-10,-2.5403388158450036e-10,-6.267560938108021e-10,-1.8041647238092782e-09,-7.26204799074603e-10,4.0359961325762435e-10,-1.8372702678236658e-10
40000.0,-9.506632975951305e-10,-4.951596828352852e-10,-1.366389395868289e-09,-8.846442041159784e-10,-8.589170806408391e-10,-1.3152397462059802e-09,-1.27512745394138e-09,-4.4172845684522925e-10,-5.773506180330655e-10,-1.0018012236378463e-09,-1.8248977241025522e-10,-9.949892703107363e-11,-5.253307573511857e-10,-5.4730185297801e-10,-4.748975545705961e-10,-2.1927958879612622e-10,2.0571654523136175e-10,-7.163106072165679e-10,1.60518182012441e-10,3.310837444380053e-10,3.877200998542181e-11,2.0617065800558973e-10,1.5179408295116914e-10,7.534019404380577e-11,-5.426337293340859e-11,4.161211295666559e-11,-3.374502608912676e-11,4.2370166422250065e-10,-7.930629530445747e-11,1.2514399148341782e-10,6.85237771849433e-10,1.7211693841685674e-10,2.9977356965927916e-10,3.188830819752425e-10,1.7569230333584162e-09,-3.829508987426956e-11
50000.0,-6.938832864670447e-10,-5.444882859957611e-10,-3.304532674775846e-10,-6.223111408338272e-10,-1.409328836732851e-09,-8.698898312342254e-10,-6.494859646494315e-10,3.8496193049322365e-10,7.013342242586478e-10,-8.34634122358799e-10,3.6701273375182756e-10,-2.735821240437283e-10,-2.3075816401440187e-10,-3.8087650514512147e-10,-2.187503178718291e-10,2.4531844640466545e-11,-5.7973823725033014e-11,-2.676964691635583e-10,-1.3005798126378728e-11,-1.9053887983056165e-13,-8.329255848278458e-12,-3.539740449123829e-11,-5.131489039406013e-12,-6.06948247926692e-11,9.853252335870355e-11,4.752239041277056e-11,9.957490777890162e-11,1.39972497242818e-10,1.1285562117063797e-10,4.71036607313573e-10,1.905743191975508e-10,2.3413840007562864e-10,9.171776992126004e-11,1.962841363109153e-10,1.3838318959865618e-09,8.017120486673858e-11
60000.0,-5.192141454939953e-10,-6.441811410882362e-10,-1.7552290082934338e-10,1.1676709906546588e-10,-8.731863443590349e-10,-5.5501755224436e-10,6.572223947970457e-10,7.171683227339382e-10,8.269287572299624e-10,-5.954518762512391e-11,5.981204394157647e-11,-4.149705460965595e-10,-2.2421927473604191e-10,1.5047112166665876e-10,-2.875517568696599e-10,-3.003926480106647e-11,-1.0602673964790195e-10,8.034011471592656e-11,7.309025984967166e-11,-3.100457973505868e-11,-1.7762928140432997e-10,1.1529341467770648e-10,-1.070534494403846e-10,6.467975044045592e-11,8.321817229648251e-11,5.4266994725258474e-11,5.37243124634e-11,6.434806818946829e-11,8.820408242926836e-11,3.0081484166815986e-10,-6.811294463427027e-13,5.833768644160804e-10,4.175483525672651e-10,2.592633687830933e-10,7.364614527212716e-10,1.5054819702566467e-10
70000.0,3.737931598141096e-11,-4.636599304238819e-10,1.9969919054220526e-10,1.1567642778961119e-10,4.3052309738213485e-10,2.2756655443500052e-10,3.821041672161378e-10,3.137053757084757e-10,3.340447958091164e-10,-1.63785069099444e-10,-2.0827049654708606e-10,-3.5414216782377697e-10,8.219315371200322e-11,2.860681284369181e-11,-9.863176123473234e-11,7.610912258767091e-11,7.106710437611309e-12,2.1434277430469543e-10,-6.207399980004225e-11,-3.102554909517232e-11,-2.5014867896363367e-11,4.5493831797415285e-11,7.010297431855962e-12,-5.113596415889092e-11,-2.0773192848297846e-11,-2.5070663631394628e-11,3.0467194093052075e-11,9.459494608979726e-11,4.3914250113007856e-11,1.2931661690853378e-10,1.5050848120336835e-10,2.776969377455226e-10,9.034973229181677e-11,6.43880890422126e-11,4.896035310912474e-10,5.790629686641117e-10
85000.0,-1.647023978181429e-10,1.8147129995091476e-10,2.211393573092949e-10,5.054404909714298e-10,1.0850203965712499e-09,6.604960636566045e-10,1.7925113181636418e-10,2.1006355201935867e-10,5.768288339836687e-10,3.768879774035852e-11,-5.082240176122234e-10,-1.2908114034181385e-10,-5.1219172963615245e-11,-2.9371114616034064e-11,5.648589463451488e-11,-5.334959432237074e-11,9.546294603387489e-11,2.1789565134469807e-10,8.62217152389088e-12,6.622231286620279e-11,-3.953915141806089e-11,2.042255842765477e-10,9.104128239402294e-11,4.627323743730974e-12,7.746003622008998e-11,1.802847591888708e-10,3.3261315257445e-10,1.4066753333821714e-11,1.4703403046762058e-10,1.321163116311007e-10,3.10163167118645e-10,2.712187090336765e-10,5.360657626551553e-10,-4.3490598679809596e-10,2.160185892246063e-09,1.30547104269369e-09
