,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,6.485581799154929e-11,2.0067159829343355e-10,8.367086936604193e-11,-5.914713232562719e-11,4.038519940954926e-11,1.0612367128475629e-11,8.30384889688832e-12,-2.428166018504969e-11,7.079726120663147e-11,-1.2972313175018227e-11,-2.0101935608424564e-12,4.1946288322681384e-11,2.7877450956229602e-11,4.811672138279728e-11,2.336731332298762e-11,1.0422946004275689e-11,2.5170256333598566e-11,2.9848520132606414e-11,-1.3679845092766142e-11,2.314649573630818e-11,-1.325165871122779e-11,5.19067685933868e-11,-7.303865008674501e-12,-5.576044418863033e-13,1.205095060868885e-11,-5.698716908074525e-12,9.29640499570158e-12,-9.613286100715645e-12,2.105461002195101e-11,1.625106773478139e-11,8.783986443270726e-12,-2.917041583136003e-11,-1.8419780786002536e-11,1.2423860595694418e-10,-7.52227271161124e-12,-2.0494048225267377e-13
15000.0,-4.869747502212505e-11,-2.3867960290262125e-10,-3.328033899136842e-11,-8.206750805269393e-11,-6.524748601652462e-11,-8.945334004715444e-11,-9.415052315043624e-11,-9.483003191103874e-12,-4.649428181763061e-11,-1.0075523286789644e-10,-1.6899286813540415e-10,-2.6506753692611087e-10,-1.54939859348716e-11,-7.877577756917384e-11,-4.026967879270467e-11,-8.482367582950449e-11,1.4171018189627893e-11,-5.733727175244903e-11,-6.655557293870305e-12,-1.7837691146841158e-12,-3.2790034987901674e-11,1.1855962300613543e-12,-3.032890339156906e-11,-1.5762378167397114e-11,3.414082004199739e-11,-1.079022947761173e-11,-2.3484415896305006e-11,-4.0823285655445035e-11,1.5229536926410008e-12,-2.4705582348933304e-11,-9.478389777153873e-12,-1.0658536541350146e-10,5.7617800143768876e-11,-2.6758456922027976e-11,2.4772185080786733e-11,6.366869959941782e-11
20000.0,-2.3926993107601643e-10,-1.241546668661409e-10,-1.9058210500118015e-10,-2.1835469338037235e-10,-1.2417921834156397e-10,1.2463652003102034e-10,7.999623066445899e-11,-2.1334551774777815e-11,1.3263019876347833e-10,5.115643471936189e-11,-2.0994797650967587e-10,-2.564826648183826e-10,-3.184316920233511e-10,-2.0250267608015304e-10,-2.2872679359008612e-10,-1.2290038282967486e-10,-2.2750382030927357e-10,-1.9115530728388702e-10,-5.660822901291769e-12,-7.846154489219014e-11,7.237976329346807e-11,-1.5658166112684364e-10,-1.2106774332723956e-11,-5.5558689801592503e-11,6.038567758677934e-11,-4.239898951210736e-12,1.6791740157085612e-11,-1.1198462599551337e-11,8.859677749863138e-11,-9.432980106075852e-11,-7.546233944447086e-12,-4.5836012320868496e-11,-3.862035654186674e-11,4.779261371419865e-11,-1.330933196125798e-10,1.8711187868939617e-11
25000.0,-1.0543736361532272e-10,-1.6540107866053914e-10,-1.8234300638784754e-10,-2.6445798243282946e-10,8.675589349965025e-11,-9.712617949215618e-11,-9.965546165894622e-11,-1.6231869277022453e-10,-4.6222009386582546e-10,-1.9164844396311895e-10,-5.61550315360548e-11,-2.74800451960515e-10,-1.545109368705194e-11,-9.678993854755466e-11,-4.639347077276113e-11,2.982399677045278e-11,-1.2661143706912214e-11,2.8105699640424843e-11,5.568869481233094e-11,2.6754887227553352e-11,-6.088503989887128e-11,-7.117593139679016e-12,1.2248024984372783e-10,7.84901283039268e-11,-1.7722365376274094e-12,-3.341977126413097e-11,-5.2088822788236726e-11,-9.251477003835719e-11,-2.424117384896509e-11,-4.988210218022126e-11,-2.1918249265915423e-10,-2.491985295837098e-10,-3.4187699731884887e-10,6.832129236629429e-11,3.768084571517089e-11,1.2101149105608335e-10
30000.0,-1.9790484632952697e-10,-3.911178203976906e-10,-8.336497246318425e-10,-3.370467678913379e-10,1.4280130590082935e-10,1.4463455762893333e-11,-1.1530170017354238e-10,-6.769953648479021e-11,-3.0926705254970865e-10,-2.8532172992367176e-10,-9.284559515193805e-11,-1.1510971833102603e-10,7.294359690630783e-11,1.0445682165312146e-10,-2.475054853164009e-10,-1.038028746017893e-09,-2.7573713785969033e-10,3.1336135213461126e-12,-1.4386816815853764e-10,-5.0034842344857915e-11,-5.945411232620985e-11,-3.810089829697179e-10,-1.7518749048645078e-10,2.0221384468080019e-10,1.2595031341869164e-10,-9.852524964853058e-11,-1.6607129972119637e-10,-6.649007027233922e-10,2.4519479692962758e-11,-1.2469406235070645e-10,-8.140202361618713e-10,-8.023281992359906e-10,-1.0940685417549566e-09,2.1107096982283307e-10,2.0398692043091818e-10,-1.2670704185880788e-10
40000.0,-1.6774194333450504e-10,-6.248920405536812e-11,-6.930144323553135e-10,-7.445179253635978e-10,-2.912635468360135e-10,5.991051736465904e-11,-3.6950526670212325e-10,-5.182454655272337e-10,-1.6736545282210234e-10,2.059271574466234e-10,4.754140817602227e-11,-8.997800621033222e-11,2.7706764594556004e-10,-9.404597750134344e-11,-3.784907254160748e-10,-3.1133016789411276e-10,-2.865198553193325e-10,-4.0736284783041564e-10,-2.0389733316264366e-10,-2.455580192832503e-10,-4.579590402991287e-11,-5.638978937541684e-10,1.633969573062957e-10,-1.651873675015217e-10,-5.4867212485788104e-11,-6.34913120758973e-11,-1.414729874732944e-10,-1.5209362623284054e-10,-2.5546532967539733e-11,-5.953072085703677e-10,-4.282130711186916e-10,-7.528101513655513e-10,-7.614499356007774e-10,-8.562819999347854e-10,-8.85373532025223e-10,-6.477328208367337e-10
50000.0,2.2182410526516637e-10,-1.048394945219422e-10,2.5235425619558824e-10,-7.192611230627677e-10,-1.062754147893403e-09,-1.0768356002079829e-10,-6.711534048460112e-10,-6.502832174871838e-10,-5.130704058898037e-10,1.0056065192165279e-10,3.483007908054124e-11,1.0558335255827457e-11,1.3305722724669916e-10,-5.379271309289095e-11,-2.983322661979875e-12,-1.1148833881489399e-10,-1.44372035318097e-10,7.757860543890667e-11,7.85187478883777e-11,-1.3525121526790277e-10,-1.5547708503339016e-10,-4.547908779305351e-11,3.1605028268071284e-11,-3.858597519476719e-11,-4.9390053750730605e-11,-4.401268881984548e-12,-3.712393783592812e-11,-2.6040215281461758e-11,2.8401641413216295e-11,-2.0990819537614979e-10,-1.6802215259232957e-10,-1.9354001733452287e-10,-5.327521037636817e-10,-4.911006500171725e-10,-2.5044866420146997e-10,-2.6414319884994046e-10
60000.0,4.952295165761183e-12,-8.460776782383618e-11,2.278437635550993e-10,-5.047613006512126e-10,-7.852768852281037e-10,-4.5603383873416827e-10,-4.191797407539775e-10,-7.196387054345192e-10,-4.3798154619792584e-10,2.1364409731892337e-10,3.165276018646949e-11,1.757860899896485e-10,-9.49588539023951e-12,-1.3310565674340144e-11,5.980471618543606e-11,3.736516153174643e-11,-7.266208863991879e-11,3.210912472811705e-11,1.4413431101295531e-10,-5.231212062513727e-11,-2.801690034814179e-11,7.74281065568229e-12,-2.5486958290660316e-12,-6.765201958642574e-12,-2.4093026892243263e-11,-4.389021310725376e-13,-1.9228354848936982e-11,-3.830659157144056e-11,7.350041505607471e-11,-5.300550074888221e-11,-3.750384411110862e-11,-2.79226094077385e-11,-1.6895554367949938e-10,4.2292562010608383e-10,-6.125079650079318e-11,1.588269043982952e-11
70000.0,-1.9927928675280673e-10,-1.5550730907835603e-10,-1.1042879408494288e-10,-4.859388372258578e-10,-4.097427701616709e-10,-3.714327568672171e-10,-6.60127668888663e-10,-7.342911387774652e-10,-4.5632224232645476e-10,4.550304261539383e-11,-4.987155118299654e-11,1.2067063729118408e-10,5.433736781891699e-11,-3.0165094055663816e-11,1.0900724434916852e-10,-3.2501034103979175e-11,-4.2712004845365106e-11,-6.357790731734571e-11,-5.051403298249294e-11,-1.2139211305052968e-10,4.9227415776439203e-11,-2.4388291405276134e-11,1.088699417888327e-11,-2.969244486876579e-11,2.4949281410921092e-11,-1.5543310082027042e-11,-3.649929288508237e-11,-1.1581792089568173e-11,3.313613417476053e-11,8.720423885838245e-12,-3.650634963965338e-11,-4.942659935096761e-11,-6.883806536841002e-11,4.773627888850932e-10,-4.95107691925652e-10,5.008456881793419e-11
85000.0,-1.914799173078818e-10,-7.679962493229465e-11,-1.4081347247816012e-10,-3.796391947869592e-11,-7.202734827930511e-11,-2.334066861085045e-10,-3.908629299382675e-10,-3.6515800903169404e-10,-4.523179055087009e-10,-9.539150214837125e-11,-2.510796447967037e-10,-6.797698369176782e-10,-5.139427769609617e-10,6.599628511780832e-11,-1.7149620705295832e-10,-2.0948038491957482e-10,-9.300553824530829e-11,-1.6714720126088536e-10,-1.8096574620495272e-10,-3.380714584370627e-11,-1.873512949896181e-11,-7.03627812629036e-11,-1.198865849494617e-10,-3.3282962857607454e-11,-5.566179961430063e-11,-3.292841317771098e-11,-3.360111713886293e-11,-5.2059323662835305e-11,6.470399737449182e-12,-9.082737310310509e-11,-4.279691351435137e-11,-8.346738226281792e-11,4.0524758318881564e-11,3.989923395775853e-10,1.1698513349942659e-09,3.41438296991464e-10
92500.0,-1.1100515978025753e-10,-7.792680371516394e-11,9.450559437237011e-11,-4.3451140269028114e-11,2.935115478060381e-10,-3.829144029207977e-11,-2.4664226493149722e-11,-8.810300556848278e-11,-3.118002259151174e-10,-5.6046788500001274e-11,-2.1706124578941042e-10,-4.85678324392754e-10,-1.8092593203861736e-10,-1.1122882025265251e-10,-1.801107919884293e-10,-1.877571336941232e-10,-7.228080502425693e-11,-8.687653351440567e-11,-1.1294520078038772e-10,-2.415491941282569e-11,-4.7508060360891136e-12,-4.372803188349905e-11,-9.460552994529726e-11,-2.8314938882569683e-12,-5.5686508285116766e-11,-1.5130904663168774e-11,-5.186922704856965e-11,-3.361385772224778e-11,-1.1118415532013314e-11,-2.80206754308544e-11,-1.6014185527032794e-12,-4.181757649325848e-11,3.0061940827883195e-10,1.258214684512528e-09,3.6214615806985106e-10,6.638125334460865e-11
