,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,4.088480585837233e-10,-4.406977007047537e-10,1.804742081160962e-10,2.941638062192412e-10,-7.823267019440439e-11,5.4514061713388684e-11,8.866970281392659e-11,-1.1670081893172248e-10,-4.110405748086128e-11,3.084571077630307e-10,-2.1521437617345192e-11,-7.440259144992622e-11,2.119148757909064e-10,-1.12773440650985e-10,-1.3724643322657875e-10,3.552529133693782e-11,-2.6852581671668386e-11,1.6041776993146366e-10,-3.838500477903915e-12,8.38328666950405e-11,-3.4010433635956803e-10,1.9472864678708674e-10,-1.479963643667286e-10,-1.3529744588585006e-10,9.130301981297446e-11,-5.794700122143519e-11,-1.6449781413600436e-10,-3.384186375214704e-12,6.716742403270881e-11,1.4164906744348102e-12,-1.0651950183321105e-11,-1.8785556450431585e-10,-4.6011024278906615e-11,-2.929716406825352e-11,-9.03191016881254e-10,-1.053391302475131e-11
15000.0,9.3906337125954e-10,8.547092165551493e-11,4.48120243661748e-10,1.3712814880673657e-10,2.1013144176648332e-11,-8.674735341186511e-12,1.8967376504564775e-10,-3.019326154374798e-10,3.0098994670171925e-10,8.966297345867378e-11,-1.421705581209552e-10,2.5628133889824034e-10,-2.9291281807106974e-11,9.869399503960482e-11,-1.711082883746919e-10,9.783563169528204e-11,2.6036232349586e-11,1.0359620319889471e-11,1.636640505584736e-10,-1.5350090651625196e-10,1.890210203277508e-10,-1.3338672010010892e-10,-1.5989262994942345e-10,5.716287565766276e-11,7.485827638365527e-11,6.778157193528096e-11,-1.1336673676233546e-10,2.5727128550238284e-10,1.9539621290004876e-10,-2.008844937267903e-10,-7.248934988370102e-11,-6.612918294390788e-11,1.0875836220445997e-09,-1.0177366444558308e-09,8.11905367514655e-10,-3.078142057951022e-10
20000.0,-9.845239093283429e-10,1.8080563823770152e-09,3.0361555777981586e-10,2.1921321775063805e-10,1.332410680607361e-10,6.593791740987424e-11,5.206440255532741e-10,-2.396158496629151e-10,-5.466838892189515e-10,5.044651664462555e-10,-8.955811822202893e-10,-2.113698067541754e-10,4.6351791377314585e-11,-4.6476837184269207e-10,9.029994719678356e-11,-1.7782731643120095e-10,2.270021799936045e-10,-4.683966519019274e-10,1.3867698981170525e-10,3.4178666402022657e-12,3.144437635185533e-11,-1.9685822797321312e-10,2.77773878730432e-10,-1.6832732000881664e-10,-5.442714122443067e-10,1.2440620401525605e-10,6.864026608437699e-11,1.1553248816916079e-10,3.418807060022605e-10,1.657144247345096e-10,1.0966458933932115e-10,3.890416748654656e-10,-5.589594384817325e-10,1.0128947568597233e-09,-6.666951869056811e-11,-7.592047498132129e-10
25000.0,-2.8034851530540512e-09,6.548689500802264e-10,7.922076419189412e-10,5.55601207981985e-10,-6.539705006111593e-10,1.3511296345250453e-09,1.7828685021857717e-10,6.149864194495434e-10,1.362937705271698e-10,1.7049090630912258e-10,-4.020374877734172e-10,6.208073550941652e-10,-5.975184161497055e-11,3.1188324779982966e-10,5.852480526376939e-10,-4.0376031394063425e-10,9.512639199732225e-10,-3.2359197532931857e-10,-1.1151570683729469e-10,6.101600427840583e-11,5.167497920428947e-10,2.886913695360488e-10,3.754393356363204e-10,-1.9600686673988317e-10,-2.3868282512628077e-10,3.1895047859452655e-10,1.4977108419802143e-11,1.0745850280133489e-10,1.0994851263419962e-10,1.676519106825046e-10,-1.8514180893069943e-10,9.605668002671189e-10,6.985226902880071e-10,-2.517387140288176e-11,-8.933781702884157e-10,-5.43529194598208e-10
30000.0,3.524252607369794e-10,2.1102963696834205e-10,8.043803700958961e-10,-3.852118465238636e-11,-7.595480876187264e-10,9.534311068120677e-10,1.790767576998592e-10,3.704857111584148e-10,6.412789766317358e-10,8.080622554317611e-10,6.520922609516834e-11,1.318011073889546e-09,8.044038358355221e-11,4.587444352469902e-10,5.684715040258654e-10,3.020897720964267e-10,-1.7877034994684874e-10,-2.481386193593392e-10,1.6724914518056503e-10,3.6223611409068397e-11,1.8412341336387614e-10,-1.665362709023228e-10,2.1269254970504438e-10,-5.613768247432524e-10,-1.8867497421011512e-10,1.4593535186717136e-10,1.4677097706718882e-10,-2.169613051924382e-12,2.462193412254694e-10,-4.2274770646331324e-10,6.584058526914895e-10,6.894884763664463e-10,1.2750724636819646e-09,3.340860793951239e-10,-1.89161774198458e-09,5.933641553991335e-10
40000.0,5.210215279456657e-10,-4.1315720976098556e-11,4.749066302628176e-10,5.856752720357519e-10,3.758427329583423e-11,4.0374305980852126e-10,7.552363917468226e-10,5.88252090481833e-10,2.2781816038816396e-10,4.4029587179532953e-10,-5.080583769628503e-10,-5.327090866177908e-11,7.437316338733311e-11,2.3481398257995197e-10,3.8732483597502105e-10,3.7092915918543163e-10,3.4873001171680797e-10,3.1141031037112254e-10,-1.8512752640165336e-10,1.248277951355174e-10,2.540972061931161e-10,2.5909375849402767e-10,-1.3026871867765704e-10,8.803644776878662e-11,1.788240988161345e-10,-1.602867270642902e-11,3.196774486179391e-10,3.3862857051108616e-11,5.277542369754252e-11,4.187198431879506e-10,7.640227649571295e-10,-5.856648009762075e-10,4.321654875472028e-10,1.5666151066431413e-09,6.449792866807757e-10,9.514812956616688e-10
50000.0,-4.087168214676591e-10,-1.614394392640626e-10,-9.668429946732067e-10,4.534945597490198e-10,1.3387469693485497e-09,2.6826774375734485e-10,6.557750972519894e-10,5.749339098504417e-10,6.885391352537592e-11,3.76239381344533e-10,-1.748897152263828e-10,3.376188896655291e-10,1.557414061045894e-10,3.923034344845638e-11,-4.7314746876265286e-11,3.2482671447700353e-10,-1.4928008120242548e-10,2.0704743077978133e-10,-4.935754104141467e-10,-1.0595924849419077e-10,4.1677048070216164e-10,-6.962397883920439e-11,-1.6883395580062203e-10,-8.552913854811424e-13,-3.6206954031075583e-12,6.3879538245080374e-12,2.3899377547467913e-10,4.59760491766038e-11,-1.2137268740152068e-10,3.663122055551924e-10,2.6736543220738977e-10,3.3396082193992634e-10,8.144338466807281e-10,1.521311412870881e-10,-2.242966733708068e-10,1.2332077784297558e-09
60000.0,-5.191376063160285e-10,-1.83731934754406e-10,-5.11801239225555e-10,2.322323406328421e-11,1.467767260066639e-09,4.2322258576856597e-10,1.190690233937728e-11,8.15172116561073e-10,-1.0637319233889776e-10,-9.486638023056341e-11,3.6938870494990524e-11,-4.2783414022638414e-11,-6.666440186830575e-11,2.102094172290715e-11,-8.635692106841737e-11,6.268692323503016e-11,7.075399382292797e-11,3.3335125787688955e-10,-3.2944419830195655e-10,3.3865998232367124e-11,-2.5465764680417415e-11,1.8991362321997371e-10,-1.5866817032822749e-10,6.056539943588218e-11,8.661175767731301e-11,-1.086803680291652e-10,9.556496137844404e-11,3.9206889588681384e-11,-2.069397373373811e-11,3.243088755411938e-10,-1.7776881706462336e-10,5.627895860252685e-10,2.491166165999649e-10,-4.0049218299570823e-10,1.0780190202232554e-10,9.248536668450747e-10
70000.0,-4.322128725854002e-10,3.089082113882671e-11,2.7056155107428533e-10,2.847914205789058e-10,7.441272716218421e-10,6.990593007644251e-10,4.734501126461387e-10,8.225593305149082e-10,5.045403462509206e-10,2.8547301414640874e-10,-1.5801245132010673e-10,5.224543030756678e-12,-1.2347232504016022e-11,-1.0953922418253824e-10,1.3488390576630617e-10,1.5810259809590745e-10,2.722888981531173e-10,8.624910992245002e-11,-1.4265737024667368e-10,2.2951886346562107e-10,-1.069553508969232e-10,-1.2302135924174128e-10,-1.2032363765442984e-10,4.017446645753395e-10,-1.0633595642742704e-11,-8.41608217080411e-11,8.207109318116858e-11,-9.899149997126644e-12,-1.598227565721311e-10,1.0105679530894797e-10,-5.0043637645608344e-11,-1.4026972447683802e-11,7.363455560551031e-10,-9.227441224228013e-10,3.017663561923783e-10,-1.5827388117021627e-10
85000.0,1.4393863830821759e-12,2.6043817407203107e-10,1.982526959574506e-10,2.359311453908351e-10,-3.29860089887749e-10,2.883551508459991e-11,1.7322565819260355e-10,1.8557666974491135e-10,3.1905667457471e-10,-1.6194023279676778e-10,2.0982372577848984e-10,-1.5006537276043667e-10,1.0504199167497697e-10,-2.4665075500020056e-10,1.6303369128841037e-10,6.551209596078017e-11,1.0003838514891547e-11,9.356569455534593e-11,9.060547735438527e-12,1.0041704016747251e-10,9.245301501843423e-12,-1.5701515732068097e-11,1.5807861244980253e-10,9.316471235864026e-11,1.6063556396312775e-10,-2.058199500713123e-11,-4.0533547603098154e-11,7.489530892460371e-11,-4.823131523419205e-11,1.513094529980809e-10,2.2804674647562167e-10,1.9759411004993846e-10,6.038556850699764e-10,-4.3388020668888406e-10,-1.7660010042646033e-09,-5.220186173435252e-10
92500.0,1.6532225173067985e-10,-1.3665556330352224e-10,-2.1844232404308677e-10,7.384745524263614e-10,3.5901367681530464e-10,1.7616592713388922e-10,3.878982316054832e-10,1.9241210737929673e-10,4.223678671627223e-10,1.957187659354441e-10,2.428221275173486e-10,-2.163592035181845e-11,2.2234937620134477e-10,5.782481089714263e-10,5.575134241873063e-10,3.038658193905482e-10,6.03796660297632e-11,3.621341035387271e-10,1.5638831660704978e-10,3.633995586263481e-10,1.506650829789065e-10,1.9929204485518777e-10,7.485838799737315e-11,1.5408836762622512e-10,2.2218839628059134e-10,1.4892799329185407e-11,2.8005798555810845e-11,1.2930330514217435e-10,2.2232515837196614e-10,2.434195198802979e-10,1.2358053502374066e-10,4.921295794176622e-10,-2.514730453245497e-11,-1.6214339138055398e-09,-1.626434264170767e-09,3.4281513545668626e-10
100000.0,3.8997481380691945e-10,1.4105233133020492e-10,6.455215368528138e-11,7.477085995237022e-10,7.921039305832691e-10,3.048362012761502e-10,5.777049460911801e-10,3.651577141064615e-10,8.005957432043397e-10,5.474262022610739e-10,8.336759272486288e-10,6.780883203739481e-10,5.929204298264924e-10,7.592706900018694e-10,6.969649385777373e-10,8.263405869591267e-10,3.6576468623551266e-10,8.849113338532887e-10,2.9032886977086027e-10,7.912187908979027e-10,6.240424649958602e-10,6.657540079081273e-10,3.5659837115418886e-10,4.2535799727939645e-10,3.6514597427215565e-10,3.376979391234545e-10,2.543475389590592e-10,5.744084184566412e-10,5.611793530860166e-10,6.638900091943792e-10,5.53223191281236e-10,9.222583872059878e-10,5.914267263768204e-10,2.7414082941679194e-10,1.146556359952635e-09,6.799948321474306e-10
