,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,1.1987872522207474e-10,-2.018201149624531e-11,-8.39316628301466e-11,-1.1067513668065395e-10,9.958095394407476e-11,7.975587974067517e-12,-2.8559808477958236e-12,-4.681546424307361e-12,-7.25420518101536e-11,8.169933429917247e-12,-7.767897673182862e-12,-4.160311026531693e-11,7.032899817865737e-11,3.002172105917469e-11,2.9855031246546302e-12,3.9481113681205955e-11,1.918875814008439e-11,-1.6386034023218206e-11,3.6244483546705386e-11,-7.11736259274337e-13,2.2740203842375973e-11,-2.7348730122527522e-11,3.0099028314310214e-11,1.4230353533790983e-11,-2.613464209672866e-11,5.413149202401779e-13,-1.0567417965867241e-11,4.181298189712428e-11,-1.6530831091813637e-11,-2.58859036219491e-11,4.248106390854877e-11,-1.2293578944915688e-11,2.144896095574548e-11,1.0739785944279264e-10,-1.4938380518674468e-10,2.658637399042745e-11
15000.0,1.5007824851265807e-10,-1.55593075635992e-10,-6.722135598718296e-11,-6.67836018926666e-11,-1.666858265802944e-10,-5.123234902477167e-11,2.8286711687874644e-13,-3.680089091689226e-11,-5.088437981994844e-11,-2.595955076612082e-11,4.611937342997349e-11,1.167526369110812e-10,5.2094521635605696e-11,9.097852883377294e-11,4.527280398859031e-11,4.074860820721844e-11,2.456966758204532e-11,-4.727130260578408e-11,2.1423769003663948e-11,-1.9116190558811807e-11,7.240345503025184e-11,-1.479952704799971e-11,2.2640840995084094e-11,-7.732597205366716e-11,5.354620693699686e-12,-8.477619545818991e-12,2.000592126570341e-11,-4.317104829773271e-11,-2.142186366272061e-11,9.330757088275152e-12,-1.6369474374045745e-12,-1.362172393029449e-11,-1.2240760679825088e-11,-1.5747913283360042e-11,-1.1046513771585024e-10,-7.281174831583448e-11
20000.0,-4.2323524711937507e-10,-4.5992334916926094e-10,-6.193487994163478e-11,1.4269481799875732e-10,-9.526417592222974e-11,2.202199411168246e-11,-1.2020323422155666e-10,1.4073035216501268e-11,3.2858182890759143e-11,-8.300796181100937e-11,8.184437528085662e-11,2.2593997081044568e-10,1.4072681349572056e-10,2.5643139576947072e-11,-6.79773956210652e-11,-1.1776105745754697e-10,3.138198346612557e-11,5.088160885536982e-12,-4.7288705345476747e-11,-6.891774295955766e-13,-1.0104734063551049e-11,5.968336530377545e-11,-3.1906081675729926e-11,-2.7621916718637305e-11,7.6570281248336e-11,5.400052306803005e-12,3.2655664772412404e-12,-1.6447254028226676e-11,-1.7168054663233717e-11,1.0647522247288033e-12,-5.3441847241504805e-12,7.899253913233865e-11,2.4426941121770993e-10,-1.239344956405105e-10,-3.179822600865331e-11,1.0901072588692132e-10
25000.0,1.0774342346898518e-10,1.1004112566113619e-10,1.0124162334014618e-10,6.561829547393353e-11,1.4049648258487623e-11,-1.0329817166507724e-10,1.699232297761241e-10,-3.6162694993154044e-10,-3.40135082743972e-12,1.973775994805097e-10,1.6418531478332487e-10,-8.028356515190243e-11,-1.3759320416787274e-10,2.3259362433445737e-10,-9.21407446723716e-12,-2.1096933228449127e-10,1.2036376729787794e-10,-2.76691975118052e-11,6.684882318325807e-11,4.005106922341308e-11,9.319282462032637e-11,-3.305710528613228e-11,-3.4384728194619995e-11,-6.583160468975747e-11,6.1035229030063095e-12,3.7331145097244856e-11,-8.248988977774467e-12,5.965052330749266e-11,7.068788820003304e-11,-1.0501937419175843e-10,2.6363975653086124e-12,-9.700799196184256e-11,-1.256220410395816e-10,-8.43677657316516e-11,1.3481899995889411e-11,2.9838426289291097e-10
30000.0,-1.4340579225585234e-10,2.4469405752654825e-10,1.8945799526398823e-10,2.453759216837925e-10,-8.111853846707093e-11,8.95731939166811e-12,-9.002139457173583e-11,-4.936043595548091e-11,-2.3549776751917833e-10,-1.254126692475945e-10,1.9012784113624056e-10,-3.1963088273858553e-10,-1.120638389378421e-10,1.9743490294184367e-11,1.0280865734969741e-10,9.043686593891492e-10,3.7224785564120507e-10,-1.6831528590382138e-10,1.4137587864353423e-10,-1.2698669407514242e-10,4.7326068381902004e-11,-2.020698841354033e-10,-8.620101991250074e-11,-4.059612196980892e-11,-7.61758701732705e-11,1.2284317936237567e-10,5.908874863367883e-11,5.53245889901137e-10,5.592891966485057e-10,6.758006394276671e-11,1.5629970890750588e-10,2.705528000066693e-10,-1.3032209076871363e-10,-2.9267990478397357e-10,-8.053662028849715e-11,-1.2267045089297403e-10
40000.0,-2.4799715593685216e-10,-1.6103333862481846e-10,1.5377273297948333e-10,-1.9292656778275617e-10,-1.0196739259713236e-10,-4.3439750568512384e-10,-2.875461797847524e-10,-9.012394355701063e-11,-2.1665539162107268e-11,-1.8301046436935642e-10,-9.907093693067726e-12,-7.56324536980942e-11,-1.8235830144804856e-10,4.799657976567627e-11,4.79464894090527e-11,2.114914946242558e-11,2.969448386419448e-10,2.5285852251197833e-10,3.422751280074482e-10,1.273258085916749e-10,1.1432357438203205e-10,3.9677005100544064e-11,-1.0859249138503332e-10,-7.583055883930496e-11,3.045789292176208e-11,-1.5730984970177212e-11,1.4216175853987374e-11,9.042401992174153e-14,1.2757336163913834e-10,2.941923380091219e-10,3.408845603346406e-10,7.403497917785384e-10,4.752920657587403e-10,-9.547879717615665e-10,-3.833648337310039e-10,-4.293156236057271e-10
50000.0,-1.0393111369357121e-10,2.4427035726773116e-10,3.21794488652733e-10,3.0819082366764145e-11,-3.738427705696501e-10,-1.2199517756719988e-10,-1.3523941740474271e-10,1.3533469787478742e-10,1.3541837068024168e-10,-3.418939298881887e-11,-4.03607675945696e-11,-7.52131670561863e-11,-1.1368118858885349e-10,3.398257186991563e-11,-6.54361440554896e-11,-1.431097282041099e-10,2.1502134831404274e-10,-2.954359835515978e-10,1.2742495831976304e-10,-1.0428945146659006e-11,4.292131779449891e-11,4.3788306279505215e-12,1.1515966252808975e-11,5.9726095821355085e-12,3.702826505896281e-11,-2.4941370521729352e-11,-6.06673474144297e-11,-9.068268379660987e-11,-2.3814972992021405e-11,-3.104334214987218e-11,-2.5147758542987397e-11,1.3073624907992105e-11,3.8203265918522026e-10,-8.786047585143263e-11,-6.194936631325907e-10,-4.5314559097035124e-10
60000.0,2.0078835228320931e-10,3.666237230296207e-10,2.7409294287100504e-10,4.109593035835894e-10,-9.564556672921088e-10,-1.5025974009461497e-10,2.7498067706271245e-10,1.3611957105277975e-11,7.323059712592075e-11,-2.7931618094287657e-10,-1.1052995190341176e-10,-2.0915549580399817e-10,8.06899292868923e-11,1.1419462169005666e-11,7.509367294756262e-11,-1.17257958355776e-10,3.313071562629748e-11,-1.6845442077551715e-10,7.168263489556736e-11,4.4169696626564886e-11,-3.2951578595348524e-11,-2.3651841240033225e-11,2.9003243005782236e-11,-2.628667219092579e-11,1.596718093018405e-11,9.765928031118493e-12,-2.783504933313556e-11,-4.80433085152055e-11,-4.5193082518010055e-11,-1.1291108580488586e-10,-1.6074798523198739e-10,-1.0771908407411123e-10,-1.453218524708081e-10,-2.45621529088299e-10,-3.9748912518245735e-10,-5.869447876729522e-11
70000.0,1.8537329535496134e-10,8.225447063048408e-12,9.485565931251709e-11,5.231951855904632e-10,-7.428846046500801e-10,-5.105096174832141e-10,2.1966659559061175e-10,3.795656092772755e-11,-8.460970973128016e-12,-4.9759441773256474e-11,3.8087408694292537e-13,-1.2094138356883838e-10,-5.3472187548797604e-11,5.5717938870135037e-11,-1.8843025828319525e-11,-3.911353685094382e-11,1.3659869731504552e-11,-6.113175913916204e-12,1.2629291303659197e-10,1.1597310296791496e-10,-1.9424864674762758e-11,-1.043980320603962e-11,2.229478662152546e-12,-7.280640452989853e-11,-2.0323166352506496e-12,5.628612851635815e-11,4.226982625374028e-11,-1.7074395244269706e-12,-4.662053606814841e-11,-9.800136003139509e-11,-2.0418843529654913e-11,1.070503596050573e-11,-2.0020797063986234e-10,-1.3571667022496363e-10,8.858537063901012e-11,9.250965352510018e-11
85000.0,-1.9572972352951838e-11,-3.376040232829198e-10,-6.972592679041841e-11,5.304329032342958e-10,6.416227836836131e-10,2.182097363164188e-10,3.6270804848202585e-10,3.551572316668857e-10,2.462976353838751e-10,-1.8636631414751445e-11,1.354002401052836e-10,7.630868039593625e-10,3.2373358359173273e-10,-3.50843249014045e-11,-5.785900180962928e-11,1.544586145743855e-10,5.153172286136243e-11,2.5498397455921036e-11,7.16653542242917e-11,-2.7021953080305955e-11,-1.4600209621391978e-11,1.0164679124105366e-11,-5.73276086686568e-12,-2.671362450811433e-11,-4.761569379018616e-12,5.178425415159014e-11,1.542000430250663e-11,2.901471819849115e-11,5.698336937846614e-11,4.618203503387067e-11,-1.3247110666331407e-11,-6.496999640322644e-11,4.854690093283893e-11,5.014878589275131e-10,2.67956714442759e-10,1.3038010915612646e-10
