,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,-1.8674097006111783e-05,-9.082762864116704e-06,-1.6581048730000964e-05,-2.0210286426117753e-05,-1.6725776782076477e-05,-1.2779306273903368e-05,-1.3135786540682257e-05,-4.956670671237519e-06,4.303245103739787e-06,-6.352607033006332e-07,3.035404512127808e-07,1.4397339439791682e-05,1.0247116619256861e-05,3.8369534551656035e-06,1.0059920436230476e-06,-4.815272411883083e-06,-2.4977666518861602e-06,-5.825687754354668e-06,-6.472338932521943e-06,-7.920608238253314e-06,-7.766607469795408e-06,-6.023734473863157e-06,-7.589142793419133e-06,-7.03430008199189e-06,-4.598057658182905e-06,-4.197509089576274e-06,2.0680297163377575e-06,1.0320707633225721e-05,1.3695313168986784e-05,1.811349631015902e-05,1.4245479850829912e-05,1.4597233637417182e-05,1.0875535844130782e-05,1.0755938153013197e-05,4.742156474133182e-06,8.492429100534985e-06
15000.0,-3.2776215826566206e-05,-3.953814347277921e-05,-2.810305182993324e-05,-3.24895855319646e-05,-3.2661974014708736e-05,-3.4815221940535345e-05,-2.515509127022903e-05,-1.3633727027129032e-05,-1.4084349463273665e-05,-1.9278729802336304e-05,-2.9645718330467716e-06,5.516238669554557e-06,-1.5200164288351757e-06,-8.803431880222779e-06,-1.5752548964125616e-05,-1.5810087737362534e-05,-2.1217015587082362e-05,-3.09371194228303e-05,-2.482491508700936e-05,-3.143902573442928e-05,-3.19081600546971e-05,-3.686397266410787e-05,-2.5920728841549792e-05,-2.181431588488029e-05,-2.4858099366780935e-05,-2.350933944253838e-05,-9.983991487941618e-06,-6.979030162309084e-06,-4.379221993117473e-08,4.96405544581152e-06,2.9132368356196383e-06,2.2542720390563464e-06,3.9036785226176245e-06,-1.8805472611078386e-05,-8.974945229567978e-06,-9.476062052919945e-06
20000.0,9.202582626119065e-06,-2.1563138570547154e-05,-1.899257972210505e-05,-3.554468901636911e-05,-3.8520865933019826e-05,-4.156754029669963e-05,-2.8411406596384365e-05,-1.9097302094972685e-05,-1.9225021054794535e-05,-3.8317644967615495e-05,-4.534745096269261e-05,-3.565100418482896e-05,-4.5839640622453705e-05,-4.4879631878025376e-05,-5.0082925878817936e-05,-5.546582458304817e-05,-5.605512930958683e-05,-7.474954832039552e-05,-5.032601131279229e-05,-5.49870914462822e-05,-5.888750375046522e-05,-6.625642199898785e-05,-5.3287233553460974e-05,-5.730885321997503e-05,-4.5034761952502825e-05,-3.0106755863613835e-05,-2.309719185031777e-05,-2.0941008618348885e-05,-1.6888289329897665e-05,-2.082235276522768e-05,-9.285931169891496e-06,-2.3802368837286868e-05,-1.278857691138378e-05,-1.6332580682373163e-05,5.427795119652786e-06,-1.4858565060826986e-05
25000.0,1.17388894158203e-06,-1.1369283693675347e-05,-1.220471726154118e-05,-3.039374564646259e-05,-2.530532504515014e-05,-3.0489004463972847e-05,-2.8450397977805805e-05,-1.572615677514785e-05,-1.783651660065295e-05,-3.850004076798819e-05,-4.983494849327113e-05,-4.446343537202077e-05,-6.56502248772583e-05,-7.058114380699613e-05,-7.539084654537486e-05,-6.597276259851001e-05,-5.2539972344927264e-05,-8.510057114625209e-05,-5.0484151248002295e-05,-5.766629340622347e-05,-6.611492745386903e-05,-6.388006110443158e-05,-5.720648565853637e-05,-6.87208012541622e-05,-4.8072488246350776e-05,-3.522952874471139e-05,-2.397693014877087e-05,-1.6999976101176176e-05,-1.0839031392916916e-05,-1.7808363354271736e-05,-9.134483044815137e-06,-6.617770770319479e-06,6.562925339845472e-06,1.889698278630666e-05,1.3704843343103364e-05,-4.8356441819959684e-06
30000.0,-7.971409340878141e-06,-2.0187950273094055e-05,-1.6646200132719424e-05,-2.8359039684084873e-05,-2.8752776768112788e-05,-2.2605156339992213e-05,-3.0927866855326057e-05,-1.6186483867049754e-05,-1.8398944818993376e-05,-4.70675926077901e-05,-5.6052452620542356e-05,-5.503715490806581e-05,-7.223762951499956e-05,-7.316445101120656e-05,-8.138979168319969e-05,-7.798929301465333e-05,-5.344780134861811e-05,-7.353449225312115e-05,-5.129054713972023e-05,-5.013887466619616e-05,-5.9267792327967776e-05,-6.119853073201467e-05,-5.0481681982858634e-05,-5.79532771825972e-05,-3.8213360759006844e-05,-3.0208639837612996e-05,-2.9621186645279696e-05,-2.5727457896962527e-05,-2.933792764001468e-05,-2.9416881546458313e-05,-2.041475482653615e-05,-3.235517242522487e-05,-2.7156849638171883e-05,-1.4078168250041637e-05,-2.100788329327225e-05,-5.125743596380342e-06
40000.0,-8.615653541173996e-06,-1.1046454074687461e-05,-2.6105679674616662e-05,-2.592720439959733e-05,-3.1065966686854325e-05,-2.6333290888248998e-05,-3.225150127173353e-05,-2.8032909020388044e-05,-2.779508297109988e-05,-4.6814689760475275e-05,-4.695928502136232e-05,-4.5562744277353604e-05,-5.97727534811139e-05,-5.997936181146067e-05,-6.197047368242689e-05,-7.561762757784133e-05,-5.1063955522936845e-05,-8.347496847366797e-05,-4.460689779883413e-05,-4.541842344530588e-05,-4.4262541143528e-05,-3.8503249576524724e-05,-4.2375264543447695e-05,-3.3765908905977526e-05,-3.119766101476522e-05,-3.286638270926355e-05,-3.243064985490691e-05,-3.437846830385322e-05,-3.8321815042351374e-05,-4.093315261704535e-05,-4.2578190951084864e-05,-6.066719266034556e-05,-6.680724940531786e-05,-7.065474956520287e-05,-5.736714113089594e-05,-5.820207996029572e-05
50000.0,3.2681385494207993e-06,-1.2057678423018259e-05,-2.16598487733471e-05,-2.7601447780841058e-05,-3.2331942088184996e-05,-3.057934017961285e-05,-3.192380749258267e-05,-2.6048175303894704e-05,-3.091189280822692e-05,-3.702802015583505e-05,-4.865831123143458e-05,-3.5210143184564306e-05,-4.39254237854245e-05,-4.5989030029205315e-05,-5.6674980165983384e-05,-7.354898024864069e-05,-4.764917109603756e-05,-7.038228957969793e-05,-3.734373830255359e-05,-4.321229923169228e-05,-4.567965623195542e-05,-4.826651675695019e-05,-3.6876800985584436e-05,-3.8625501431945686e-05,-2.8834261729853968e-05,-3.340134847197858e-05,-3.20143832734836e-05,-3.7940243368859414e-05,-3.694482518605018e-05,-4.8978601091446946e-05,-4.6278991337966035e-05,-6.391090158774164e-05,-8.040811333669965e-05,-8.675444999530618e-05,-8.76958475320204e-05,-6.884839879795041e-05
60000.0,6.189107313112445e-06,-7.683758268985905e-06,-2.1657313980141277e-05,-2.8202984017612658e-05,-3.5857738258743186e-05,-3.0687067531589776e-05,-2.6429722543858885e-05,-2.405805201225402e-05,-3.1924044008139846e-05,-3.40230307452809e-05,-5.023798258961424e-05,-3.337454282501332e-05,-3.7578547022927916e-05,-3.976354887245659e-05,-4.791408081495551e-05,-6.301636612097494e-05,-3.6250567186143254e-05,-5.935438994322277e-05,-2.991933376051436e-05,-4.910226136710134e-05,-4.366319023720275e-05,-4.459762078013121e-05,-3.544492360050864e-05,-3.536059076712767e-05,-2.6729664409645205e-05,-3.0257608580199796e-05,-2.9509763467185364e-05,-3.382335348883261e-05,-3.991926938004037e-05,-5.0611786164561206e-05,-4.680993668530082e-05,-6.575404488251545e-05,-8.341482562275705e-05,-8.535668040755337e-05,-0.00011051559310852567,-5.914086173191824e-05
70000.0,3.0550268653712273e-06,-7.3299332129764135e-06,-1.8534352451235405e-05,-2.9504748464201015e-05,-3.368463172697652e-05,-2.8946136024694137e-05,-2.85356466496429e-05,-2.6073999130662756e-05,-3.352363963770635e-05,-3.996532304826685e-05,-5.0237265548275955e-05,-3.2597962028053024e-05,-3.76909460872762e-05,-3.7536906835648736e-05,-4.0158657394467636e-05,-5.816910156620329e-05,-3.08738540920328e-05,-5.4918739060796854e-05,-2.3886952891573753e-05,-4.6333702818416744e-05,-4.77056635772966e-05,-4.7951222276635387e-05,-2.9731534217592337e-05,-3.825227310513714e-05,-2.682473167310989e-05,-3.046518014586876e-05,-3.2713472259501216e-05,-3.781952084296916e-05,-4.471205260008133e-05,-4.684886328285054e-05,-4.693477354610142e-05,-6.863545586411507e-05,-7.912121031121815e-05,-8.368157469247662e-05,-0.00010754646677122702,-4.875246589486632e-05
85000.0,-6.10244486277933e-06,-7.242714507900958e-06,-1.6479491761430306e-05,-2.859469168187685e-05,-3.974685731473652e-05,-2.971591603710889e-05,-3.112977375065536e-05,-2.8713732294261408e-05,-3.4342440350606386e-05,-4.483333067934105e-05,-5.1049745146434605e-05,-3.949437440189624e-05,-3.86675450297612e-05,-3.329611381031126e-05,-3.201508514153646e-05,-6.292554456628482e-05,-3.4031183479329576e-05,-5.554899267163761e-05,-2.2772317203962043e-05,-4.6818987508688765e-05,-4.6040589554835926e-05,-4.541296772124035e-05,-2.91702809022657e-05,-3.5143880071461316e-05,-2.5494467646973304e-05,-3.137405939055801e-05,-3.028589762072325e-05,-3.770774695882068e-05,-4.48706654206834e-05,-5.091169630532626e-05,-4.6482001407661036e-05,-6.717879971435344e-05,-7.677180832706866e-05,-8.300160401742498e-05,-0.00010353094510439648,-3.821022707353156e-05
