,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,7.096369576032753e-11,-1.7474242508266486e-11,-4.002816380483763e-12,-2.6822960017873897e-11,3.904153907629522e-11,3.726046257712512e-11,-6.1797665732082404e-12,1.0841779711832969e-11,-2.3477107197369055e-11,1.6175723828841645e-11,-2.167159743654817e-11,-1.3408141353642882e-10,-1.5310789312189023e-11,2.2311251442860276e-11,-1.9399088484227875e-11,-2.1350228766553436e-11,-6.015796874315933e-11,1.1479420088613062e-11,1.0152605134700805e-11,5.975328600404261e-12,3.571968802928731e-11,-8.10090169402668e-12,-3.6447009877172066e-12,3.880189140351729e-11,-8.708288808449925e-12,-1.5178042583865277e-11,7.575242126281408e-11,-9.67060662251833e-12,-2.6764623900042852e-11,-8.722413784134743e-13,1.2883796721069379e-11,-3.4865793513731796e-11,-3.2939225555724205e-11,8.989766782565338e-11,2.700877871082383e-10,-4.472231657559696e-11
15000.0,-2.2135183569062038e-10,4.922582662070252e-10,1.3139488093034148e-10,6.90048183097112e-11,4.1571717487578504e-11,2.2834734041931862e-10,1.823014855583158e-10,-3.0858122263954974e-11,-2.0110555042687474e-10,1.3156457077349734e-10,8.279645142437579e-11,-5.1249678006662797e-11,-5.483437223232522e-11,7.651956540247455e-11,6.575792751016638e-11,3.01412989455981e-11,4.437225404029312e-11,1.950227224568961e-10,3.3209764637698105e-12,7.197106486107231e-11,-6.773700886566339e-11,9.362658514315096e-11,1.1730015823109299e-11,1.0159813927769127e-10,-5.3891396267752877e-11,1.6996100981103176e-11,-3.277160563127539e-11,9.226609583795255e-12,-4.558044248742503e-11,8.860239305993907e-12,-1.752891847525953e-11,-2.1670250134096314e-11,-5.220906121423966e-11,2.674870951628114e-10,-1.5155671927124914e-10,-2.7426367671075952e-11
20000.0,-3.078804908050267e-10,2.0907098631177442e-10,-4.055561056914794e-10,-6.910332812174321e-10,1.1825114260499169e-10,-2.457458428158653e-10,-9.346680384656054e-10,-3.598638246726624e-10,-3.3477483176172886e-11,6.79656142513557e-11,-4.796957424870989e-10,-4.3158865430479813e-10,1.0377998746758787e-10,6.247119464250291e-11,9.634864129132172e-12,3.45616714252396e-11,-1.0410061510934492e-10,4.2216640038282487e-10,-1.7438230566968964e-10,1.0946051399714156e-10,-1.417783190419397e-10,-4.417875010173103e-10,1.1616443967983661e-10,3.147408286752177e-12,4.4232212234730646e-10,-6.646266387151726e-11,6.368288422653086e-11,-3.999596255528465e-11,5.021334507063149e-11,8.776526321606856e-11,3.1346913013655134e-12,-9.622435670482991e-11,-1.0659057952779078e-10,-3.017725783797039e-10,3.680082262413334e-11,-4.213283336131771e-11
25000.0,-5.024985578664583e-10,-8.861162144421716e-10,-9.758835513875498e-10,-5.538433902187826e-10,-6.518873654434175e-10,-1.3378120800781435e-10,-4.5854927136375116e-10,-8.430640000105134e-10,-2.0021289986516449e-10,-1.3766896618476629e-10,-5.393196843359807e-10,3.947273510031071e-10,-5.73889427011258e-10,-1.082865353216991e-10,-6.514536873419055e-10,-1.8411388894354585e-09,-1.361366337579768e-09,4.179465840169273e-11,-4.593983878259265e-10,-1.4535947066428046e-09,7.105669005281301e-11,-2.1028882048909773e-09,-1.3832798784723195e-09,-1.1501746396222423e-09,2.0706791802237228e-10,-1.4253074808747654e-10,1.0898621905324988e-10,-7.384028068916127e-10,-4.0187212685433243e-10,1.496967512791506e-10,-7.396649564607229e-10,-1.59717226128296e-10,-5.858558945421834e-11,-2.852584002655509e-10,4.85495819131393e-10,-3.954117967782955e-10
30000.0,1.5666982687764926e-10,-2.932017835392324e-10,9.36536382788077e-11,-3.7923334791562663e-10,2.0246149569459468e-10,-3.009039709336757e-10,-2.512999421709132e-10,-6.222806897732507e-10,-4.026421232287527e-10,-1.5338404540859268e-10,-1.029402790348985e-10,2.686442164678405e-10,7.480425855552811e-11,-2.548053201867001e-10,-7.220906048701155e-10,-2.697045919782371e-11,-1.2526280362420622e-10,-2.3353368838012943e-10,-8.342979414036416e-10,-2.971288419642277e-10,-1.4148977805058458e-10,-1.1927747026284053e-09,8.717605766964762e-10,5.175402852479607e-10,6.132132543733337e-11,-1.8171634832270914e-10,6.050149305017533e-11,1.7617516733134962e-10,-2.633096317250045e-10,3.4746621067396897e-11,-1.7230873625011395e-10,-4.843516465441263e-10,1.0157796688510209e-09,-9.768832139233976e-11,4.1269818603816214e-10,8.676069769315572e-11
40000.0,1.6237081310537198e-10,3.019836201903302e-11,5.916893824420277e-10,1.0511957928110639e-10,3.067831937225586e-10,2.7602516201066325e-10,1.8635489934709419e-10,-1.1669368425802774e-10,-2.205206049145393e-10,-6.200635473949982e-11,1.0273051656251863e-11,-2.8843892783990022e-11,6.662290087497391e-11,1.7761245851715242e-10,1.935588889238852e-10,3.3695902569613656e-12,-4.6248156474523973e-10,2.860020652641172e-10,6.846034153252432e-11,-6.667296970755334e-11,-1.4452951860725131e-10,3.797377569538688e-12,3.262973476894895e-11,1.979371089568654e-11,2.8413210172002076e-11,5.892949804863889e-13,3.9047154581272006e-11,-1.7913943305786342e-10,1.6554375051785416e-10,-1.0195179979102349e-11,-7.045858261885363e-10,1.071387491449493e-10,-4.161085160992377e-11,6.777914092190103e-10,5.191229716944478e-11,3.56170901487547e-11
50000.0,-6.693688081589628e-11,2.3901463332630886e-10,1.948502028170517e-11,2.2061594104650636e-10,1.0130543880913823e-09,2.6398812569164154e-10,1.8106089767167636e-10,-7.349948120434039e-10,-6.945276532026762e-10,2.586047744085529e-10,-4.727746292960652e-10,-1.313368175408237e-10,5.0535947316312955e-11,1.477428587719899e-10,5.949759492504591e-11,1.9263605861020593e-12,9.190223346677387e-11,8.08026252391291e-11,1.6301280535660674e-10,2.9359815996444976e-10,-1.2385814511400388e-10,8.062051034383033e-11,4.422815928601586e-11,9.271130637586941e-11,-2.404814438993551e-11,-1.409189270873413e-11,-7.927618665226786e-11,8.391180705352682e-12,1.2238738401660593e-10,-2.475759394331522e-10,-9.80643257422023e-11,-2.771963884372674e-10,-2.9706210870456816e-10,6.810278927602983e-10,3.273626302932047e-10,1.213469627687739e-10
60000.0,-2.1589481191269223e-10,8.258018139190358e-11,-2.262108825810554e-10,-3.1789935968259053e-10,6.81498098830565e-10,4.095401975345697e-10,-8.041161435063832e-10,-8.653024180778492e-10,-4.420157768624764e-10,1.2915930054635262e-10,-2.470805229304582e-10,2.208909098427526e-10,2.525402903465197e-11,-2.3216358416464865e-10,7.245931800606849e-11,1.2241134121585092e-11,1.0323227658290836e-10,-2.425250086892164e-10,-3.66786155859515e-11,-9.63233878896006e-13,1.7745237563241427e-10,-1.5525542726873234e-10,1.0021405595718322e-10,-3.807581914007233e-11,-3.249107815653915e-11,3.630616784066928e-11,-9.200003088842179e-11,-1.001045445028079e-12,1.3816757633608338e-11,-2.619693565596733e-10,1.4001802442996483e-10,-7.467932172934846e-10,-5.521731781462882e-10,8.790014462625491e-11,-2.3556361251387815e-10,-1.593920886722714e-10
70000.0,-2.864048654115575e-10,6.428121592353222e-12,-4.281144125602121e-10,-5.111097042524024e-10,-2.842165206369774e-10,-2.1795883050024396e-10,-4.4081526486031544e-10,-3.7241787953793723e-10,-3.129058832889196e-10,2.358209110033542e-11,1.4934190784620638e-10,1.0877199468273609e-10,-1.1124037088209476e-10,-1.7204263559657373e-10,-3.5780779903619806e-11,-1.8558943832558845e-10,-8.64960260901026e-11,-2.0179852933214428e-10,2.5166946062690303e-11,-9.644133794678226e-11,8.744653281758258e-11,4.2229800069629873e-11,1.94108625764903e-11,-7.404588253836658e-11,-3.249127009794739e-11,-4.044637750015764e-12,-1.0707668031930375e-10,-8.823605044093813e-11,5.062169524131415e-11,-1.5304554168017377e-10,-3.0460580509746145e-11,-1.4097701949466383e-10,-3.550216958213738e-10,4.269698766692593e-10,-1.4601804206342399e-12,-1.7003218863168545e-10
85000.0,3.8636252441529446e-11,-1.4665003054708695e-10,-3.512400023612858e-10,-1.0939073641391738e-09,-1.4082921901572395e-09,-7.936870895994974e-10,-2.818855147775306e-10,-3.2347571451053065e-10,-4.4880602802112426e-10,9.083513745273519e-11,1.3290212623190316e-10,1.8110183082713078e-10,1.5946353283092395e-10,1.239406722647436e-10,-1.4561069440577808e-10,-1.7021730171458277e-10,-1.1674595277901688e-10,-2.5923998985476537e-10,-3.2406866213206845e-11,-1.7163058225980788e-10,-3.3778211940647646e-11,-1.0500475170794128e-10,-5.906780840234936e-11,-5.570279357473418e-11,-1.655284247322173e-10,-1.831153478293396e-10,-1.607650942131972e-10,-7.73493193707196e-11,-1.836761490790089e-11,-1.6568613089590893e-10,-2.3183438341533175e-10,-1.2334946236772356e-10,-6.787893946341363e-10,6.569283340424384e-10,-1.098874800875431e-09,-4.5903499215351945e-10
