,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,2.2052576219101204e-10,-1.9491629828141975e-10,-3.011974859383355e-10,-8.080276035120353e-11,8.604963835126994e-11,5.877334408883005e-11,5.4629180179920696e-11,3.1150557933525243e-10,1.9767984178416517e-10,5.023645801342184e-11,3.809339071376047e-10,2.074020398445191e-10,-2.1016764237100343e-10,-1.8361482694596192e-10,-6.732953079732533e-11,3.1458115670755903e-11,-3.2192147653291906e-11,-1.1605817858066588e-10,-1.6096625065318225e-11,7.458959100594342e-11,1.3227533364902046e-10,3.6607225611564075e-12,-2.9058181984957703e-11,1.1211313236018722e-10,4.776499160283793e-11,-1.4945289413586382e-11,1.8242933697986361e-10,1.5625923690660537e-10,7.643826007440112e-11,-4.475067109097639e-11,-4.288244220821996e-11,-7.623726182478069e-11,-5.182774278724733e-11,-2.8932796851141453e-10,4.8834687577669e-11,2.4131270258112285e-10
15000.0,-4.855384869035282e-10,-2.7539759626321643e-11,-1.5782795277107515e-11,-2.1198377089992333e-10,-2.5465507941200143e-10,-8.470709298853153e-11,-1.7066207077338434e-11,-3.413009954098075e-11,-5.2219863720754495e-11,3.1033069113415507e-10,3.290542282769702e-10,2.394504358807433e-10,-2.881842859254582e-10,-2.5120616042216627e-10,5.143638845490746e-11,-7.626497341632101e-11,-1.1689265620796657e-10,-1.0117369957099057e-10,-6.593435356751961e-11,-4.467211083713e-11,3.247821563419294e-11,1.8843630356878584e-10,1.5125636385553e-10,-4.20806560752127e-11,-6.22544469670938e-11,1.3468521498477542e-10,1.3669898512701268e-10,1.075643126763857e-10,1.584964142220899e-10,-2.6227710840917807e-11,-3.264454406513688e-11,1.65688712432733e-10,-5.280804709604305e-10,-2.1223854123772888e-10,4.3622394863946004e-10,1.0874849876779023e-10
20000.0,-2.241819177661308e-09,-6.587749646968667e-10,-5.636398225099335e-10,-6.733767350811677e-10,-8.200974952814216e-10,-3.924440698294237e-10,-1.5934733381905e-10,-2.0935703968962796e-10,-4.051869872643291e-10,-7.201664129761084e-10,-6.601444338842617e-10,-3.9746182592929767e-10,-2.1631851693803117e-10,-1.3402414263439686e-10,-1.010822371580683e-10,-5.526116976080074e-10,-2.1922993866682726e-10,-4.815913944024566e-12,2.350696559874894e-10,-9.286785395806759e-11,-1.2935115438871642e-10,-2.5229351490531335e-11,1.5846052226772134e-10,4.1758889823630946e-11,3.9470503930660867e-10,3.003997014956393e-10,6.561822701326218e-11,8.82654305429584e-11,-5.3229767778470274e-11,9.07878221742226e-11,1.8676336084936345e-11,-4.407763642295921e-10,-1.15848512262884e-10,1.0155906069543611e-11,-9.020302383622814e-11,-2.596448675391944e-11
25000.0,-1.0005393713605324e-09,-4.6555119913438737e-10,-7.34730977927999e-10,-4.845145335981056e-10,-6.853085398755484e-10,-6.560333366673858e-10,-4.5988556114164177e-10,-3.316483484342955e-10,-7.38588102504995e-10,-1.152594677273587e-09,-1.0563839719993027e-09,-1.012120628287246e-09,-5.952891011728488e-10,-2.1443343442735178e-10,2.068512328929476e-10,-4.592172288468444e-11,-1.8313026993138403e-10,-2.497171960269217e-10,2.506300284272693e-10,-1.9650834082559542e-10,-9.478883724199019e-11,-1.7499573940710665e-10,4.0710767070981843e-10,6.21716914544264e-11,5.170127558654382e-10,4.935663761221852e-10,2.8638109415445305e-10,3.494735115515109e-10,-1.8466509863601325e-10,-1.5802158377461135e-10,2.674461393013811e-10,-8.606678704153995e-10,-3.407403748535265e-10,9.040660653019061e-11,-5.361417441161443e-10,-5.987308290185741e-10
30000.0,-6.050283026169923e-10,-4.517153265399314e-10,-5.181590760354394e-10,-3.5336134698096243e-10,-4.029242124408997e-10,-8.313760003834959e-10,-5.489448469579062e-10,-2.9164762659854084e-10,-6.767791967527667e-10,-9.116331159340016e-10,-8.657058449122067e-10,-9.314175979402373e-10,-3.0372561855441846e-10,-2.2308180778539156e-10,2.5817548570616433e-10,2.784143620892894e-11,-1.714328413153755e-11,-9.599375042658821e-11,2.392093478312097e-10,-7.007728850796695e-11,-2.225678482631843e-10,7.567927373967818e-11,1.4300782709205773e-10,-1.263204788879644e-10,3.537886836684727e-10,1.1350463953479356e-10,1.0307244881846658e-10,1.4585574795057544e-10,-1.2870887076350753e-10,1.5925766929972992e-10,1.3751476906033138e-10,-8.446990649797111e-10,-6.162497846112828e-11,3.775389258406699e-10,4.843634916696854e-10,6.712689318547551e-10
40000.0,-3.310141544587327e-10,-5.815145166323903e-10,-4.535499972251786e-10,-2.0617209267797785e-10,-4.225378462657917e-10,-6.867208955489388e-10,-4.837920691685635e-10,-2.9776174496500585e-10,-6.209328760512481e-10,-4.152281901812122e-10,-4.668517701027245e-10,-3.2429731995652655e-10,-1.819693628529244e-10,8.027240664847719e-11,9.66176723409998e-11,-6.732549423097066e-11,-2.7337874597006466e-11,-2.472862150249338e-10,2.4321195764393797e-10,2.0452532337551465e-10,4.531039615333992e-11,8.261070072998519e-11,1.30134605806534e-10,5.221379817844312e-11,1.9346554287173415e-11,1.144573791301237e-10,1.4991730128400988e-10,1.6411919881445365e-10,2.3431522740141223e-10,2.434412312181824e-10,-7.935245868888597e-11,-6.226053907320333e-11,2.837759332478793e-10,7.088474073882484e-10,9.737765280526017e-10,1.0626669609480665e-10
50000.0,-1.0508954476619607e-09,-5.401012323566636e-10,-4.449611132895363e-10,-4.094824094593645e-10,-3.955167578691032e-10,-4.5006792289614866e-10,-3.8906572845398494e-10,-1.7866814331489094e-10,-2.6720110227912744e-10,-1.251965584439547e-10,-4.753333100880352e-10,4.2640229920759785e-11,-9.440429376408358e-11,-1.1684400654140802e-10,9.327147886989087e-11,8.107403334664803e-11,8.426188501403989e-11,-4.68391494007855e-11,2.0549119139829122e-10,1.1827690281987564e-10,-9.116506770824898e-11,5.2658049576478674e-11,5.821806643483587e-11,1.887163508514951e-10,1.3012572181988503e-10,5.571770360948605e-11,1.636799341433415e-10,1.6926151686596395e-10,3.3410501790930585e-10,2.4430163953602715e-10,1.0828715429287398e-10,8.384762378474953e-11,1.1380277118875687e-10,2.959800656846404e-10,7.675783176499976e-10,7.076294149785402e-10
60000.0,-1.0977865383697197e-09,-7.106496695546955e-10,-6.106095600673456e-10,-4.0315285826613573e-10,-2.8375774131627754e-10,-2.3169653831959857e-10,-2.4818106667560783e-10,-1.0926362153458136e-10,-4.739473001885733e-11,-1.4435819510146144e-10,-2.3746345374265684e-10,6.023591766102654e-11,-3.1047950450263576e-11,-1.3338544874928362e-10,5.2715209062733093e-11,1.4874324297663857e-10,1.095153640559067e-10,-3.9304281821118444e-11,8.524330438122729e-11,1.8916109807830937e-10,1.1781256692733213e-10,7.086720694340984e-12,5.4114253474068924e-12,1.4576874869891277e-10,9.646155667967456e-11,6.216803452014444e-11,5.590956191675238e-11,8.337439363958405e-11,1.0601380171319584e-10,9.657177459595196e-11,1.645542415670079e-10,1.491840228789337e-11,5.865601948691744e-11,3.2193266863313186e-10,2.445172378463725e-10,7.285341854876727e-10
70000.0,-8.55105129583128e-10,-7.270278875192873e-10,-7.203544216753091e-10,-3.3747650308472455e-10,-1.9234844699372405e-10,-2.01272421829237e-10,-1.842263818028845e-10,-1.5218333964189462e-10,1.9605552858480444e-11,7.6497652235965e-11,9.339191178328223e-11,9.335004648976923e-11,1.014523413945125e-11,4.6560540554192386e-11,7.595850784788481e-11,-8.974727207094936e-11,5.6503591379798825e-11,-6.864277616211076e-11,4.880512830060215e-11,3.036586731505876e-11,7.041691648413806e-11,1.577190263562264e-10,2.6592056935333925e-11,8.60816165523852e-13,3.7700704351060534e-11,-2.433914920137051e-11,-3.198637690112091e-11,3.5783023786350504e-11,1.8098072338279583e-10,4.664533132961082e-11,3.3381354700561205e-11,7.899049159545686e-11,1.889270868173447e-10,3.762867744835098e-10,3.461892819861504e-10,4.950725221309975e-10
85000.0,-6.806277530804101e-10,-5.854979987599286e-10,-5.718598404573505e-10,-5.179063703748279e-10,-4.676803283381369e-10,-2.4172679941480737e-10,-1.817915407465703e-10,-1.0734178177637198e-10,1.3792714121893396e-10,3.5977068868341354e-10,5.606287655374178e-11,-1.471562838264072e-11,1.7151311906715795e-10,2.5578159040433247e-10,-5.552847149605247e-12,-1.9710479155981144e-10,3.340772306055934e-11,-2.3092115184541847e-11,-1.743928290461746e-10,2.4675203178374907e-11,5.4119627728599994e-11,1.7504344803770387e-10,5.4408861997006593e-11,-3.2756495682864535e-11,4.2074992725630605e-11,8.62237584719745e-11,9.794593021226299e-12,-1.0477818544471776e-11,1.3673953671836656e-10,8.95443316516637e-11,1.6639913898684125e-10,2.5954506022451007e-10,2.2688069325126728e-10,5.536306929391968e-10,5.782071239245188e-10,7.158864968962419e-10
92500.0,-5.702346570592186e-10,-3.82876407488981e-10,-4.5927520740988766e-10,-4.6261405826844676e-10,-4.890571847438705e-10,-3.018026395031724e-10,-2.93143098900499e-10,-1.0399456180466771e-10,1.6536895084707443e-10,5.611609507604082e-10,1.2699424056047022e-10,-5.9176739922112565e-12,1.7639406408856495e-10,2.8354393755350587e-10,2.5157784243714323e-12,-1.3134390607948006e-10,9.070397038081066e-11,-1.0147842750977169e-12,-1.5333190571696958e-10,3.804318924126709e-11,1.1648841714187824e-10,1.0684480697963929e-10,4.315524820905991e-11,4.097475593537961e-11,5.569340879047819e-11,8.869784974288755e-11,7.593187093039867e-11,1.048338032146234e-10,1.3836110684518148e-11,7.120905895459347e-11,2.55305892936412e-10,4.3200084667066924e-10,1.9737410884749113e-10,4.2015397389743283e-10,4.131085896811532e-10,2.68990820452722e-10
100000.0,-3.0374945214009103e-10,-3.252137681910317e-10,-4.0011738383356325e-10,-3.568302692809118e-10,-3.412943244909225e-10,-2.7197516843447137e-10,-2.3263842659225927e-10,-6.374247806432109e-11,1.0570407697120605e-10,3.5842274950162387e-10,7.958481609490503e-11,4.113283559640087e-12,1.346658482432767e-10,1.8419765497562073e-10,-1.735351197727132e-11,-1.111443154870265e-10,7.95791722472091e-11,2.8962566853486144e-12,-1.6699545843329974e-10,2.293255394975431e-11,1.2798254559193603e-10,7.142023300350256e-11,5.495222816800851e-11,6.291763982082579e-11,7.2776418720925e-11,7.541393353251774e-11,6.262378057579645e-11,1.4206095545103702e-10,4.1988796863691536e-11,5.209308871083419e-12,1.987654467428753e-10,4.3184836243221566e-10,1.277526367979592e-10,2.0206478774653557e-10,1.898060542825673e-10,1.1581476521880122e-10
