,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,3.773205690586187e-10,4.586894781704777e-10,-1.718383280794302e-10,1.1248431434672382e-10,4.223847545570675e-10,1.0492197268444799e-10,-8.078039888361977e-11,4.908770574087237e-10,1.9819522757810812e-10,-3.260327487437603e-10,4.797085716571637e-10,5.914317392835799e-10,-3.6174131635958414e-10,-3.2796574326958064e-11,2.0355712176121258e-10,4.886000803335446e-11,5.382969107653201e-12,-2.654645639296977e-10,-9.542784231068561e-11,-8.110659160893271e-11,4.1275730820208193e-10,-2.741837880078996e-10,3.096610092515445e-11,2.6489991102805e-10,2.2600807766586278e-11,1.0449357305276023e-12,1.4109563790989515e-10,2.1966030599925704e-10,7.398493381475376e-11,-3.395073651203912e-11,-6.627286277264262e-11,1.980099763551417e-10,6.317398847562755e-11,-6.135930083199939e-10,1.1455815300382588e-10,2.62158028615162e-10
15000.0,-6.647987750796848e-10,7.56498612513641e-10,3.5289623449121513e-10,2.904035343297226e-10,1.1813452039670347e-10,3.443907670764829e-10,7.391486212168226e-10,4.766462977740576e-10,7.246664462915861e-10,8.070364699473594e-10,7.042839028547429e-10,7.01678848401143e-10,6.212472606814442e-10,4.000658347894922e-10,3.5373253132934007e-10,1.0600100755901608e-10,1.738974789550913e-10,4.1767123008442807e-10,-7.45284866498878e-12,9.338177590574503e-11,-6.394605666098092e-11,9.639333944086428e-11,1.0903929071603238e-10,-7.587129203751063e-11,-2.2241225839811335e-10,-1.0331024289795512e-10,8.83789545623712e-11,-3.0370943579074795e-10,-1.279847619666078e-10,1.788865866393417e-10,5.6461456235204825e-11,2.879049639268892e-10,-1.0750126959190476e-09,1.0964297578675433e-09,-6.063338281495039e-10,-1.0543954972506505e-10
20000.0,6.639169127941155e-10,9.15581872177384e-10,8.08887186432949e-10,6.409045506015473e-10,6.501699601154105e-10,2.1177652650127775e-10,4.1575120586047564e-10,1.0287579528525384e-09,1.179697199618213e-09,8.550753421041822e-10,-6.675353260179992e-11,6.231579317043028e-10,3.01488801268984e-10,1.4766702667466768e-10,1.2464772881307438e-10,1.0388763975573602e-10,3.4331616981706116e-10,3.0229866694823144e-10,1.060385003382805e-10,-2.5216911675453787e-10,-2.1583339671475148e-10,-1.9513676140231997e-10,-5.52111011635646e-11,9.413473601537926e-11,3.3280261997533013e-10,7.601461973703041e-11,-9.753926487830466e-11,5.4544594382162014e-11,-3.071314199990939e-10,2.8405504994901483e-10,1.539121800036174e-10,-3.988298291062781e-10,2.5235522280913576e-10,-1.389773782297442e-09,-9.80413021579919e-12,7.79798087850413e-10
25000.0,1.6315458483013808e-09,1.4328392557421509e-09,1.7726584005535113e-09,1.370921478221782e-09,1.037255319234935e-09,5.98805767147429e-10,5.654966459544327e-10,6.640128488068385e-10,3.79502967342423e-10,-2.0202806483721738e-11,-5.845264763059444e-10,-7.518151547815204e-10,-3.2130865663609936e-10,-2.3021102122335222e-10,-3.19850816010371e-10,5.425917307108938e-10,-3.306852117331636e-10,2.8706031294080857e-10,-6.97014346832416e-11,-3.5139236018325197e-10,-1.7699231842823986e-10,-6.147799211848231e-10,-5.156625334296931e-10,-1.689562840393251e-10,1.1900991502106973e-10,-7.236037175603341e-11,3.307398930802941e-10,2.41386392841463e-10,9.743833974356647e-11,1.4359544275398282e-10,7.832920024224004e-10,1.0322226769582465e-09,1.64517177226309e-09,8.066075073237614e-10,3.0509738262066795e-10,-2.1982729697698695e-10
30000.0,8.306952935736822e-10,8.351144736101561e-10,1.210221845682848e-09,9.379010763517982e-10,5.790041774719108e-10,3.184927610951464e-10,4.860695257332445e-10,2.4044777382046174e-10,-5.831391321116682e-11,-6.430866622283304e-10,-2.3364661010566763e-10,-7.576934783308036e-10,-1.4824839779577484e-10,-1.6459544773046797e-10,-2.1883028142264564e-10,-1.1184323368178595e-11,8.552447598529842e-11,4.0909363920924575e-10,-3.028700932880483e-10,3.799182094808294e-11,9.798012180788062e-12,-7.657130705987701e-12,-3.3747856796809115e-11,3.477269160928964e-10,2.0288203099791322e-10,-8.022261132678575e-11,1.4765010257472555e-10,1.9715628326996508e-10,-3.996551429860476e-10,7.052256465906551e-10,5.558358193196466e-10,1.1318271876368099e-10,7.382864323281386e-10,1.0145494543604082e-09,1.4617500933029074e-09,4.4177982802840236e-10
40000.0,2.0489616187910107e-10,-4.6688337381079354e-11,1.738320564518384e-10,6.928846430867982e-10,2.1709232878231164e-10,4.579447802547909e-11,2.409709422340578e-10,3.947431885529022e-11,-1.4436673991372681e-10,-1.1488834729971593e-10,-2.4291613982993402e-12,-1.1672372866054075e-10,-1.7195990115936447e-11,9.844634071790843e-11,2.3001061446666164e-10,3.052562280113646e-11,-2.8435686341511893e-10,-4.313380486276005e-11,1.0207050266499589e-11,2.451666502632528e-11,-9.975580096180004e-11,1.5367681236533318e-10,9.341708665966923e-12,9.127238048496284e-11,-1.4583205867367043e-10,1.3239776676359404e-10,-6.564828310213864e-11,-1.487613237773496e-12,-5.432020825470438e-11,-2.046212917646529e-11,-7.729841723099475e-10,2.2545596071012679e-10,-3.9423767339872695e-11,1.919283706899788e-11,-1.2443135973381068e-10,2.623435476020928e-10
50000.0,-1.3563483337181827e-10,-3.6475464412398013e-10,9.278554140408265e-11,6.821422858096728e-11,-8.93517799762785e-11,-7.658286738828259e-11,3.642787109617554e-11,-5.3657427644083324e-11,-1.356915021642893e-10,-1.6593614854317962e-10,-3.1457890828467393e-10,6.157311253820657e-11,-1.606712034567182e-10,-3.421771450487042e-11,2.781463642584223e-10,-4.70878489864149e-11,2.4330858912052247e-11,8.194955273264684e-11,3.0783605507744566e-10,1.4161413594785459e-10,-2.0305009420513614e-10,1.6653301103085066e-10,1.309300684736251e-10,1.81701952648524e-10,4.7618517034827544e-11,1.0356877861417927e-11,-6.182765320029731e-12,5.997215256561424e-11,1.7627971146931677e-10,-1.290515139484855e-10,-9.9094895052036e-11,-6.0836506694841e-11,-3.107043316163726e-10,-9.944198455994582e-11,2.4714245839820056e-10,5.6656208716751665e-12
60000.0,-1.8554701006021628e-10,-3.977823426843083e-10,-3.4590969858444706e-10,-2.3486294959635723e-10,7.418639285878344e-11,-3.299525841670058e-11,-1.2805845344829353e-10,-2.018040957308981e-10,-5.367008907811906e-11,-1.7181733118117597e-10,-9.176781825907106e-11,2.476702867286718e-10,1.2300391752130832e-10,-1.7651997642266033e-10,1.4130635970716624e-10,1.5363543115004222e-10,3.619675817796296e-11,-1.308007996600628e-10,9.877890618252611e-11,2.3244107239332454e-10,2.488333075123891e-10,-1.1427145767585577e-10,1.1893173461057652e-10,6.805325752962479e-11,-5.464603950164006e-11,5.42758375353636e-11,2.5962151633127128e-11,3.4866647769824027e-11,-3.669797906952555e-11,-1.3404926834190074e-10,3.599444058528843e-10,-2.808357489532701e-10,2.6506291889153635e-10,2.077915478994142e-10,1.4263040291595735e-10,-1.6969994926857604e-10
70000.0,-2.2935243948163566e-10,-2.83784442262193e-10,-8.735640251440125e-10,-3.585119456359488e-10,2.4197574443518027e-11,-1.0184158594923397e-10,-2.767617502069906e-10,-3.097102339227157e-10,-8.998421302981524e-11,-1.56216443592825e-10,3.103650439261966e-10,2.666576146906081e-10,1.580289397207151e-11,1.8610960205213092e-10,-7.327968645901863e-11,-8.577542138168104e-11,-1.3530918938182764e-10,-1.4052583416769514e-10,9.199627288287954e-11,-5.851894830796838e-11,1.1406740173304944e-10,2.415267725559106e-10,6.685757339415375e-11,-2.0027596645541824e-10,6.14307719213371e-11,1.6449296836500046e-11,-7.029485066571582e-11,2.1195912916342977e-11,2.5805257552238854e-10,4.1550755596571056e-11,-2.7279987823272637e-11,-6.861627949249768e-11,-9.99143566352741e-13,4.294831033430251e-10,-8.29950263900813e-11,5.1831259618460765e-11
85000.0,-3.824740411896087e-10,-5.593107963352681e-10,-5.391099473963809e-10,-7.378693877648573e-10,-4.028044869146025e-10,-1.4608063956281195e-10,-2.807213215386262e-10,-1.952338675395521e-10,-1.1769955715237563e-10,4.547029390054168e-10,3.051685358810821e-10,-1.822422509186426e-11,1.4433128211006795e-10,3.255628929415147e-10,1.2310350641625325e-10,9.499763439319208e-12,6.129511158829068e-11,3.4004852552159876e-11,-6.958125469615062e-11,1.1182053470187841e-10,1.7616078879148095e-10,1.594922046491921e-10,-3.223770252388018e-11,-1.757006925782631e-11,3.94070004783146e-11,6.149506010852161e-11,-1.4933980770337256e-10,-1.664137993845514e-11,1.424451343111863e-11,-1.639577981397474e-11,-1.313987602490643e-10,1.9121420564543663e-11,-3.308480907208253e-10,-1.8777938082522575e-10,-2.44647512519264e-10,-1.4357440204429154e-10
