,2004-03-20 00:00:00,2004-03-20 06:00:00,2004-03-20 12:00:00,2004-03-20 18:00:00,2004-03-21 00:00:00,2004-03-21 06:00:00,2004-03-21 12:00:00,2004-03-21 18:00:00,2004-03-22 00:00:00,2004-03-22 06:00:00,2004-03-22 12:00:00,2004-03-22 18:00:00,2004-03-23 00:00:00,2004-03-23 06:00:00,2004-03-23 12:00:00,2004-03-23 18:00:00,2004-03-24 00:00:00,2004-03-24 06:00:00,2004-03-24 12:00:00,2004-03-24 18:00:00,2004-03-25 00:00:00,2004-03-25 06:00:00,2004-03-25 12:00:00,2004-03-25 18:00:00,2004-03-26 00:00:00,2004-03-26 06:00:00,2004-03-26 12:00:00,2004-03-26 18:00:00,2004-03-27 00:00:00,2004-03-27 06:00:00,2004-03-27 12:00:00,2004-03-27 18:00:00,2004-03-28 00:00:00,2004-03-28 06:00:00,2004-03-28 12:00:00,2004-03-28 18:00:00
10000.0,-1.5233031576742784e-11,-1.9972123200348196e-11,-6.601099866738054e-11,-2.1743529507018178e-11,4.9968077197568804e-11,-2.5369608997196274e-11,-6.369470592191493e-11,4.077852284907051e-11,7.003549597810001e-11,2.043628224243028e-11,1.669431173027407e-11,4.7117111193090173e-11,5.936987793205456e-11,5.4524311010881474e-11,3.826318817782095e-11,5.0944687707328784e-11,1.1419694851436505e-11,1.889054777860557e-11,7.868647528255802e-12,-2.254895149309578e-11,-3.335556737698236e-11,-3.2074340706406495e-11,-7.416481412772427e-11,-3.7822801263654036e-11,-5.574919760608706e-11,-5.0065840002859806e-11,-1.3048537030078397e-10,-7.688218310004604e-11,-2.2849712060463784e-11,-2.736924122812869e-11,-4.5258566673349685e-11,2.1593902454710395e-11,-4.3078812144716845e-11,-4.299518437384166e-11,-1.4617520127070356e-10,-8.867428971019905e-11
15000.0,-7.56242036409532e-11,4.360130761581097e-11,1.2601776813257467e-10,1.2367136518686639e-10,1.6797447416765935e-10,1.3264657389926047e-10,1.394374854540135e-10,1.7634359061584393e-10,2.389701777363527e-10,2.397938259169599e-10,1.926803152522163e-10,2.216966827269846e-10,2.211384097469981e-10,2.0326597851360332e-10,1.7046805153873405e-10,1.842521265278597e-10,1.8414591167502847e-10,1.2268775588374443e-10,5.0430195519481874e-11,2.974337710707948e-11,4.4731779576537574e-11,3.347982809257603e-11,-4.549547382177165e-11,-2.9881925292249435e-11,1.491280607415511e-11,-5.972064086054405e-11,-8.005004880243167e-11,-7.399974956970066e-11,-6.465103137113035e-11,-3.460970966312123e-11,-2.2570422115125337e-11,6.5837901965092924e-12,1.0158379774732882e-10,-5.353844020540296e-11,-1.0642185787414908e-10,-1.1884174586506584e-10
20000.0,2.931229231170597e-10,3.220880260920721e-10,3.205222148068535e-10,3.782830601103372e-10,4.1163112922381696e-10,3.847896585400834e-10,4.2686490377938276e-10,4.4415292482447756e-10,5.034009112237903e-10,5.625159890806606e-10,3.972230059343919e-10,4.727541003740527e-10,3.476743207609693e-10,2.683257125673635e-10,1.683993566275017e-10,1.8172851724209909e-10,3.1818048900878724e-10,2.503955726628386e-10,1.7549246211837176e-10,1.0240942023930984e-10,1.499515216023189e-10,1.2580372741601982e-10,1.7565270770768755e-10,1.405158829474802e-10,1.0425881879196386e-10,3.389823312668254e-11,-2.9055978051074008e-11,-3.991598377459472e-13,2.713286834909275e-11,1.4314168446717732e-11,4.664766678027285e-11,6.075157687273818e-11,-1.1138224201883556e-12,-7.08003827154706e-11,-8.42796329000845e-11,-3.4722050322488134e-11
25000.0,2.914478161004071e-10,3.3960470323476955e-10,3.704957515519669e-10,3.9434936154696354e-10,4.3909083457208575e-10,4.661126674958552e-10,4.502599771324752e-10,4.831523468416414e-10,5.353914180919834e-10,6.396172301021546e-10,5.331858901975771e-10,5.080729846386947e-10,3.037185027537586e-10,2.694318435383557e-10,1.508626461795083e-10,1.3114885562206766e-10,3.210711826833622e-10,1.4657255089103627e-10,1.85693409116038e-10,5.476815879069457e-11,1.5263743202542342e-10,1.3603644598211003e-10,2.1577022486729504e-10,1.9582832324105333e-10,1.0681343108199936e-10,3.758239019988902e-11,-3.5223607139701115e-11,9.667806286196216e-12,1.1763963546253952e-10,5.955514769881536e-11,-1.2589202993822936e-11,2.6183666188057693e-11,-6.075059164515235e-12,-5.7128920963688437e-11,-2.3377443692886142e-11,3.976212540549253e-12
30000.0,2.503674940203595e-10,2.8211325463016516e-10,3.2018049208313214e-10,3.4455511056813813e-10,3.843759231915742e-10,4.097591729822096e-10,3.879272405825051e-10,3.939743280165139e-10,4.606025610522239e-10,5.276700250976511e-10,4.179641444615708e-10,3.482126206014462e-10,2.174342584843872e-10,2.1322621781562914e-10,1.0669977510606187e-10,7.843817171973474e-11,2.51988942241743e-10,8.782485609850661e-11,1.4566555164872464e-10,-1.9337556038299748e-11,4.770538275358474e-11,6.839187801457241e-11,1.1943502673368055e-10,7.881192901892237e-11,6.142858141967965e-11,3.552603248459845e-11,-5.970124664306806e-12,6.323234519676933e-12,7.539303873445856e-11,3.477552728950052e-11,7.336242138174802e-12,-4.487120525589269e-12,-6.220818698930374e-11,-6.559455248677847e-11,-2.5516959086849927e-11,-1.7531229731788114e-11
40000.0,1.4709973947761574e-10,1.9497340522122624e-10,2.1165302886225708e-10,2.322371101806983e-10,2.681503780074891e-10,2.774431391328424e-10,2.6582459793171753e-10,2.4130339588537226e-10,2.825179184061293e-10,3.0025517062325324e-10,1.78218174529474e-10,1.3965059708928332e-10,1.2485197585437914e-10,1.6275087554714162e-10,9.116512355305012e-11,3.731074075331325e-11,1.5462901329257022e-10,6.92501467375917e-11,5.077611538932184e-11,-9.099770082520457e-11,-7.18011708082658e-11,-1.5907017050879802e-11,1.1833332176843651e-11,1.8788991326028052e-11,3.6613996470141824e-11,3.510917418188122e-11,1.7842818895371332e-11,3.9184926049400015e-11,4.7595728073578774e-11,3.134957626362761e-11,3.6285513787086605e-11,3.1152973218084224e-11,-8.097063516676905e-11,-6.256505582179134e-11,-8.686836366599763e-11,-2.783170300097946e-11
50000.0,1.3638338288886197e-10,1.521356409550424e-10,1.659158423271457e-10,1.5894604269397267e-10,1.8795941986314808e-10,1.9382764386537106e-10,1.9354919242635928e-10,1.650367756413272e-10,1.704819505133764e-10,1.7415829777210438e-10,1.2542789748128746e-10,1.1302200110193477e-10,7.137168162828837e-11,1.31087152111113e-10,9.011205115198648e-11,3.147502964849481e-11,1.0463338456672638e-10,6.891508912390658e-11,3.5279833296623634e-11,-6.51054453038456e-11,-6.014228600410092e-11,-4.8373831302656634e-11,1.3904288994342758e-11,8.466573617883576e-12,2.400530991116483e-11,3.488501362323754e-11,8.36148811241617e-12,3.16725362536469e-11,3.9368320233070915e-11,2.453181757492132e-11,4.067653481748868e-11,3.4247689327833676e-11,-3.386296051382915e-11,-5.505999424511032e-11,-9.651966632310261e-11,-1.5473362138110897e-11
60000.0,1.36266387964242e-10,1.5044961237456697e-10,1.468984547269508e-10,1.0342111495168552e-10,1.077094038069821e-10,1.2984706786710944e-10,1.5906329683391116e-10,1.3152920130839597e-10,9.248652010267846e-11,1.1838348701300236e-10,8.351116472724782e-11,8.27980870231497e-11,4.038373570147105e-11,1.0569715195379394e-10,7.795982015457693e-11,3.011181609507714e-11,4.4890448133630666e-11,5.667544998274477e-11,6.368000632841491e-11,-3.703573493485525e-11,-4.440959118923364e-11,-1.2684401674400123e-11,2.5532707371542987e-11,2.359803458259057e-11,2.1894590326117506e-11,1.6672376547972376e-11,1.972157151227553e-11,3.230373362328448e-11,3.307758191551811e-11,3.338326884194031e-11,4.1293587138220785e-11,3.202261157514888e-11,-6.621294275253285e-12,-9.83430069770693e-12,-4.807298561605304e-11,2.5036147885246837e-11
70000.0,6.939172331189947e-11,1.303794044509151e-10,1.2663640918485086e-10,9.442095007050425e-11,4.5647505007509384e-11,7.384451377124635e-11,1.1825742670019654e-10,9.001464544511206e-11,4.869372041676088e-11,9.170045883935243e-11,4.945858497412571e-11,6.710880818709965e-11,3.487160957136785e-11,8.787314062301043e-11,5.860261115810045e-11,1.9020437907664714e-11,2.7965333374860985e-11,4.2780786341845204e-11,6.059439934764921e-11,-7.748150718024632e-12,-2.8929350374883866e-11,-1.3681924213672285e-11,4.052048834622793e-11,2.7072814141524366e-11,1.725102624304094e-11,3.1744858617249816e-11,2.7076333441020034e-11,3.141659683227023e-11,1.6993609716043074e-12,1.704764134128867e-11,4.7582272645128265e-11,6.363538867524135e-11,-1.2701326133576138e-11,3.65437091916849e-11,4.579692279988213e-11,4.989014130729232e-11
85000.0,3.7525936763563475e-11,9.295700231469517e-11,1.0963745530214904e-10,8.002976141133823e-11,1.8660606645896492e-11,2.3906300798383112e-11,5.649338701686065e-11,2.572835587424912e-11,1.4567487958880886e-11,5.2512180844793685e-11,3.207191096591024e-11,1.8236311942659045e-11,4.104678784033102e-12,5.138793459790501e-11,2.67899637795819e-11,6.4720154222319805e-12,2.4865595086464928e-11,3.2330480022983955e-11,1.9212964584514387e-11,-2.132500337335878e-11,-2.463376008566207e-11,-7.76997130922829e-12,2.2213823895738036e-11,2.7209184130464905e-12,-9.475814210365266e-12,2.928544103717369e-11,4.600100280280049e-11,1.759542397062168e-11,-2.1393846154195013e-11,3.284581580160029e-11,4.746639323765342e-11,4.3397661610119276e-11,7.525071629376712e-12,5.278773470386558e-11,8.973649990072968e-11,6.322505959629797e-11
