time;Lat;Lon
2025-12-05-0000;-26.1227;-57.5227
2025-12-05-0300;-19.8264;-58.9403
2025-12-05-0600;-22.5155;-57.4439
2025-12-05-0900;-22.581;-56.8926
2025-12-05-1200;-20.7446;-57.1289
2025-12-05-1500;-20.679;-57.1289
2025-12-05-1800;-20.679;-57.1289
2025-12-05-2100;-20.679;-57.1289
2025-12-06-0000;-20.7446;-57.1289
2025-12-06-0300;-19.9575;-59.1766
2025-12-06-0600;-22.1875;-58.4678
2025-12-06-0900;-22.2531;-60.2005
2025-12-06-1200;-22.9089;-59.0978
2025-12-06-1500;-23.8927;-59.2553
2025-12-06-1800;-21.0069;-59.6492
2025-12-06-2100;-21.9907;-62.2482
2025-12-07-0000;-24.2862;-63.1933
2025-12-07-0300;-22.3842;-60.5155
2025-12-07-0600;-23.1713;-59.7279
2025-12-07-0900;-23.1713;-60.5943
2025-12-07-1200;-23.2369;-60.5155
2025-12-07-1500;-22.5155;-61.7756
2025-12-07-1800;-21.7284;-62.0907
2025-12-07-2100;-22.0563;-62.957
2025-12-08-0000;-22.4498;-61.7756
2025-12-08-0300;-20.679;-60.8305
2025-12-08-0600;-22.9745;-59.8067
2025-12-08-0900;-23.696;-59.0978
2025-12-08-1200;-24.3518;-57.5227
2025-12-08-1500;-21.4004;-57.4439
2025-12-08-1800;-23.3681;-57.9164
2025-12-08-2100;-23.1057;-57.1289
2025-12-09-0000;-24.6142;-56.2625
2025-12-09-0300;-30.1891;-57.5227
2025-12-09-0600;-29.9267;-56.42
2025-12-09-0900;-29.8611;-56.1838
2025-12-09-1200;-29.8611;-56.1838
2025-12-09-1500;-29.4676;-55.6325
2025-12-09-1800;-29.5332;-54.8449
2025-12-09-2100;-29.3364;-53.8997
2025-12-10-0000;-30.2546;-52.8759
2025-12-10-0300;-29.7299;-48.5441
2025-12-10-0600;-30.9105;-48.3079
2025-12-10-0900;-31.8287;-47.9929
2025-12-10-1200;-31.8943;-48.3866
2025-12-10-1500;-31.9599;-49.0167
2025-12-10-1800;-31.7631;-48.5441
2025-12-10-2100;-31.8943;-47.3627
2025-12-11-0000;-31.8943;-47.3627
2025-12-11-0300;-32.419;-46.5752
2025-12-11-0600;-32.4845;-45.9451
2025-12-11-0900;-32.7469;-45.2363
2025-12-11-1200;-32.7469;-43.9762
2025-12-11-1500;-32.9436;-43.346
2025-12-11-1800;-33.5339;-41.6134
2025-12-11-2100;-33.8619;-40.9045
2025-12-12-0000;-34.0587;-39.4869
2025-12-12-0300;-35.3048;-38.148
2025-12-12-0600;-36.4198;-36.8878
2025-12-12-0900;-37.2724;-35.7064
2025-12-12-1200;-37.9938;-34.8401
2025-12-12-1500;-38.7153;-33.6587
2025-12-12-1800;-39.5679;-32.3986
2025-12-12-2100;-40.8141;-30.4296
2025-12-13-0000;-41.4043;-28.9332
2025-12-13-0300;-41.8635;-26.5704
2025-12-13-0600;-42.9784;-25.389
2025-12-13-0900;-42.8472;-25.4678
2025-12-13-1200;-42.716;-25.3103
2025-12-13-1500;-42.2569;-25.3103
2025-12-13-1800;-41.4699;-25.5466
2025-12-13-2100;-41.4043;-25.4678
