time;Lat;Lon
2025-12-05-0000;-40.75;-53
2025-12-05-0300;-40.75;-51
2025-12-05-0600;-40.75;-49.5
2025-12-05-0900;-41.25;-45.5
2025-12-05-1200;-41.25;-44.25
2025-12-05-1500;-41.5;-41.5
2025-12-05-1800;-41.5;-39
2025-12-05-2100;-41.75;-37
2025-12-06-0000;-41.75;-35.25
2025-12-06-0300;-41.75;-33
2025-12-06-0600;-43.75;-26
2025-12-06-0900;-43.5;-25
2025-12-06-1200;-42.5;-25
2025-12-06-1500;-41.25;-25.25
2025-12-06-1800;-19;-62.75
2025-12-06-2100;-21.5;-63
2025-12-07-0000;-24;-63.25
2025-12-07-0300;-23.75;-62.75
2025-12-07-0600;-17;-65
2025-12-07-0900;-45;-47
2025-12-07-1200;-45;-44.5
2025-12-07-1500;-45;-42.25
2025-12-07-1800;-45;-39.5
2025-12-07-2100;-45;-36.75
2025-12-08-0000;-45;-34
2025-12-08-0300;-45;-33.75
2025-12-08-0600;-45;-32
2025-12-08-0900;-45;-30.25
2025-12-08-1200;-45;-28.5
2025-12-08-1500;-45;-26.25
2025-12-08-1800;-45;-25
2025-12-08-2100;-45;-25
2025-12-09-0000;-45;-25
2025-12-09-0300;-45;-25
2025-12-09-0600;-29.75;-57.5
2025-12-09-0900;-30.25;-57
2025-12-09-1200;-29.5;-56.75
2025-12-09-1500;-29.25;-56.5
2025-12-09-1800;-30.5;-54.75
2025-12-09-2100;-28.25;-48.25
2025-12-10-0000;-28.25;-48.5
2025-12-10-0300;-30.25;-48.5
2025-12-10-0600;-31;-48.25
2025-12-10-0900;-31.75;-48.5
2025-12-10-1200;-32;-48.75
2025-12-10-1500;-32;-49
2025-12-10-1800;-31.75;-48.5
2025-12-10-2100;-31.75;-47.75
2025-12-11-0000;-32;-47
2025-12-11-0300;-32.25;-46.5
2025-12-11-0600;-32.25;-45.75
2025-12-11-0900;-32.5;-45
2025-12-11-1200;-32.5;-44.25
2025-12-11-1500;-32.75;-43.25
2025-12-11-1800;-33.25;-42
2025-12-11-2100;-33.75;-40.75
2025-12-12-0000;-34.25;-39.5
2025-12-12-0300;-35;-38.25
2025-12-12-0600;-36;-37
2025-12-12-0900;-37;-36
2025-12-12-1200;-37.75;-34.75
2025-12-12-1500;-38.75;-33.25
2025-12-12-1800;-40;-31.75
2025-12-12-2100;-40.75;-30
2025-12-13-0000;-41.5;-28
2025-12-13-0300;-42;-26.5
2025-12-13-0600;-42.75;-25
2025-12-13-0900;-42.5;-25
2025-12-13-1200;-42.25;-25
2025-12-13-1500;-43.25;-52.5
2025-12-13-1800;-44.5;-49.25
2025-12-13-2100;-45;-46.25
